file,HPO_codes,HPO_symptoms,starts,ends
1484939,"['0000518', '0001067', '0002664', '0000403', '0025025', '0100008', '0009588', '0011223', '0004563', '0100013', '0000365', '0001250', '0000119', '0001067', '0100013']","['cataract', 'neurofibromatosis', 'tumour', 'susceptibility', 'vestibular', 'schwannomas', 'acoustic neuroma', 'cranial', 'meningiomas', 'spinal', 'tumours', 'deafness', 'Deafness', 'seizures', ' spots occurr', 'neurofibromatosis', 'Skin', 'tumours']","['1017', '1133', '1218', '1225', '267', '278', '291', '310', '318', '334', '341', '427', '485', '653', '839', '89', '906', '911']","['1025', '1150', '1224', '1239', '277', '289', '307', '317', '329', '340', '348', '435', '493', '661', '852', '106', '910', '918']"
9863591,"['0001067', '0000119', '0003701', '0100013', '0012741', '0012741', '0025025', '0100008', '0025025', '0100013', '0003701', '0100013', '0100008', '0002664', '0004904', '0031040', '0002664', '0006880', '0001604', '0100013', '0012741', '0025025', '0100008']","['neurofibromatosis', 'bilateral disease', 'neurogenic', 'tumours', 'unilateral', 'unilateral', 'vestibular', 'schwannomas', 'vestibular', 'tumours', 'neurogenic', 'tumours', 'schwannomas', 'tumour', 'gonosomal mosaicism', 'young', 'age', 'tumour', 'sporadic', 'familial cases', 'tumours', 'unilateral', 'vestibular', 'schwannoma']","['120', '170', '215', '226', '26', '311', '322', '333', '37', '394', '458', '469', '48', '548', '672', '72', '78', '810', '841', '854', '872', '971', '982', '993']","['137', '187', '225', '233', '36', '321', '332', '344', '47', '401', '468', '476', '59', '554', '691', '77', '81', '816', '849', '868', '879', '981', '992', '1003']"
3321995,"['0410030', '0410347', '0000187', '0004734', '0000579', '0000377', '0000048', '0008606', '0025241', '0012421', '0032411', '0000119', '0030015', '0000119', '0000625', '0007633', '0000383', '0002710', '0000065', '0002710', '0002705', '0000164', '0000292', '0000119', '0000119', '0025356', '0001263', '0001155', '0011473']","['cleft lip', 'malformed nose', 'broad bridge', 'flattened tip', 'autosomal', 'lacrimal duct obstruction', 'malformed ears', 'branchial cleft', 'sinuses', 'linear', 'skin lesions', 'dominant', 'behind the ears', 'disorder', 'X-linked inheritance', 'abnormal upper lip', 'coloboma', 'microphthalmia', 'auricular', 'pits', 'lip', 'pits', 'highly arched plate', 'dental anomalies', 'subcutaneous', 'cysts of the scalp', 'Premature graying of hair', 'Growth', 'retardation', 'developmental delay', 'hand anomalies', 'variable']","['100', '111', '131', '148', '15', '163', '190', '210', '226', '241', '248', '25', '261', '34', '452', '46', '498', '508', '524', '534', '540', '544', '550', '571', '593', '606', '626', '685', '692', '705', '730', '749']","['109', '125', '143', '161', '24', '188', '204', '225', '233', '247', '260', '33', '276', '42', '472', '64', '506', '522', '533', '538', '543', '548', '569', '587', '605', '624', '651', '691', '703', '724', '744', '757']"
7747758,"['0009726', '0025025', '0100008', '0009711', '0025025', '0001067', '0100008', '0009726', '0012421', '0009726', '0001114', '0000518', '0009711', '0100008', '0000518', '0012421', '0009726', '0004563', '0009726']","['CNS', 'tumors', 'vestibular', 'schwannomas', 'retinal hamartomas', 'vestibular', 'neurofibromatosis', 'schwannomas', 'CNS', 'tumors', 'skin', 'tumors', 'ocular manifestations', 'cataracts', 'retinal hamartomas', 'Vestibular', 'schwannomas', 'cataracts', 'skin', 'tumors', 'spinal', 'tumors', 'meningiomas', 'heterogeneity', 'heterogeneity']","['1162', '1166', '1184', '1195', '1235', '471', '47', '482', '509', '513', '529', '534', '554', '586', '600', '692', '703', '782', '801', '806', '822', '829', '849', '96', '991']","['1165', '1172', '1194', '1206', '1253', '481', '64', '493', '512', '519', '533', '540', '575', '595', '618', '702', '714', '791', '805', '812', '828', '835', '860', '109', '1004']"
12384778,"['0031919', '0005531', '0032411']","['Brachydactyly type A1', 'BDA1', 'BDA1', 'intrafamilial phenotypic', 'heterogeneity', 'autosomal', 'dominant']","['0', '194', '23', '538', '563', '74', '84']","['21', '198', '27', '562', '576', '83', '92']"
10712204,"['0031919', '0032411']","['Brachydactyly type A-1', 'autosomal', 'dominant', 'inheritance', 'BDA1', 'BDA1']","['0', '105', '115', '124', '24', '440']","['22', '114', '123', '135', '28', '444']"
9207339,"['0001067', '0001067', '0001067', '0009726', '0001067', '0001067', '0001067', '0001067', '0001067', '0032411']","['Neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'tumors', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'autosomal', 'neurofibromatosis', 'dominant']","['0', '1083', '1306', '1330', '149', '24', '374', '398', '478', '48', '502', '58']","['17', '1100', '1323', '1347', '155', '41', '391', '415', '495', '57', '519', '66']"
7485365,"['0000518', '0000518', '0007700', '0000119', '0001087', '0006915', '0000119', '0001067', '0000518', '0009711', '0001114', '0001067', '0000518', '0001067', '0000119', '0000119', '0000523', '0000518', '0006735', '0000518', '0001067', '0006880', '0001067', '0010459', '0004563', '0000119', '0000119', '0007889', '0000119', '0000518', '0001067', '0001067', '0009711']","['cataracts', 'cataracts', 'developmental', 'abnormalities of the eye', 'childhood', 'adolescence', 'ocular abnormalities', 'neurofibromatosis', 'cataracts', 'retinal hamartomas', 'ocular motor deficits', 'neurofibromatosis', 'cataract', 'neurofibromatosis', 'ocular abnormalities', 'posterior subcapsular or', 'capsular', 'cataract', 'cortical', 'cataract', 'neurofibromatosis', 'sporadic', 'neurofibromatosis', 'cranial and', 'spinal magnetic', 'ocular abnormalities', 'posterior subcapsular or', 'capsular,', 'cortical, or mixed', 'lens opacities', 'neurofibromatosis', 'neurofibromatosis', 'retinal hamartomas']","['1048', '1131', '1182', '1196', '1244', '1257', '1345', '1381', '1412', '1423', '1447', '1621', '1655', '1692', '16', '1728', '1753', '1762', '1775', '1784', '255', '371', '380', '542', '554', '663', '689', '714', '724', '743', '75', '790', '814']","['1057', '1140', '1195', '1220', '1253', '1268', '1365', '1398', '1421', '1441', '1468', '1638', '1663', '1709', '36', '1752', '1761', '1770', '1783', '1792', '272', '379', '397', '553', '569', '683', '713', '723', '742', '757', '92', '807', '832']"
15150776,"['0006880', '0002491', '0007285', '0000092', '0000119']","['sporadic', 'spasticity', 'cerebral palsy', 'cerebral atrophy', 'brain malformation']","['243', '656', '705', '752', '871']","['251', '666', '719', '768', '889']"
18283415,"['0025338', '0000119', '0031919', '0000114', '0009700', '0000130']","['limb phenotypes', 'skeletal dysplasia', 'brachydactyly type C', 'proximal', 'symphalangism', 'limb malformations']","['1165', '201', '231', '262', '271', '374']","['1180', '219', '251', '270', '284', '392']"
3092103,"['0009588', '0100013', '0000119', '0002898', '0100013', '0008689', '0001067', '0032411', '0030015', '0008689', '0000413', '0008689', '0001067', '0009588', '0002898', '0100013', '0002664', '0001604', '0008689', '0100013', '0100013', '0006880', '0100013']","['acoustic neuroma', 'tumours', 'nervous system', 'embryonal', 'tumours', 'bilateral acoustic', 'neurofibromatosis', 'autosomal', 'dominant', 'disorder', 'bilateral', 'acoustic neuromas', 'meningiomas', 'bilateral acoustic', 'neurofibromatosis', 'meningioma', 'acoustic neuroma', 'meningioma', 'embryonal', 'tumours', 'tumour', 'familial cases', 'bilateral', 'tumours', 'tumours', 'sporadic', 'tumours']","['1049', '1090', '1111', '1261', '1271', '1367', '1386', '1408', '1418', '1427', '1457', '1467', '1524', '1553', '1572', '1613', '1753', '1774', '238', '248', '362', '683', '711', '721', '751', '876', '907']","['1065', '1097', '1125', '1270', '1278', '1385', '1403', '1417', '1426', '1435', '1466', '1484', '1535', '1571', '1589', '1623', '1769', '1784', '247', '255', '368', '697', '720', '728', '758', '884', '914']"
6774282,"['0001067', '0008689', '0009588', '0032411', '0030015', '0012421', '0001067', '0001067', '0001067']","['Neurofibromatosis', 'neurofibromatosis', 'bilateral', 'acoustic neuroma', 'autosomal', 'dominant', 'disorder', 'skin changes', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis']","['0', '209', '232', '242', '265', '275', '284', '346', '391', '589', '721']","['17', '226', '241', '258', '274', '283', '292', '358', '408', '606', '738']"
7625442,"['0002944', '0000708', '0000119', '0031588', '0025152', '0005484', '0000244', '0000154', '0010808', '0006339', '0000303', '0000687', '0000183', '0002136', '0000097', '0025356', '0000119', '0000119', '0000708']","['scoliosis', 'behavioral attributes', 'bursts of laughter', 'happy disposition', 'hyperactive behaviour', 'microcephaly', 'brachycephaly', 'macrostomia', 'tongue protrusion', 'mandibular', 'prognathism', 'widely spaced teeth', 'puppetlike movements', 'wide based gait', 'mental', 'retardation', 'absence of speech', 'diagnosis in infants', 'behavioral characteristics']","['1010', '138', '333', '353', '372', '395', '409', '424', '437', '456', '467', '480', '511', '550', '578', '585', '610', '661', '915']","['1019', '159', '351', '370', '393', '407', '422', '435', '454', '466', '478', '499', '531', '565', '584', '596', '627', '681', '941']"
3740720,"['0000405', '0000407', '0000119', '0000384', '0002710', '0000383', '0100277', '0025451', '0032411', '0000365']","['conductive', 'sensorineural', 'renal dysplasia', 'preauricular', 'pits', 'auricular deformities', 'fistulas', 'renal malformations', 'autosomal', 'dominant', 'hearing loss']","['112', '124', '13', '154', '167', '173', '232', '246', '300', '310', '96']","['122', '137', '28', '166', '171', '194', '240', '265', '309', '318', '108']"
8751853,"['0000518', '0011473', '0009726', '0009726', '0031040', '0009711', '0100014', '0025025', '0100008', '0009726', '0008689', '0025025', '0100008', '0000407', '0010459', '0012421', '0009726', '0009726', '0000518', '0000119']","['Neurofibromatosis', 'cataracts', 'variable', 'tumors', 'tumors', 'early age', 'retinal hamartomas', 'epiretinal membranes', 'vestibular', 'schwannomas', 'tumors', 'bilateral', 'vestibular', 'schwannomas', 'neural', 'meningiomas', 'spinal and', 'skin', 'tumors', 'tumors', 'cataracts', 'retinal abnormalities']","['0', '101', '1183', '1325', '151', '164', '1675', '1701', '290', '301', '329', '35', '45', '56', '82', '855', '868', '879', '884', '89', '908', '922']","['17', '110', '1191', '1331', '157', '173', '1693', '1721', '300', '312', '335', '44', '55', '67', '88', '866', '878', '883', '890', '95', '917', '943']"
8576558,"['0000182', '0001250', '0000183', '0011150', '0031475', '0012571', '0001250', '0012738', '0002013', '0001087', '0001250', '0002793', '0011150', '0007335', '0008568', '0011150', '0031475', '0000119']","['movement problems', 'seizure', 'jerky movements', 'myoclonic', 'status epilepticus', 'partial', 'seizures', 'eye deviation', 'vomiting', 'childhood', 'epilepsies', 'seizures', 'electroencephalographic patterns', 'nonprogressive, age-dependent myoclonic', 'encephalopathy', 'ataxia', 'myoclonic', 'status epilepticus', 'abnormal movements, namely the jerky ones']","['109', '15', '195', '247', '257', '312', '320', '334', '352', '382', '402', '420', '433', '535', '575', '668', '751', '761', '824']","['126', '22', '210', '256', '275', '319', '328', '347', '360', '391', '412', '428', '465', '574', '589', '674', '760', '779', '865']"
10066029,"['0008770', '0011473', '0002671', '0100612', '0000119', '0000707', '0003487', '0002710', '0000924', '0002514', '0008675', '0000119', '0003487', '0002710', '0012421', '0100619', '0032411']","['trait', 'variable', 'expressivity', 'basal cell carcinomas', 'odontogenic', 'keratocysts of the jaws', 'palmar and/or', 'plantar', 'pits', 'skeletal abnormalities', 'intracranial calcifications', 'Jaw cysts', 'calcification of falx cerebri', 'BCCs', 'plantar', 'pits', 'skin pigmentation', 'basal cell carcinoma', 'autosomal', 'dominant']","['108', '143', '152', '208', '238', '250', '275', '289', '297', '303', '330', '433', '447', '534', '550', '558', '699', '7', '89', '99']","['113', '151', '164', '229', '249', '273', '288', '296', '301', '325', '357', '442', '476', '538', '557', '562', '716', '27', '98', '107']"
9096761,"['0008675', '0002710', '0003487', '0002710', '0009720', '0410030', '0000119', '0000280', '0000303', '0000316', '0000290', '0000766', '0000159', '0000119', '0002679', '0000193', '0008467', '0000119', '0000054', '0002944', '0030008', '0000193', '0000119', '0002671', '0010603', '0003487', '0002710', '0010459', '0000772', '0000119', '0100619', '0002664', '0032411', '0100619', '0030015', '0008675', '0002664']","['jaw cysts', 'Palmar', 'pits', 'plantar', 'pits', 'Ovarian fibromas', 'Medulloblastoma', 'cleft lip', 'or palate', 'coarse face', 'relative macrocephaly', 'hypertelorism', 'frontal bossing', 'pectus deformity', 'Sprengel deformity', 'calcification of the falx cerebri', 'bridged sella', 'bifid ribs', 'hemivertebrae', 'fusion of the vertebral bodies', 'short fourth metacarpal', 'scoliosis', 'cervical ribs', 'spina bifida', 'occulta', 'radiological anomalies', 'basal cell carcinomas', 'keratocysts of the jaw', 'plantar', 'pits', 'spine and', 'rib anomalies', 'calcification of the falx cerebri', 'basal cell carcinoma', 'tumor', 'autosomal', 'dominant', 'basal cell carcinoma', 'disorder', 'Jaw cysts', 'tumor']","['1019', '1061', '1068', '1077', '1085', '1108', '1195', '1281', '1291', '1329', '1350', '1380', '1402', '1426', '1455', '1520', '1597', '1619', '1638', '1660', '1869', '1894', '1905', '1923', '1936', '2075', '218', '241', '272', '280', '286', '296', '314', '604', '647', '65', '75', '7', '84', '902', '952']","['1028', '1067', '1072', '1084', '1089', '1124', '1210', '1290', '1300', '1340', '1371', '1393', '1417', '1442', '1473', '1553', '1610', '1629', '1651', '1690', '1892', '1903', '1918', '1935', '1943', '2097', '239', '263', '279', '284', '295', '309', '347', '624', '652', '74', '83', '27', '92', '911', '957']"
3674117,"['0000528', '0001290', '0000119', '0002376', '0001513', '0001263', '0000119']","['clinical', 'heterogeneity', 'hypotonia', 'of', 'infancy', 'obesity', 'developmental delay', 'molecular abnormalities']","['297', '306', '741', '751', '754', '763', '776', '909']","['305', '319', '750', '753', '761', '770', '795', '932']"
3134615,"['0001067', '0001067', '0002516', '0009726', '0001067', '0001067', '0008689', '0001067', '0001067', '0001067', '0001067', '0002711', '0000119', '0009726', '0008689', '0000413', '0009726', '0008689', '0000413', '0004904', '0000413', '0003771', '0001067']","['neurofibromatosis', 'neurofibromatosis', 'intracranial', 'tumors', 'neurofibromatosis', 'neurofibromatosis', 'bilateral acoustic', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'neurofibromatosis', 'central', 'nervous system', 'tumors', 'bilateral', 'acoustic neuromas', 'tumors', 'bilateral', 'acoustic neuromas', 'Meningiomas', 'ependymomas', 'young', 'patients', 'acoustic neuromas', 'Intracranial nontumoral calcifications', 'neurofibromatosis']","['1067', '1163', '1380', '1393', '156', '179', '211', '230', '378', '41', '452', '536', '544', '559', '592', '602', '633', '707', '717', '736', '752', '791', '797', '842', '888', '92']","['1084', '1180', '1392', '1399', '173', '196', '229', '247', '395', '58', '469', '543', '558', '565', '601', '619', '639', '716', '734', '747', '763', '796', '805', '859', '926', '109']"
11078565,"['0000719', '0040082', '0002136', '0410018', '0000365', '0000490', '0000154', '0000687', '0000119', '0001250', '0030525', '0007824', '0001263', '0002167']","['inappropriate', 'happy demeanor', 'wide-based gait', 'frequent ear infections', 'hearing loss', 'deep-set eyes', 'wide mouth', 'widely-spaced teeth', 'mild to', 'seizures', 'moderate', 'global', 'developmental delay', 'speech impairment']","['104', '118', '134', '151', '185', '199', '216', '228', '24', '283', '32', '41', '48', '85']","['117', '132', '149', '174', '197', '212', '226', '247', '31', '291', '40', '47', '67', '102']"
8669439,"['0000119', '0003355', '0004484', '0002023', '0001140', '0032121', '0011332', '0000384', '0000154', '0000347', '0000356']","['system abnormalities', 'craniofacial findings', 'craniofacial manifestations', 'imperforate anus', 'epibulbar dermoids', 'characteristic anal, thumb', 'hemifacial microsomia', 'preauricular tags', 'macrostomia', 'micrognathia', 'ear anomalies']","['141', '227', '353', '534', '663', '67', '683', '706', '725', '742', '99']","['161', '248', '380', '550', '681', '93', '704', '723', '736', '754', '112']"
9425907,"['0010459', '0000356', '0032411', '0006880']","['anal, renal, limb and', 'ear anomalies', 'autosomal-', 'dominant', 'sporadic']","['116', '138', '53', '63', '852']","['137', '151', '63', '71', '860']"
12592607,"['0001371', '0004916', '0004734', '0003250', '0000119']","['multiple-', 'congenital-', 'contracture', 'heterogeneous', 'distal arthrogryposes', 'multiple', 'congenital', 'contractures of the limbs']","['1149', '1158', '1169', '478', '4', '74', '83', '94']","['1158', '1169', '1180', '491', '25', '82', '93', '119']"
1619642,"['0032411', '0003134', '0000119', '0032411', '0008675']","['autosomal', 'dominant', 'transmission', 'autosomal recessive', 'form', 'germline mosaicism', 'dominant', 'orbital haemangiomatous cysts']","['241', '251', '260', '314', '334', '342', '369', '78']","['250', '259', '272', '333', '338', '360', '377', '107']"
11312426,"['0009726', '0001087', '0012421', '0031040', '0200034', '0200034', '0002671', '0031040', '0100619', '0002671', '0032411', '0001087']","['tumors', 'childhood', 'skin tags', 'early age', 'pedunculated papules', 'pedunculated papules', 'autosomal', 'basal cell carcinomas', 'skin tag', 'basal cell carcinoma', 'basal cell carcinomas', 'dominant inheritance', 'childhood']","['1003', '315', '354', '383', '470', '653', '70', '727', '793', '7', '808', '80', '833']","['1009', '324', '363', '392', '490', '673', '79', '748', '801', '27', '829', '100', '842']"
8042673,"['0100619', '0002671', '0002671']","['basal cell carcinoma', 'basal cell carcinomas', 'basal cell nevus']","['37', '527', '96']","['57', '548', '112']"
9024575,"['0031919', '0010459', '0000119', '0006316', '0031919', '0032411', '0008770', '0011473', '0000119', '0031919', '0000159', '0001291', '0001831', '0031919']","['Brachydactyly type C', 'hand and', 'foot anomalies', 'locus', 'heterogeneity', 'interfamilial', 'variability', 'brachydactyly type C', 'autosomal', 'dominant', 'trait', 'variable', 'shortness of the second and fifth middle phalanges', 'brachydactyly type C', 'Madelung deformity', 'foot involvement', 'brachydactyly', 'brachydactyly type C']","['0', '1076', '1085', '1188', '1194', '1235', '1249', '1274', '140', '150', '159', '194', '41', '481', '781', '814', '881', '932']","['20', '1084', '1099', '1193', '1207', '1248', '1260', '1294', '149', '158', '164', '202', '91', '501', '799', '830', '894', '952']"
1583664,"['0000119', '0000378', '0032411', '0031919']","['autosomal', 'shortening of the big toes', 'cupped ears', 'dominant', 'brachydactyly type C']","['18', '202', '251', '28', '49']","['27', '228', '262', '36', '69']"
3105060,"['0000413', '0002664', '0001067', '0000413', '0001067', '0002664', '0001067', '0009726', '0001067', '0000413', '0004734', '0009726', '0000119']","['Bilateral acoustic', 'tumor', 'neurofibromatosis', 'acoustic neuromas', 'neurofibromas', 'meningioma', 'tumor', 'neurofibromas', 'BANF', 'tumors', 'neurofibroma', 'acoustic neuromas', 'multiple', 'tumors', 'of neural crest']","['0', '1009', '19', '213', '236', '259', '351', '372', '38', '539', '557', '737', '80', '89', '96']","['18', '1014', '36', '230', '249', '269', '356', '385', '42', '545', '569', '754', '88', '95', '111']"
7200726,"['0000061', '0012876', '0008689', '0000046', '0025356', '0009794', '0032411', '0008770', '0008606', '0010459', '0005490', '0000046', '0025356', '0011338']","['facial appearance', 'premature aging', 'bilateral', 'growth', 'retardation', 'branchial', 'dominant', 'trait', 'sinuses', 'intrauterine and', 'postnatal', 'growth', 'retardation', 'unusual']","['106', '129', '22', '261', '268', '32', '384', '393', '42', '51', '68', '78', '85', '98']","['123', '144', '31', '267', '279', '41', '392', '398', '49', '67', '77', '84', '96', '105']"
7091188,"['0000166', '0000097', '0025356', '0031957', '0000119', '0000119', '0000748', '0012741', '0000092', '0001317']","['severe', 'mental', 'retardation', '""puppet-like"" gait', 'craniofacial abnormalities', 'frequent episodes of', 'laughter', 'unilateral', 'cerebellar atrophy', 'cerebellar abnormalities', 'Happy Puppet']","['175', '182', '189', '202', '237', '269', '290', '427', '438', '512', '53']","['181', '188', '200', '220', '263', '289', '298', '437', '456', '536', '65']"
18701717,"['0002360', '0000119', '0030015', '0000119', '0000119', '0000166', '0000097', '0000119', '0025356', '0000119']","['sleep disturbances', 'morphological abnormalities', 'catalytic cysteine', 'neurological disorder', 'nervous system', 'abnormal locomotive behavior', 'severe', 'mental', 'in the nervous system', 'retardation', 'loss of motor coordination']","['127', '1424', '1479', '23', '479', '649', '68', '75', '770', '82', '95']","['145', '1451', '1497', '44', '493', '677', '74', '81', '791', '93', '121']"
7039311,"['0000286', '0004322', '0002944', '0030275', '0004916', '0001371', '0032411', '0100490', '0100490', '0000119', '0003250', '0004442', '0001371', '0001604', '0000044', '0002804', '0004916', '0002804', '0032411', '0000205', '0009464', '0002305', '0009940', '0100490', '0001357', '0001760', '0011473', '0000119', '0010459', '0006316', '0003250', '0004916', '0001371', '0004916', '0004916', '0002804', '0000175', '0025338', '0410030', '0000171', '0011126', '0001371']","['epicanthal folds', 'keratoconus', 'short stature', 'scoliosis', 'unique hand position', 'distal', 'contractures', 'autosomal', 'dominant', 'inheritance', 'trismus', 'camptodactyly', 'contractural', 'arachnodactyly', 'camptodactyly', 'abnormal tendon attachments', 'congenital', 'joint', 'contractures', 'familial cases', 'isolated cases', 'arthrogryposis', 'distal', 'arthrogryposis', 'autosomal', 'dominant', 'inheritance', 'tightly clenched fists', 'medially', 'overlapping fingers', 'ulnar deviation', 'camptodactyly', 'positional', 'foot deformities', 'Contractures', 'variable', 'visceral anomalies', 'intrafamilial and', 'interfamilial', 'variability', 'congenital', 'distal', 'contractures', 'distal', 'distal', 'arthrogryposis', 'cleft palate', 'limb', 'cleft lip', 'small tongue', 'trismus', 'ptosis', 'contractures']","['1005', '1023', '1036', '1051', '1064', '1362', '1369', '1386', '1396', '1405', '1452', '1467', '1502', '1515', '1544', '1619', '168', '179', '185', '225', '247', '294', '335', '342', '404', '414', '423', '436', '474', '483', '504', '525', '554', '565', '583', '622', '656', '720', '738', '752', '76', '799', '806', '87', '890', '897', '949', '94', '963', '974', '988', '997', '99']","['1021', '1034', '1049', '1060', '1084', '1368', '1381', '1395', '1404', '1416', '1459', '1480', '1514', '1529', '1557', '1646', '178', '184', '197', '239', '261', '308', '341', '356', '413', '422', '434', '458', '482', '502', '519', '538', '564', '581', '595', '630', '674', '737', '751', '763', '86', '805', '818', '93', '896', '911', '961', '98', '972', '986', '995', '1003', '111']"
8681379,"['0002671', '0100619', '0000119', '0010603', '0031433', '0009726', '0000119', '0006880', '0002664', '0009726', '0032411', '0000119', '0030015']","['basal cell carcinomas', 'basal cell carcinoma', 'pits of the palms and soles', 'jaw keratocysts', 'other', 'tumors', 'developmental abnormalities', 'sporadic', 'tumor', 'autosomal', 'tumors', 'dominant', 'developmental abnormalities', 'disorder']","['109', '11', '139', '168', '198', '204', '216', '291', '385', '55', '639', '65', '725', '74']","['130', '31', '166', '183', '203', '210', '243', '299', '390', '64', '645', '73', '752', '82']"
