FileName,Actual Text,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier)
10712204,"['Brachydactyly type A-1 (BDA1) was, in 1903, the first recorded example of a human anomaly with Mendelian autosomal dominant inheritance. Two large families, the affected members of which were radiographed, were recruited in the study we describe here. Two-point linkage analysis for pedigree 1 (maximum LOD score [Zmax] 6.59 at recombination fraction [theta] 0.00) and for pedigree 2 (Zmax=5.53 at straight theta=0.00) mapped the locus for BDA1 in the two families to chromosome 2q. Haplotype analysis of pedigree 1 confined the locus for family 1 within an interval of <8.1 cM flanked by markers D2S2248 and D2S360, which was mapped to chromosome 2q35-q36 on the cytogenetic map. Haplotype analysis of pedigree 2 confined the locus for family 2 within an interval of <28. 8 cM flanked by markers GATA30E06 and D2S427, which was localized to chromosome 2q35-q37. The two families had no identical haplotype within the defined region, which suggests that the two families were not related.']","['HP:0001156', 'HP:0009370']","['Brachydactyly', 'Type A brachydactyly']","[1, 1]","[1, 1]"
10767004,"['In addition to craniofacial, auricular, ophthalmologic, and oral anomalies, the distinctive phenotype of the branchio-oculo-facial (BOF) syndrome (MIM 113620) includes skin defects in the neck or infra/supra-auricular region. These unusual areas of thin, erythematous wrinkled skin differ from the discrete cervical pits, cysts, and fistulas of the branchio-oto-renal (BOR) syndrome (MIM 113650). Although the BOF and BOR syndromes are sufficiently distinctive that they should not be confused, both can be associated with nasolacrimal duct stenosis, deafness, prehelical pits, malformed pinna, and renal anomalies. Furthermore, a reported father and son [Legius et al., 1990, Clin Genet 37:347-500] had features of both conditions. It was not clear whether they had an atypical presentation of either BOR or BOF syndrome, or represented a private syndrome. In light of these issues, we selected the BOR locus (EYA1) as a possible gene mutation for the BOF syndrome. In five BOF patients, there were no mutations detected in the EYA1 gene, suggesting that it is not allelic to the BOR syndrome.']","['HP:0100678', 'HP:0000077', 'HP:0000365', 'HP:0007678', 'HP:0000464', 'HP:0000951', 'HP:0000963', 'HP:0100276', 'HP:0000107', 'HP:0000377']","['Premature skin wrinkling', 'Abnormality of the kidney', 'Hearing impairment', 'Lacrimal duct stenosis', 'Abnormality of the neck', 'Abnormality of the skin', 'Thin skin', 'Skin pit', 'Renal cyst', 'Abnormality of the pinna']","[4, 2, 2, 2, 1, 1, 1, 1, 1, 1]","[10, 14, 14, 14, 9, 9, 9, 10, 14, 14]"
10771486,"['Schwannomas in the skin are frequently observed in neurofibromatosis 2 patients. In about one-quarter of the cases, skin tumors are the first clinical symptoms of this disease. Recognizing neurofibromatosis-2-related skin tumors is therefore important for early diagnosis of neurofibromatosis 2, especially in pediatric patients. In this study, we examined 40 skin tumors (36 schwannomas and four neurofibromas) from 20 neurofibromatosis 2 patients for NF2 mutations and allelic loss. NF2 mutations have been identified in blood from 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and NF2 allelic loss in 18 (45%) of the 40 analyzed tumors. Genetic alterations (allelic loss or mutation) were thus found in 50 (63%) out of the total of 80 examined alleles. In 17 (43%) tumors, alterations were found on both NF2 alleles. These results suggest that, as in the case of vestibular schwannomas and meningiomas, loss of functional NF2 gene product is also the critical event in the development of skin schwannomas. Identification of genetic alterations of the NF2 gene in skin tumors may help to identify neurofibromatosis-2-associated skin tumors, thus assisting in the diagnosis of neurofibromatosis 2 in ambiguous cases, and excluding neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).']","['HP:0002664', 'HP:0001067', 'HP:0008069', 'HP:0100008', 'HP:0002858', 'HP:0009588']","['Neoplasm', 'Neurofibromas', 'Neoplasm of the skin', 'Schwannoma', 'Meningioma', 'Vestibular Schwannoma']","[17, 9, 8, 8, 2, 2]","[0, 0, 0, 0, 0, 0]"
10861661,"['Among 25 patients diagnosed with Angelman syndrome, we detected 21 with deletion and 4 with paternal uniparental disomy (UPD), 2 isodisomies originating by postzygotic error, and 1 MII nondisjunction event. The diagnosis was obtained by molecular techniques, including methylation pattern analysis of exon 1 of SNRPN and microsatellite analysis of loci within and outside the 15q11-q13 region. Most manifestations present in deletion patients are those previously reported. Comparing the clinical data from our and published UPD patients with those with deletions we observed the following: the age of diagnosis is higher in UPD group (average 7 3/12 years), microcephaly is more frequent among deletion patients, UPD children start walking earlier (average age 2 9/12 years), whereas in deletion patients the average is 4 (1/2) years, epilepsy started later in UPD patients (average 5 10/12 years) than in deletion patients (average 1 11/12 years), weight above the 75th centile is reported mainly in UPD patients, complete absence of speech is more common in the deleted (88.9%) than in the UPD patients because half of the children are able to say few words. Thus, besides the abnormalities already described, the UPD patients have somewhat better verbal development, a weight above the 75th centile, and OFC in the upper normal range.']","['HP:0000252', 'HP:0001250', 'HP:0011451']","['Microcephaly', 'Seizures', 'Congenital microcephaly']","[2, 2, 2]","[0, 0, 0]"
10982040,"[""Angelman syndrome is a neuro-developmental disorder caused by genetic abnormalities affecting the maternal gene expression in the chromosome region 15q11-q13. In a study group of 45 Finnish Angelman patients, a recurrence of a del(15)(q11q13) was detected in one family. The mother's chromosomes 15 were structurally normal, whereas the patients and their unaffected brother shared an identical maternally derived haplotype outside the deletion region. These findings are suggestive of maternal germ-line mosaicism of del(15)(q11q13).""]",[],[],[],[]
11078565,"['We present a child with mild to moderate global developmental delay including severe speech impairment, inappropriate happy demeanor, wide-based gait, frequent ear infections with mild hearing loss, deep-set eyes, a wide mouth, widely-spaced teeth, normal head circumference, and no seizures. Results of peripheral blood lymphocyte chromosomal analysis with GTG banding were normal. However, fluorescence in situ hybridization (FISH) studies showed mosaicism for a deletion of probes (D15S10 and SNRPN) from the Angelman syndrome (AS) critical region with approximately 40% of peripheral lymphocytes having the deletion. The deleted chromosome 15 also showed centromeric duplication, which was detected with a D15Z1 probe [46,XX, dic(15)(pter-->q11.1::p11.2-->q11. 1::q13-->qter)]. The same duplication pattern was observed in 30% of the nuclei obtained from a buccal smear. Methylation studies using polymerase chain reaction with sodium bisulfite-treated DNA demonstrated a normal biparental methylation pattern. To the best of our knowledge, this is the first case with AS and a FISH detectable deletion in a mosaic pattern. We recommend FISH studies for the detection of mosaicism in the patients with AS clinical findings even if results of the methylation studies are normal.']","['HP:0001263', 'HP:0011343', 'HP:0040082', 'HP:0000154', 'HP:0000365', 'HP:0000490', 'HP:0000687', 'HP:0000750', 'HP:0001250', 'HP:0001344', 'HP:0002136', 'HP:0002167', 'HP:0002719', 'HP:0011342', 'HP:0410018', 'HP:0000316', 'HP:0001288', 'HP:0002371', 'HP:0006480', 'HP:0012712', 'HP:0012713']","['Global developmental delay', 'Moderate global developmental delay', 'Happy demeanor', 'Wide mouth', 'Hearing impairment', 'Deeply set eye', 'Widely spaced teeth', 'Delayed speech and language development', 'Seizures', 'Absent speech', 'Broad-based gait', 'Neurological speech impairment', 'Recurrent infections', 'Mild global developmental delay', 'Recurrent ear infections', 'Hypertelorism', 'Gait disturbance', 'Loss of speech', 'Premature loss of teeth', 'Mild hearing impairment', 'Moderate hearing impairment']","[5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1110452,"['Older paternal age has previously been documented as a factor in sporadic fresh mutational cases of several autosomal dominant disorders. In this collaborative study, an older mean paternal age has been documented in sporadic cases of at least five additional dominantly inheritable disorders; the basal cell nevus syndrome, the Waardenburg syndrome, the Crouzon syndrome, the oculo-dental-digital sysdrome, and the Treacher-Collins syndrome. It was also found to be a factor in acrodysostosis and progeria, suggesting a fresh mutant gene etiology for these two conditions in which virtually all cases have been sporadic and the mode of genetic etiology has been unknown.']","['HP:0002671', 'HP:0003764']","['Basal cell carcinoma', 'Nevus']","[2, 2]","[7, 7]"
11152153,['A 1-year-old male with branchio-oculo-facial syndrome together with preaxial polydatyly and a white forelock at birth is described. This is only the second case where preaxial polydactyly has been described in branchio-oculo-facial syndrome. In both cases a diagnosis of Waardenburg syndrome had been considered.'],"['HP:0010442', 'HP:0002211', 'HP:0100258']","['Polydactyly', 'White forelock', 'Preaxial polydactyly']","[3, 2, 2]","[0, 0, 0]"
11169564,"['Hereditary isolated brachydactyly type C (OMIM 113100) mostly follows an autosomal dominant pattern of inheritance with a marked variability in expression. This phenotype has been mapped to two different loci on chromosomes 12q24 and 20q11.2. The latter locus contains the cartilage-derived morphogenetic protein (CDMP)1 gene, in which a null mutation has been found in patients with malformations restricted to the upper limbs. A more complex brachydactyly type C phenotype has been mapped to chromosome 12q24. Differences in complexity of these phenotypes have been attributed to locus heterogeneity. Clinical subclassification based on the degree of complexity of the phenotype has therefore been suggested. We present patients with a complex brachydactyly type C phenotype in whom there is considerable intra- and interfamilial variability in expression. We show that clinical subclassification based on the complexity of the brachydactyly type C phenotype related to the genetic defect is not feasible. We present evidence that differences in complexity are not only due to locus heterogeneity, but that genetic modifiers and/or environmental factors must also play a role.']","['HP:0001156', 'HP:0009373']","['Brachydactyly', 'Type C brachydactyly']","[8, 4]","[2, 3]"
11312426,"['Nevoid basal cell carcinoma syndrome (NBCCS) is a genodermatosis with autosomal dominant inheritance. In identified kindreds the diagnosis is relatively easy, but for the patients without family history of this syndrome a high clinical suspicion is necessary for diagnosis.\n\nAcrochordons are distinctly uncommon in childhood. Our purpose was to evaluate skin tags that develop at an early age.\n\nThis is a retrospective series evaluation of 7 children who presented with pedunculated papules (acrochordon-like growths). A full history was then correlated with biopsy results in each patient.\n\nClinically, lesions consisted of flesh-colored and pigmented pedunculated papules. Histopathologic examination of these papules showed basal cell carcinomas in each biopsy specimen.\n\nWe consider that ""skin tag""-like basal cell carcinomas in childhood may represent a marker for NBCCS. Early diagnosis of this syndrome and early sun protection of the affected children could help decrease the number of lifetime tumors. Biopsy should be performed on acrochordons in children because they may be the presenting sign of NBCCS. Because these tags may precede other stigmata of the NBCCS, recognition may facilitate early diagnosis and allow early treatment and sun protection.']","['HP:0002671', 'HP:0030731', 'HP:0010609', 'HP:0200034', 'HP:0002664']","['Basal cell carcinoma', 'Carcinoma', 'Skin tags', 'Papule', 'Neoplasm']","[3, 3, 2, 1, 1]","[1, 1, 7, 9, 14]"
11338037,"['In this report we present a subject affected by nevoid basal cell carcinoma syndrome (NBCCS), showing also bilateral mandibular coronoid processes hyperplasia, a hitherto unreported association. Our observation of bilateral hyperplasia of the mandibular coronoid processes in a boy with NBCCS may prompt a retrospective and prospective review of other patients affected by this syndrome in order to establish if this anomaly is part of it.']","['HP:0000303', 'HP:0002671', 'HP:0030731']","['Mandibular prognathia', 'Basal cell carcinoma', 'Carcinoma']","[3, 2, 2]","[0, 0, 0]"
11342693,"['A retrospective review of 29 consecutive unselected patients referred for neuro-ophthalmic evaluation after the diagnosis of neurofibromatosis type 2 (NF2) showed that four of them had a monocular elevator paresis. In two of the four MRI demonstrated lesions, presumed to be schwannomas, of the third nerve. These findings indicate that monocular elevator paresis is a common neuro-ophthalmic finding in NF2, which the authors suspect is probably a sign of third nerve infiltration or compression by a schwannoma.']","['HP:0100008', 'HP:0001067']","['Schwannoma', 'Neurofibromas']","[5, 2]","[0, 0]"
11343340,"['The diagnosis of Angelman syndrome (AS) can be confirmed by genetic laboratory in about 80% of cases. In 20%, the diagnosis remains clinical, but often there is uncertainty about the correctness of the clinical diagnosis and alternative diagnoses may be investigated. In evaluating individuals for AS in our center since 1989, we have encountered several mimicking conditions, and additional ones have been reported in the literature. Mimicking conditions can be grouped into the areas of chromosome, single gene, and symptom complex anomalies. Microdeletions or microduplications include chromosome regions 2,4,17, 22, and 15. Single gene conditions include methylene tetrahydrofolate reductase deficiency (MTHFR), Rett syndrome, alpha-thalassemia retardation syndrome (ATR-X), and Gurrieri syndrome. Symptom complexes include cerebral palsy, static encephalopathy, Lennox-Gastaut syndrome, autism spectrum disorder, pervasive developmental delay (PDD), and mitochondrial disorders. We present a review of these mimicking disorders to increase the awareness about conditions that can lead to an incorrect clinical diagnosis of AS.']","['HP:0000717', 'HP:0001263', 'HP:0000729', 'HP:0001298', 'HP:0007239', 'HP:0100021']","['Autism', 'Global developmental delay', 'Autistic behavior', 'Encephalopathy', 'Congenital encephalopathy', 'Cerebral palsy']","[3, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0]"
11382639,"['To describe the ophthalmic and systemic features in a series of patients initially seen with eyelid basal cell carcinoma associated with Gorlin-Goltz syndrome.\n\nRetrospective noncomparative case series.\n\nOf 105 consecutive patients with eyelid basal cell carcinoma managed at an Ocular Oncology Center between January 1973 and December 1999, four patients with Gorlin-Goltz syndrome were identified.\n\nThe ophthalmic and systemic features, management, and outcome of patients with eyelid basal cell carcinoma associated with Gorlin-Goltz syndrome were analyzed. The published literature on Gorlin-Goltz syndrome, specifically related to genetics, systemic features, ophthalmic associations, and prophylactic management strategies, was reviewed.\n\nResponse of the eyelid basal cell carcinoma to treatment and the final systemic condition were the main outcome measures.\n\nAll four patients had a family history of Gorlin-Goltz syndrome. The systemic manifestations included multiple basal cell carcinomas in all the patients, frontal bossing or increased occipitofrontal circumference in three patients, palmar pits in two patients, odontogenic keratocyst in one patient, ectopic calcification in one patient, and bifid rib in one patient. The mean age at the detection of the first basal cell carcinoma was 30 years (range, 16-38 years). All four patients had multiple basal cell carcinomas on the face and elsewhere. The eyelid basal cell carcinoma was advanced with orbital infiltration in three patients, one of whom opted for palliative radiotherapy, whereas the other two underwent orbital exenteration. The fourth patient, who had localized recurrent basal cell carcinoma in the upper eyelid, was treated with excision and eyelid reconstruction. At the final follow-up (mean, 41 months), eyelid basal cell carcinoma was cured in three patients and stable in one patient. No patient had life-threatening sequelae of Gorlin-Goltz syndrome.\n\nGorlin-Goltz syndrome is a rare autosomal dominant cancer predisposition syndrome that may be associated with eyelid basal cell carcinoma. The associated systemic findings may be a clue to the diagnosis of this condition. It is important to recognize Gorlin-Goltz syndrome when a patient has multiple basal cell carcinomas or when a young patient with eyelid basal cell carcinoma is seen by an ophthalmologist, because lifelong monitoring is essential for patient management.']","['HP:0002671', 'HP:0030731', 'HP:0002007', 'HP:0010610', 'HP:0010766', 'HP:0002664']","['Basal cell carcinoma', 'Carcinoma', 'Frontal bossing', 'Palmar pits', 'Ectopic calcification', 'Neoplasm']","[14, 14, 1, 1, 1, 1]","[1, 1, 6, 8, 11, 20]"
11425952,"['The authors report a patient with neurofibromatosis type 2 (NF2) presenting with an axonal mononeuropathy multiplex. Sural nerve biopsy showed small scattered groups of Schwann cells transformed into irregular branching cells with abnormal cell-cell contacts. The authors hypothesize that defective Schwann cell function, due to inactivation of the NF2 gene product merlin, leads to changes in morphology, cell-cell contact, and growth, and finally to degeneration of axons.']","['HP:0001067', 'HP:0009831', 'HP:0040078']","['Neurofibromas', 'Mononeuropathy', 'Axonal degeneration']","[2, 2, 1]","[0, 0, 0]"
11455389,"['Brachydactyly type A-1 (BDA-1; MIM 112500) is characterized by shortening or missing of the middle phalanges (Fig. 1a). It was first identified by Farabee in 1903 (ref. 2), is the first recorded example of a human anomaly with Mendelian autosomal-dominant inheritance and, as such, is cited in most genetic and biological textbooks. Here we show that mutations in IHH, which encodes Indian hedgehog, cause BDA-1. We have identified three heterozygous missense mutations in the region encoding the amino-terminal signaling domain in all affected members of three large, unrelated families. The three mutant amino acids, which are conserved across all vertebrates and invertebrates studied so far, are predicted to be adjacent on the surface of IHH.']","['HP:0010239', 'HP:0001156', 'HP:0009370']","['Aplasia of the middle phalanx of the hand', 'Brachydactyly', 'Type A brachydactyly']","[2, 1, 1]","[3, 1, 1]"
11484202,"['Townes-Brocks syndrome (TBS) is a condition with imperforate anus, hand anomalies, and ear malformations with sensorineural hearing loss. Many cases are sporadic. Within and between families, the phenotype displays striking variability. Recently, the disease-causing gene for TBS was identified as SALL1, a zinc finger transcription factor. Here, we report a three-generation family with seven affected individuals who have a novel SALL1 mutation. Unique cardiac anomalies seen in this family include lethal truncus arteriosus in one patient and a lethal complicated defect, including pulmonary valve atresia, in a second patient. These severe cardiac anomalies have not previously been reported in a familial case of TBS. This family and a review of the literature indicate that cardiac evaluation is warranted in all individuals with this disorder. In addition, hypoplastic thumbs were seen in two individuals in this family and should, therefore, be considered a true feature of TBS.']","['HP:0000365', 'HP:0001626', 'HP:0001627', 'HP:0002023', 'HP:0001155', 'HP:0000407', 'HP:0008527', 'HP:0001660', 'HP:0004935', 'HP:0010882', 'HP:0009778']","['Hearing impairment', 'Abnormality of the cardiovascular system', 'Abnormal heart morphology', 'Anal atresia', 'Abnormality of the hand', 'Sensorineural hearing impairment', 'Congenital sensorineural hearing impairment', 'Truncus arteriosus', 'Pulmonary artery atresia', 'Pulmonary valve atresia', 'Short thumb']","[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 13, 13, 3, 4, 6, 6, 14, 15, 15, 17]"
