ID,Disease,HPO ID,Symptoms
100800,Achondroplasia,"['0003510', '0008873', '0008905', '0009381', '0009826', '0000252', '0000256', '0000290', '0000309', '0000350', '0000366', '0000411', '0000422', '0000426', '0001155', '0001176', '0001742', '0001863', '0002003', '0002007', '0002719', '0002808', '0003307', '0004060', '0004425', '0004488', '0005280', '0005281', '0006228', '0008443', '0011220', '0011451', '0011800', '0012371', '0030031', '0030866', '0200055', '0410018', '0002104', '0002870', '0002871', '0010535', '0010536', '0000238']","['Severe short stature', 'Disproportionate short-limb short stature', 'Rhizomelia', 'Short finger', 'Limb undergrowth', 'Microcephaly', 'Macrocephaly', 'Abnormality of the forehead', 'Abnormality of the midface', 'Small forehead', 'Abnormality of the nose', 'Protruding ear', 'Abnormality of the nasal bridge', 'Prominent nasal bridge', 'Abnormality of the hand', 'Large hands', 'Nasal obstruction', 'Toe clinodactyly', 'Large forehead', 'Frontal bossing', 'Recurrent infections', 'Kyphosis', 'Hyperlordosis', 'Trident hand', 'Flat forehead', 'Macrocephaly at birth', 'Depressed nasal bridge', 'Hypoplastic nasal bridge', 'Valgus hand deformity', 'Spinal deformities', 'Prominent forehead', 'Congenital microcephaly', 'Midface retrusion', 'Hyperplasia of midface', 'Small toe', 'Large knee', 'Small hand', 'Recurrent ear infections', 'Apnea', 'Obstructive sleep apnea', 'Central apnea', 'Sleep apnea', 'Central sleep apnea', 'Hydrocephalus']"
200990,Acrocallosal syndrome,"['0000234', '0000256', '0004488', '0000316', '0001249', '0001161', '0000175', '0001263']","['Abnormality of the head', 'Macrocephaly', 'Macrocephaly at birth', 'Hypertelorism', 'Intellectual disability', 'Hand polydactyly', 'Cleft palate', 'Global developmental delay']"
201100,Acrodermatitis enteropathica,['0002014'],['Diarrhea']
101900,Acrokeratosis verruciformis,[],[]
201450,"Acyl-CoA dehydrogenase, medium chain, deficiency of","['0001943', '0001985', '0001410', '0002013', '0011968']","['Hypoglycemia', 'Hypoketotic hypoglycemia', 'Decreased liver function', 'Vomiting', 'Feeding difficulties']"
201470,"Acyl-CoA dehydrogenase, short chain, deficiency of","['0002013', '0001943', '0001254', '0011968', '0004324', '0001252', '0001290', '0001319', '0001250', '0001263', '0000252', '0011451']","['Vomiting', 'Hypoglycemia', 'Lethargy', 'Feeding difficulties', 'Increased body weight', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Seizures', 'Global developmental delay', 'Microcephaly', 'Congenital microcephaly']"
175100,Adenomatous polyposis coli,[],[]
103050,Adenylosuccinase deficiency,[],[]
202300,Adrenal cortical carcinoma,"['0002664', '0003118', '0000859', '0006744', '0030731', '0000826', '0002666', '0002027', '0030157', '0012871', '0004324', '0003202', '0025383', '0500011', '0001030', '0000822', '0002315', '0002900', '0001324', '0001289', '0001962', '0003351']","['Neoplasm', 'Increased circulating cortisol level', 'Hyperaldosteronism', 'Adrenocortical carcinoma', 'Carcinoma', 'Precocious puberty', 'Pheochromocytoma', 'Abdominal pain', 'Flank pain', 'Varicocele', 'Increased body weight', 'Skeletal muscle atrophy', 'Dorsocervical fat pad', 'Moon facies', 'Fragile skin', 'Hypertension', 'Headache', 'Hypokalemia', 'Muscle weakness', 'Confusion', 'Palpitations', 'Decreased circulating renin level']"
201400,Adrenocorticotropic hormone deficiency,[],[]
300100,Adrenoleukodystrophy,"['0000846', '0000712', '0000752', '0011096', '0031358', '0003552', '0002385']","['Adrenal insufficiency', 'Emotional lability', 'Hyperactivity', 'Peripheral demyelination', 'Vegetative state', 'Muscle stiffness', 'Paraparesis']"
202370,"Adrenoleukodystrophy, neonatal","['0000365', '0001730', '0000290', '0000348', '0009891', '0000286', '0011800', '0000239', '0002240', '0100593', '0000478', '0000107', '0001252', '0001290', '0001319', '0001250', '0002104']","['Hearing impairment', 'Progressive hearing impairment', 'Abnormality of the forehead', 'High forehead', 'Underdeveloped supraorbital ridges', 'Epicanthus', 'Midface retrusion', 'Large fontanelles', 'Hepatomegaly', 'Calcification of cartilage', 'Abnormality of the eye', 'Renal cyst', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Seizures', 'Apnea']"
103285,ADULT syndrome,"['0100257', '0001159', '0001480', '0011481', '0002164', '0000668', '0001006', '0000966', '0000431', '0011123', '0000958', '0000968', '0009755']","['Ectrodactyly', 'Syndactyly', 'Freckling', 'Abnormal lacrimal duct morphology', 'Nail dysplasia', 'Hypodontia', 'Hypotrichosis', 'Hypohidrosis', 'Wide nasal bridge', 'Inflammatory abnormality of the skin', 'Dry skin', 'Ectodermal dysplasia', 'Ankyloblepharon']"
601495,Agammaglobulinemia 1,"['0004313', '0002014', '0032101', '0002028', '0031035', '0002098', '0012735', '0002110', '0031417', '0000246', '0011109', '0002024', '0002570', '0011947', '0012393', '0500093', '0000964', '0000010']","['Decreased antibody level in blood', 'Diarrhea', 'Unusual infection', 'Chronic diarrhea', 'Chronic infection', 'Respiratory distress', 'Cough', 'Bronchiectasis', 'Rhinorrhea', 'Sinusitis', 'Chronic sinusitis', 'Malabsorption', 'Steatorrhea', 'Respiratory tract infection', 'Allergy', 'IgE-mediated food allergy', 'Eczema', 'Recurrent urinary tract infections']"
613500,Agammaglobulinemia 2,"['0004313', '0002014', '0032101', '0002028', '0031035', '0002098', '0012735', '0002110', '0031417', '0000246', '0011109', '0002024', '0002570', '0011947', '0012393', '0500093', '0000964', '0000010']","['Decreased antibody level in blood', 'Diarrhea', 'Unusual infection', 'Chronic diarrhea', 'Chronic infection', 'Respiratory distress', 'Cough', 'Bronchiectasis', 'Rhinorrhea', 'Sinusitis', 'Chronic sinusitis', 'Malabsorption', 'Steatorrhea', 'Respiratory tract infection', 'Allergy', 'IgE-mediated food allergy', 'Eczema', 'Recurrent urinary tract infections']"
613502,Agammaglobulinemia 4,"['0004313', '0002014', '0032101', '0002028', '0031035', '0002098', '0012735', '0002110', '0031417', '0000246', '0011109', '0002024', '0002570', '0011947', '0012393', '0500093', '0000964', '0000010']","['Decreased antibody level in blood', 'Diarrhea', 'Unusual infection', 'Chronic diarrhea', 'Chronic infection', 'Respiratory distress', 'Cough', 'Bronchiectasis', 'Rhinorrhea', 'Sinusitis', 'Chronic sinusitis', 'Malabsorption', 'Steatorrhea', 'Respiratory tract infection', 'Allergy', 'IgE-mediated food allergy', 'Eczema', 'Recurrent urinary tract infections']"
613506,Agammaglobulinemia 5,"['0004313', '0002014', '0032101', '0002028', '0031035', '0002098', '0012735', '0002110', '0031417', '0000246', '0011109', '0002024', '0002570', '0011947', '0012393', '0500093', '0000964', '0000010']","['Decreased antibody level in blood', 'Diarrhea', 'Unusual infection', 'Chronic diarrhea', 'Chronic infection', 'Respiratory distress', 'Cough', 'Bronchiectasis', 'Rhinorrhea', 'Sinusitis', 'Chronic sinusitis', 'Malabsorption', 'Steatorrhea', 'Respiratory tract infection', 'Allergy', 'IgE-mediated food allergy', 'Eczema', 'Recurrent urinary tract infections']"
307200,Agammaglobulinemia and isolated hormone deficiency,"['0004313', '0002014', '0032101', '0002028', '0031035', '0002098', '0012735', '0002110', '0031417', '0000246', '0011109', '0002024', '0002570', '0011947', '0012393', '0500093', '0000964', '0000010']","['Decreased antibody level in blood', 'Diarrhea', 'Unusual infection', 'Chronic diarrhea', 'Chronic infection', 'Respiratory distress', 'Cough', 'Bronchiectasis', 'Rhinorrhea', 'Sinusitis', 'Chronic sinusitis', 'Malabsorption', 'Steatorrhea', 'Respiratory tract infection', 'Allergy', 'IgE-mediated food allergy', 'Eczema', 'Recurrent urinary tract infections']"
612718,AGAT deficiency,['0001324'],['Muscle weakness']
225750,"Aicardi–Goutières syndrome 1, dominant and recessive","['0000252', '0011451', '0001250', '0011968', '0002514', '0002500', '0002059', '0001433', '0009710']","['Microcephaly', 'Congenital microcephaly', 'Seizures', 'Feeding difficulties', 'Cerebral calcification', 'Abnormality of the cerebral white matter', 'Cerebral atrophy', 'Hepatosplenomegaly', 'Chilblains']"
610181,Aicardi–Goutières syndrome 2,"['0000252', '0011451', '0001250', '0011968', '0002514', '0002500', '0002059', '0001433', '0009710']","['Microcephaly', 'Congenital microcephaly', 'Seizures', 'Feeding difficulties', 'Cerebral calcification', 'Abnormality of the cerebral white matter', 'Cerebral atrophy', 'Hepatosplenomegaly', 'Chilblains']"
610329,Aicardi–Goutières syndrome 3,"['0000252', '0011451', '0001250', '0011968', '0002514', '0002500', '0002059', '0001433', '0009710']","['Microcephaly', 'Congenital microcephaly', 'Seizures', 'Feeding difficulties', 'Cerebral calcification', 'Abnormality of the cerebral white matter', 'Cerebral atrophy', 'Hepatosplenomegaly', 'Chilblains']"
610333,Aicardi–Goutières syndrome 4,"['0000252', '0011451', '0001250', '0011968', '0002514', '0002500', '0002059', '0001433', '0009710']","['Microcephaly', 'Congenital microcephaly', 'Seizures', 'Feeding difficulties', 'Cerebral calcification', 'Abnormality of the cerebral white matter', 'Cerebral atrophy', 'Hepatosplenomegaly', 'Chilblains']"
612952,Aicardi–Goutières syndrome 5,"['0000252', '0011451', '0001250', '0011968', '0002514', '0002500', '0002059', '0001433', '0009710']","['Microcephaly', 'Congenital microcephaly', 'Seizures', 'Feeding difficulties', 'Cerebral calcification', 'Abnormality of the cerebral white matter', 'Cerebral atrophy', 'Hepatosplenomegaly', 'Chilblains']"
118450,Alagille syndrome,"['0001399', '0001635', '0100626']","['Hepatic failure', 'Congestive heart failure', 'Chronic hepatic failure']"
203450,Alexander disease,[],[]
203500,Alkaptonuria,"['0005855', '0100550', '0001638', '0001654', '0001659', '0001635', '0000365', '0000787', '0001081']","['Multiple prenatal fractures', 'Tendon rupture', 'Cardiomyopathy', 'Abnormal heart valve morphology', 'Aortic regurgitation', 'Congestive heart failure', 'Hearing impairment', 'Nephrolithiasis', 'Cholelithiasis']"
300523,Allan–Herndon–Dudley syndrome,"['0004422', '0001251', '0000464', '0001344', '0002381', '0001252', '0001290', '0001319', '0009004', '0001371', '0002803', '0001257', '0003552', '0001324', '0004305']","['Biparietal narrowing', 'Ataxia', 'Abnormality of the neck', 'Absent speech', 'Aphasia', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Hypoplasia of the musculature', 'Flexion contracture', 'Congenital contracture', 'Spasticity', 'Muscle stiffness', 'Muscle weakness', 'Involuntary movements']"
203655,Alopecia universalis,[],[]
203700,Alpers syndrome,"['0001250', '0001252', '0001290', '0001319', '0011968', '0000365', '0001249', '0001324', '0012378', '0002015', '0200136', '0002650', '0002808', '0001332', '0100022', '0002072', '0002305', '0002020', '0002094', '0002098', '0002719', '0005957', '0001941', '0001943', '0003128', '0004902', '0001263', '0006887', '0001257', '0002445', '0000726', '0012847', '0001336', '0000648', '0000618', '0007875', '0009830', '0003401']","['Seizures', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Feeding difficulties', 'Hearing impairment', 'Intellectual disability', 'Muscle weakness', 'Fatigue', 'Dysphagia', 'Oral-pharyngeal dysphagia', 'Scoliosis', 'Kyphosis', 'Dystonia', 'Abnormality of movement', 'Chorea', 'Athetosis', 'Gastroesophageal reflux', 'Dyspnea', 'Respiratory distress', 'Recurrent infections', 'Breathing dysregulation', 'Acidosis', 'Hypoglycemia', 'Lactic acidosis', 'Congenital lactic acidosis', 'Global developmental delay', 'Intellectual disability, progressive', 'Spasticity', 'Tetraplegia', 'Dementia', 'Epilepsia partialis continua', 'Myoclonus', 'Optic atrophy', 'Blindness', 'Congenital blindness', 'Peripheral neuropathy', 'Paresthesia']"
203750,Alpha-methylacetoacetic aciduria,"['0002013', '0001944', '0002094', '0002098', '0005957', '0012378']","['Vomiting', 'Dehydration', 'Dyspnea', 'Respiratory distress', 'Breathing dysregulation', 'Fatigue']"
301040,Alpha-thalassemia mental retardation syndrome,[],[]
301050,Alport syndrome,[],[]
203800,Alström syndrome,"['0001635', '0001638', '0001644', '0000510', '0000548', '0008020', '0001513', '0000365', '0000407', '0008527', '0008619', '0005978', '0000842', '0000855', '0001397', '0002155', '0002910', '0001394', '0001399', '0008230', '0040171']","['Congestive heart failure', 'Cardiomyopathy', 'Dilated cardiomyopathy', 'Rod-cone dystrophy', 'Cone/cone-rod dystrophy', 'Cone dystrophy', 'Obesity', 'Hearing impairment', 'Sensorineural hearing impairment', 'Congenital sensorineural hearing impairment', 'Bilateral sensorineural hearing impairment', 'Type II diabetes mellitus', 'Hyperinsulinemia', 'Insulin resistance', 'Hepatic steatosis', 'Hypertriglyceridemia', 'Elevated hepatic transaminase', 'Cirrhosis', 'Hepatic failure', 'Decreased testosterone in males', 'Decreased serum testosterone level']"
104290,Alternating hemiplegia of childhood,"['0002301', '0001250']","['Hemiplegia', 'Seizures']"
606243,Alveolar soft part sarcoma,[],[]
609924,Aminoacylase 1 deficiency,"['0001270', '0001250', '0001249', '0002342', '0010864', '0001344', '0001510', '0001252', '0001290', '0001319']","['Motor delay', 'Seizures', 'Intellectual disability', 'Intellectual disability, moderate', 'Intellectual disability, severe', 'Absent speech', 'Growth delay', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia']"
300068,Androgen insensitivity syndrome,[],[]
105830,Angelman syndrome,[],[]
106210,Aniridia,[],[]
107250,Anterior segment mesenchymal dysgenesis,[],[]
613118,Antithrombin III deficiency,[],[]
207410,Antley–Bixler syndrome,[],[]
101200,Apert syndrome,[],[]
609135,Aplastic anemia,[],[]
207800,Argininemia,[],[]
207900,Argininosuccinic aciduria,[],[]
613546,Aromatase deficiency,"['0000141', '0000786', '0000098', '0000147', '0000939']","['Amenorrhea', 'Primary amenorrhea', 'Tall stature', 'Polycystic ovaries', 'Osteoporosis']"
139300,Aromatase excess syndrome,"['0010313', '0000826', '0000771', '0040171', '0001620', '0007464', '0008070', '0000135', '0000798', '0008734', '0000054', '0004322', '0400005', '0008236', '0100878', '0000858']","['Breast hypertrophy', 'Precocious puberty', 'Gynecomastia', 'Decreased serum testosterone level', 'High pitched voice', 'Sparse facial hair', 'Sparse hair', 'Hypogonadism', 'Oligospermia', 'Decreased testicular size', 'Micropenis', 'Short stature', 'Short ear', 'Isosexual precocious puberty', 'Enlarged uterus', 'Menstrual irregularities']"
608643,Aromatic L-amino acid decarboxylase deficiency,"['0001263', '0001290', '0001319', '0010553', '0001332', '0002013', '0100660', '0002014', '0002019', '0000975', '0012446', '0100507']","['Global developmental delay', 'Generalized hypotonia', 'Neonatal hypotonia', 'Oculogyric crisis', 'Dystonia', 'Vomiting', 'Dyskinesia', 'Diarrhea', 'Constipation', 'Hyperhidrosis', 'Low CSF 5-methyltetrahydrofolate', 'Reduced blood folate concentration']"
208050,Arterial tortuosity syndrome,"['0000563', '0000581', '0000776', '0001166', '0001659', '0100790']","['Keratoconus', 'Blepharophimosis', 'Congenital diaphragmatic hernia', 'Arachnodactyly', 'Aortic regurgitation', 'Hernia']"
108120,"Arthrogryposis multiplex congenita, distal type 1","['0002804', '0001762', '0001838', '0001263', '0001371', '0002803', '0031936', '0000329', '0001028', '0003634', '0004664', '0002089', '0000028', '0001627', '0030680', '0002575', '0000023', '0100790', '0000175', '0000478']","['Arthrogryposis multiplex congenita', 'Talipes equinovarus', 'Rocker bottom foot', 'Global developmental delay', 'Flexion contracture', 'Congenital contracture', 'Delayed ability to walk', 'Facial hemangioma', 'Hemangioma', 'Amyoplasia', 'Facial midline hemangioma', 'Pulmonary hypoplasia', 'Cryptorchidism', 'Abnormal heart morphology', 'Abnormality of cardiovascular system morphology', 'Tracheoesophageal fistula', 'Inguinal hernia', 'Hernia', 'Cleft palate', 'Abnormality of the eye']"
601680,"Arthrogryposis multiplex congenita, distal type 2B","['0002804', '0001762', '0001838', '0001263', '0001371', '0002803', '0031936', '0000329', '0001028', '0003634', '0004664', '0002089', '0000028', '0001627', '0030680', '0002575', '0000023', '0100790', '0000175', '0000478']","['Arthrogryposis multiplex congenita', 'Talipes equinovarus', 'Rocker bottom foot', 'Global developmental delay', 'Flexion contracture', 'Congenital contracture', 'Delayed ability to walk', 'Facial hemangioma', 'Hemangioma', 'Amyoplasia', 'Facial midline hemangioma', 'Pulmonary hypoplasia', 'Cryptorchidism', 'Abnormal heart morphology', 'Abnormality of cardiovascular system morphology', 'Tracheoesophageal fistula', 'Inguinal hernia', 'Hernia', 'Cleft palate', 'Abnormality of the eye']"
301835,Arts syndrome,"['0000365', '0002719', '0001251', '0000648', '0009830', '0001324', '0000407', '0008527', '0000359', '0000364', '0000598', '0001252', '0001290', '0001319', '0002311', '0001263', '0000572', '0006903', '0000510', '0032118']","['Hearing impairment', 'Recurrent infections', 'Ataxia', 'Optic atrophy', 'Peripheral neuropathy', 'Muscle weakness', 'Sensorineural hearing impairment', 'Congenital sensorineural hearing impairment', 'Abnormality of the inner ear', 'Hearing abnormality', 'Abnormality of the ear', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Incoordination', 'Global developmental delay', 'Visual loss', 'Congenital peripheral neuropathy', 'Rod-cone dystrophy', 'Retinitis']"
208400,Aspartylglucosaminuria,"['0002371', '0000256', '0000303', '0004488', '0012802', '0040309', '0000445', '0000750', '0001249', '0001344', '0002167', '0100543', '0001537', '0100790', '0012068', '0001250']","['Loss of speech', 'Macrocephaly', 'Mandibular prognathia', 'Macrocephaly at birth', 'Broad jaw', 'Increased size of the mandible', 'Wide nose', 'Delayed speech and language development', 'Intellectual disability', 'Absent speech', 'Neurological speech impairment', 'Cognitive impairment', 'Umbilical hernia', 'Hernia', 'Aspartylglucosaminuria', 'Seizures']"
208900,Ataxia–telangiectasia,"['0001009', '0001251', '0000657', '0002186', '0002311', '0004305', '0100585', '0002664', '0100526']","['Telangiectasia', 'Ataxia', 'Oculomotor apraxia', 'Apraxia', 'Incoordination', 'Involuntary movements', 'Telangiectasia of the skin', 'Neoplasm', 'Neoplasm of the lung']"
147050,Atopy,"['0001047', '0011123', '0012384', '0012393', '0002099', '0001945', '0003193']","['Atopic dermatitis', 'Inflammatory abnormality of the skin', 'Rhinitis', 'Allergy', 'Asthma', 'Fever', 'Allergic rhinitis']"
209300,Atransferrinemia,"['0001903', '0001369', '0002719']","['Anemia', 'Arthritis', 'Recurrent infections']"
608583,Atrial fibrillation,"['0001635', '0001297', '0012378', '0002098', '0001627', '0001658', '0002140', '0002326', '0011675', '0000822', '0001945']","['Congestive heart failure', 'Stroke', 'Fatigue', 'Respiratory distress', 'Abnormal heart morphology', 'Myocardial infarction', 'Ischemic stroke', 'Transient ischemic attack', 'Arrhythmia', 'Hypertension', 'Fever']"
209500,Atrichia with papular lesions,[],[]
600309,Atrioventricular canal defect,"['0002094', '0002098', '0005957', '0000961', '0000969', '0001635', '0012378', '0030828', '0000975', '0011675']","['Dyspnea', 'Respiratory distress', 'Breathing dysregulation', 'Cyanosis', 'Edema', 'Congestive heart failure', 'Fatigue', 'Wheezing', 'Hyperhidrosis', 'Arrhythmia']"
270960,Azoospermia due to perturbations of meiosis,[],[]
415000,Azoospermia,[],[]
218600,Baller–Gerold syndrome,"['0001363', '0004440', '0000234', '0000248', '0000520', '0011220', '0012165', '0004322', '0001029', '0000953', '0001010', '0004334']","['Craniosynostosis', 'Coronal craniosynostosis', 'Abnormality of the head', 'Brachycephaly', 'Proptosis', 'Prominent forehead', 'Oligodactyly', 'Short stature', 'Poikiloderma', 'Hyperpigmentation of the skin', 'Hypopigmentation of the skin', 'Dermal atrophy']"
241850,Bamforth–Lazarus syndrome,[],[]
153480,Bannayan–Riley–Ruvalcaba syndrome,['0001263'],['Global developmental delay']
209900,Bardet–Biedl syndrome 1,"['0000510', '0000548', '0008020', '0000572', '0000618', '0000662', '0007642', '0007875', '0001162', '0010442', '0100259', '0001513', '0001956', '0003241', '0001156', '0001159', '0000103', '0000458', '0000819', '0000873', '0001251', '0001276', '0001959', '0002070', '0002172', '0002251', '0002370', '0002509', '0006895', '0009806', '0005214', '0001638', '0001644', '0000135', '0001153', '0000013', '0000750', '0001263', '0002167']","['Rod-cone dystrophy', 'Cone/cone-rod dystrophy', 'Cone dystrophy', 'Visual loss', 'Blindness', 'Nyctalopia', 'Congenital stationary night blindness', 'Congenital blindness', 'Postaxial hand polydactyly', 'Polydactyly', 'Postaxial polydactyly', 'Obesity', 'Truncal obesity', 'External genital hypoplasia', 'Brachydactyly', 'Syndactyly', 'Polyuria', 'Anosmia', 'Diabetes mellitus', 'Diabetes insipidus', 'Ataxia', 'Hypertonia', 'Polydipsia', 'Limb ataxia', 'Postural instability', 'Aganglionic megacolon', 'Poor coordination', 'Limb hypertonia', 'Lower limb hypertonia', 'Nephrogenic diabetes insipidus', 'Intestinal obstruction', 'Cardiomyopathy', 'Dilated cardiomyopathy', 'Hypogonadism', 'Septate vagina', 'Hypoplasia of the uterus', 'Delayed speech and language development', 'Global developmental delay', 'Neurological speech impairment']"
302060,Barth syndrome,[],[]
149200,Bart–Pumphrey syndrome,[],[]
109400,Basal cell nevus syndrome,"['0000924', '0000892', '0002751', '0008453', '0005462', '0000316', '0000303', '0002671', '0030731', '0002514', '0003468', '0010614', '0010617', '0010618']","['Abnormality of the skeletal system', 'Bifid ribs', 'Kyphoscoliosis', 'Congenital kyphoscoliosis', 'Calcification of falx cerebri', 'Hypertelorism', 'Mandibular prognathia', 'Basal cell carcinoma', 'Carcinoma', 'Cerebral calcification', 'Abnormal vertebral morphology', 'Fibroma', 'Cardiac fibroma', 'Ovarian fibroma']"
123790,Beare–Stevenson cutis gyrata syndrome,[],[]
300376,Becker muscular dystrophy,"['0001324', '0003560', '0003741']","['Muscle weakness', 'Muscular dystrophy', 'Congenital muscular dystrophy']"
130650,Beckwith–Wiedemann syndrome,[],[]
158810,Bethlem myopathy,[],[]
253260,Biotinidase deficiency,"['0001250', '0001290', '0001319', '0001324', '0003690', '0001251', '0000365', '0000648', '0000988', '0001051', '0011123', '0003765', '0001596', '0410145', '0000718', '0001263', '0002721']","['Seizures', 'Generalized hypotonia', 'Neonatal hypotonia', 'Muscle weakness', 'Limb muscle weakness', 'Ataxia', 'Hearing impairment', 'Optic atrophy', 'Skin rash', 'Seborrheic dermatitis', 'Inflammatory abnormality of the skin', 'Psoriasiform dermatitis', 'Alopecia', 'Decreased biotinidase activity', 'Aggressive behavior', 'Global developmental delay', 'Immunodeficiency']"
135150,Birt–Hogg–Dubé syndrome,[],[]
262000,Björnstad syndrome,[],[]
109800,Bladder cancer,"['0002664', '0009725', '0000790', '0001909', '0009726', '0010474', '0000112', '0012210', '0030157']","['Neoplasm', 'Bladder neoplasm', 'Hematuria', 'Leukemia', 'Renal neoplasm', 'Bladder stones', 'Nephropathy', 'Abnormal renal morphology', 'Flank pain']"
186580,Blau syndrome,[],[]
210900,Bloom syndrome,[],[]
303700,Blue cone monochromacy,"['0000613', '0012047', '0000639', '0006934']","['Photophobia', 'Hemeralopia', 'Nystagmus', 'Congenital nystagmus']"
112310,Boomerang dysplasia,[],[]
301900,Börjeson–Forssman–Lehmann syndrome,"['0001249', '0001271', '0001252', '0001290', '0001319', '0011968', '0002342', '0010864', '0001263', '0000505', '0000518', '0000519', '0000540', '0000639', '0006934', '0002650', '0002808', '0000135', '0000028', '0000365', '0001250', '0410030', '0001909', '0002488', '0006721', '0005743', '0040075', '0001513', '0001256']","['Intellectual disability', 'Polyneuropathy', 'Muscular hypotonia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Feeding difficulties', 'Intellectual disability, moderate', 'Intellectual disability, severe', 'Global developmental delay', 'Visual impairment', 'Cataract', 'Developmental cataract', 'Hypermetropia', 'Nystagmus', 'Congenital nystagmus', 'Scoliosis', 'Kyphosis', 'Hypogonadism', 'Cryptorchidism', 'Hearing impairment', 'Seizures', 'Cleft lip', 'Leukemia', 'Acute leukemia', 'Acute lymphoblastic leukemia', 'Avascular necrosis of the capital femoral epiphysis', 'Hypopituitarism', 'Obesity', 'Intellectual disability, mild']"
211180,Bowen–Conradi syndrome,[],[]
112500,Brachydactyly type A1,[],[]
112600,Brachydactyly type A2,[],[]
113100,Brachydactyly type C,[],[]
113200,Brachydactyly type D,[],[]
113300,Brachydactyly type E,[],[]
113650,Branchiootorenal syndrome,"['0000083', '0000089', '0000104', '0000112', '0003774', '0008678', '0012622', '0000356', '0000598', '0000384', '0010609']","['Renal insufficiency', 'Renal hypoplasia', 'Renal agenesis', 'Nephropathy', 'Stage 5 chronic kidney disease', 'Renal hypoplasia/aplasia', 'Chronic kidney disease', 'Abnormality of the outer ear', 'Abnormality of the ear', 'Preauricular skin tag', 'Skin tags']"
114480,Breast cancer,"['0002664', '0003002', '0100783', '0000964', '0040189', '0003401', '0000989', '0100013', '0001824', '0002829', '0000952']","['Neoplasm', 'Breast carcinoma', 'Breast aplasia', 'Eczema', 'Scaling skin', 'Paresthesia', 'Pruritus', 'Neoplasm of the breast', 'Weight loss', 'Arthralgia', 'Jaundice']"
601003,Brody myopathy,[],[]
605041,Brooke–Spiegler syndrome,[],[]
211530,Brown–Vialetto–Van Laere syndrome,"['0000365', '0003470', '0006824', '0001308', '0002380', '0000407', '0008527', '0002878', '0002203', '0011947', '0002398', '0002503', '0000529', '0000572', '0000648', '0001251', '0000510', '0032118', '0001250', '0012332']","['Hearing impairment', 'Paralysis', 'Cranial nerve paralysis', 'Tongue fasciculations', 'Fasciculations', 'Sensorineural hearing impairment', 'Congenital sensorineural hearing impairment', 'Respiratory failure', 'Respiratory paralysis', 'Respiratory tract infection', 'Degeneration of anterior horn cells', 'Spinocerebellar tract degeneration', 'Progressive visual loss', 'Visual loss', 'Optic atrophy', 'Ataxia', 'Rod-cone dystrophy', 'Retinitis', 'Seizures', 'Abnormal autonomic nervous system physiology']"
300615,Brunner syndrome,[],[]
113970,Burkitt's lymphoma,[],[]
