file,text,HPO_symptoms,HPO_codes,starts,ends
10712204,"Brachydactyly type A-1 (BDA1) was, in 1903, the first recorded example of a human anomaly with Mendelian autosomal dominant inheritance. Two large families, the affected members of which were radiographed, were recruited in the study we describe here. Two-point linkage analysis for pedigree 1 (maximum LOD score [Zmax] 6.59 at recombination fraction [theta] 0.00) and for pedigree 2 (Zmax=5.53 at straight theta=0.00) mapped the locus for BDA1 in the two families to chromosome 2q. Haplotype analysis of pedigree 1 confined the locus for family 1 within an interval of <8.1 cM flanked by markers D2S2248 and D2S360, which was mapped to chromosome 2q35-q36 on the cytogenetic map. Haplotype analysis of pedigree 2 confined the locus for family 2 within an interval of <28. 8 cM flanked by markers GATA30E06 and D2S427, which was localized to chromosome 2q35-q37. The two families had no identical haplotype within the defined region, which suggests that the two families were not related.","['Brachydactyly type A-1', 'BDA1', 'autosomal dominant', 'autosomal dominant inheritance', 'dominant inheritance', 'dominant']","['0009371', '0009371', '0000006', '0000006', '0000006', '0000006']","[0, 24, 105, 105, 115, 115]","[22, 28, 123, 135, 135, 123]"
10767004,"In addition to craniofacial, auricular, ophthalmologic, and oral anomalies, the distinctive phenotype of the branchio-oculo-facial (BOF) syndrome (MIM 113620) includes skin defects in the neck or infra/supra-auricular region. These unusual areas of thin, erythematous wrinkled skin differ from the discrete cervical pits, cysts, and fistulas of the branchio-oto-renal (BOR) syndrome (MIM 113650). Although the BOF and BOR syndromes are sufficiently distinctive that they should not be confused, both can be associated with nasolacrimal duct stenosis, deafness, prehelical pits, malformed pinna, and renal anomalies. Furthermore, a reported father and son [Legius et al., 1990, Clin Genet 37:347-500] had features of both conditions. It was not clear whether they had an atypical presentation of either BOR or BOF syndrome, or represented a private syndrome. In light of these issues, we selected the BOR locus (EYA1) as a possible gene mutation for the BOF syndrome. In five BOF patients, there were no mutations detected in the EYA1 gene, suggesting that it is not allelic to the BOR syndrome.","['craniofacial, auricular, ophthalmologic, and oral anomalies', 'auricular, ophthalmologic, and oral anomalies', 'ophthalmologic, and oral anomalies', 'oral anomalies', 'skin defects in the neck', 'infra/supra-auricular region', 'unusual areas of thin, erythematous wrinkled skin', 'erythematous wrinkled skin', 'wrinkled skin', 'cervical pits, cysts, and fistulas', 'cervical pits, cysts', 'pits', 'fistulas', 'nasolacrimal duct stenosis', 'deafness', 'prehelical pits', 'pits', 'malformed pinna', 'renal anomalies']","['0002260', '0000377', '0000478', '0000153', '0000464', '0000356', '0000951', '0010783', '0100678', '0009795', '0009796', '0004467', '0009794', '0007678', '0000404', '0004467', '0004467', '0000377', '0000077']","[15, 29, 40, 60, 168, 196, 232, 255, 268, 307, 307, 316, 333, 523, 551, 561, 572, 578, 599]","[74, 74, 74, 74, 192, 224, 281, 281, 281, 341, 327, 320, 341, 549, 559, 576, 576, 593, 614]"
10771486,"Schwannomas in the skin are frequently observed in neurofibromatosis 2 patients. In about one-quarter of the cases, skin tumors are the first clinical symptoms of this disease. Recognizing neurofibromatosis-2-related skin tumors is therefore important for early diagnosis of neurofibromatosis 2, especially in pediatric patients. In this study, we examined 40 skin tumors (36 schwannomas and four neurofibromas) from 20 neurofibromatosis 2 patients for NF2 mutations and allelic loss. NF2 mutations have been identified in blood from 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and NF2 allelic loss in 18 (45%) of the 40 analyzed tumors. Genetic alterations (allelic loss or mutation) were thus found in 50 (63%) out of the total of 80 examined alleles. In 17 (43%) tumors, alterations were found on both NF2 alleles. These results suggest that, as in the case of vestibular schwannomas and meningiomas, loss of functional NF2 gene product is also the critical event in the development of skin schwannomas. Identification of genetic alterations of the NF2 gene in skin tumors may help to identify neurofibromatosis-2-associated skin tumors, thus assisting in the diagnosis of neurofibromatosis 2 in ambiguous cases, and excluding neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).","['Schwannomas', 'Schwannomas in the skin', 'neurofibromatosis', 'skin tumors', 'tumors', 'neurofibromatosis', 'skin tumors', 'tumors', 'neurofibromatosis', 'skin tumors', 'tumors', 'schwannomas', 'neurofibromas', 'neurofibromatosis', 'tumors', 'tumors', 'vestibular schwannomas', 'schwannomas', 'meningiomas', 'skin schwannomas', 'schwannomas', 'skin tumors', 'tumors', 'neurofibromatosis', 'skin tumors', 'tumors', 'neurofibromatosis', 'neurofibromatosis', 'skin tumors', 'tumors', 'skin tumors', 'tumors']","['0100008', '0009593', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0100008', '0001067', '0006746', '0002664', '0002664', '0009588', '0100008', '0002858', '0009593', '0100008', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0006746', '0008069', '0002664', '0008069', '0002664']","[0, 0, 51, 116, 121, 189, 217, 222, 275, 360, 365, 376, 397, 420, 652, 788, 886, 897, 913, 1011, 1016, 1086, 1091, 1119, 1150, 1155, 1198, 1252, 1385, 1390, 1428, 1433]","[11, 23, 68, 127, 127, 206, 228, 228, 292, 371, 371, 387, 410, 437, 658, 794, 908, 908, 924, 1027, 1027, 1097, 1097, 1136, 1161, 1161, 1215, 1269, 1396, 1396, 1439, 1439]"
10861661,"Among 25 patients diagnosed with Angelman syndrome, we detected 21 with deletion and 4 with paternal uniparental disomy (UPD), 2 isodisomies originating by postzygotic error, and 1 MII nondisjunction event. The diagnosis was obtained by molecular techniques, including methylation pattern analysis of exon 1 of SNRPN and microsatellite analysis of loci within and outside the 15q11-q13 region. Most manifestations present in deletion patients are those previously reported. Comparing the clinical data from our and published UPD patients with those with deletions we observed the following: the age of diagnosis is higher in UPD group (average 7 3/12 years), microcephaly is more frequent among deletion patients, UPD children start walking earlier (average age 2 9/12 years), whereas in deletion patients the average is 4 (1/2) years, epilepsy started later in UPD patients (average 5 10/12 years) than in deletion patients (average 1 11/12 years), weight above the 75th centile is reported mainly in UPD patients, complete absence of speech is more common in the deleted (88.9%) than in the UPD patients because half of the children are able to say few words. Thus, besides the abnormalities already described, the UPD patients have somewhat better verbal development, a weight above the 75th centile, and OFC in the upper normal range.","['microcephaly', 'epilepsy', 'absence of speech']","['0000252', '0001250', '0001617']","[659, 836, 1025]","[671, 844, 1042]"
10982040,"Angelman syndrome is a neuro-developmental disorder caused by genetic abnormalities affecting the maternal gene expression in the chromosome region 15q11-q13. In a study group of 45 Finnish Angelman patients, a recurrence of a del(15)(q11q13) was detected in one family. The mother's chromosomes 15 were structurally normal, whereas the patients and their unaffected brother shared an identical maternally derived haplotype outside the deletion region. These findings are suggestive of maternal germ-line mosaicism of del(15)(q11q13).",['neuro-developmental disorder'],['0012759'],[23],[51]
11078565,"We present a child with mild to moderate global developmental delay including severe speech impairment, inappropriate happy demeanor, wide-based gait, frequent ear infections with mild hearing loss, deep-set eyes, a wide mouth, widely-spaced teeth, normal head circumference, and no seizures. Results of peripheral blood lymphocyte chromosomal analysis with GTG banding were normal. However, fluorescence in situ hybridization (FISH) studies showed mosaicism for a deletion of probes (D15S10 and SNRPN) from the Angelman syndrome (AS) critical region with approximately 40% of peripheral lymphocytes having the deletion. The deleted chromosome 15 also showed centromeric duplication, which was detected with a D15Z1 probe [46,XX, dic(15)(pter-->q11.1::p11.2-->q11. 1::q13-->qter)]. The same duplication pattern was observed in 30% of the nuclei obtained from a buccal smear. Methylation studies using polymerase chain reaction with sodium bisulfite-treated DNA demonstrated a normal biparental methylation pattern. To the best of our knowledge, this is the first case with AS and a FISH detectable deletion in a mosaic pattern. We recommend FISH studies for the detection of mosaicism in the patients with AS clinical findings even if results of the methylation studies are normal.","['mild to moderate global developmental delay', 'moderate', 'moderate global developmental delay', 'global developmental delay', 'developmental delay', 'speech impairment', 'inappropriate happy demeanor', 'happy demeanor', 'wide-based gait', 'frequent ear infections', 'hearing loss', 'deep-set eyes', 'wide mouth', 'widely-spaced teeth', 'seizures']","['0011342', '0012826', '0011343', '0001263', '0001263', '0002167', '0100024', '0040082', '0002136', '0000403', '0000365', '0000490', '0000154', '0000687', '0001250']","[24, 32, 32, 41, 48, 85, 104, 118, 134, 151, 185, 199, 216, 228, 283]","[67, 40, 67, 67, 67, 102, 132, 132, 149, 174, 197, 212, 226, 247, 291]"
1110452,"Older paternal age has previously been documented as a factor in sporadic fresh mutational cases of several autosomal dominant disorders. In this collaborative study, an older mean paternal age has been documented in sporadic cases of at least five additional dominantly inheritable disorders; the basal cell nevus syndrome, the Waardenburg syndrome, the Crouzon syndrome, the oculo-dental-digital sysdrome, and the Treacher-Collins syndrome. It was also found to be a factor in acrodysostosis and progeria, suggesting a fresh mutant gene etiology for these two conditions in which virtually all cases have been sporadic and the mode of genetic etiology has been unknown.","['sporadic', 'autosomal dominant', 'dominant', 'sporadic cases', 'sporadic', 'dominantly inheritable disorders', 'basal cell nevus syndrome', 'basal cell nevus', 'sporadic']","['0003745', '0000006', '0000006', '0003745', '0003745', '0000006', '0002671', '0002671', '0003745']","[65, 108, 118, 217, 217, 260, 298, 298, 612]","[73, 126, 126, 231, 225, 292, 323, 314, 620]"
11152153,A 1-year-old male with branchio-oculo-facial syndrome together with preaxial polydatyly and a white forelock at birth is described. This is only the second case where preaxial polydactyly has been described in branchio-oculo-facial syndrome. In both cases a diagnosis of Waardenburg syndrome had been considered.,"['preaxial polydatyly', 'white forelock', 'preaxial polydactyly', 'polydactyly']","['0100258', '0002211', '0001177', '0010442']","[68, 94, 167, 176]","[87, 108, 187, 187]"
11169564,"Hereditary isolated brachydactyly type C (OMIM 113100) mostly follows an autosomal dominant pattern of inheritance with a marked variability in expression. This phenotype has been mapped to two different loci on chromosomes 12q24 and 20q11.2. The latter locus contains the cartilage-derived morphogenetic protein (CDMP)1 gene, in which a null mutation has been found in patients with malformations restricted to the upper limbs. A more complex brachydactyly type C phenotype has been mapped to chromosome 12q24. Differences in complexity of these phenotypes have been attributed to locus heterogeneity. Clinical subclassification based on the degree of complexity of the phenotype has therefore been suggested. We present patients with a complex brachydactyly type C phenotype in whom there is considerable intra- and interfamilial variability in expression. We show that clinical subclassification based on the complexity of the brachydactyly type C phenotype related to the genetic defect is not feasible. We present evidence that differences in complexity are not only due to locus heterogeneity, but that genetic modifiers and/or environmental factors must also play a role.","['brachydactyly', 'brachydactyly type C', 'autosomal dominant', 'dominant', 'marked variability in expression', 'variability', 'malformations restricted to the upper limbs', 'brachydactyly', 'brachydactyly type C', 'locus heterogeneity', 'heterogeneity', 'brachydactyly type C', 'brachydactyly', 'considerable intra- and interfamilial variability', 'interfamilial variability', 'variability in expression', 'variability', 'brachydactyly', 'brachydactyly type C', 'locus heterogeneity', 'heterogeneity']","['0001156', '0009373', '0000006', '0000006', '0003828', '0003812', '0002817', '0001156', '0009373', '0001425', '0001425', '0009373', '0001156', '0003822', '0003812', '0003828', '0003812', '0001156', '0009373', '0001425', '0001425']","[20, 20, 73, 83, 122, 129, 384, 444, 444, 582, 588, 746, 746, 794, 818, 832, 832, 930, 930, 1079, 1085]","[33, 40, 91, 91, 154, 140, 427, 457, 464, 601, 601, 766, 759, 843, 843, 857, 843, 943, 950, 1098, 1098]"
11312426,"Nevoid basal cell carcinoma syndrome (NBCCS) is a genodermatosis with autosomal dominant inheritance. In identified kindreds the diagnosis is relatively easy, but for the patients without family history of this syndrome a high clinical suspicion is necessary for diagnosis.

Acrochordons are distinctly uncommon in childhood. Our purpose was to evaluate skin tags that develop at an early age.

This is a retrospective series evaluation of 7 children who presented with pedunculated papules (acrochordon-like growths). A full history was then correlated with biopsy results in each patient.

Clinically, lesions consisted of flesh-colored and pigmented pedunculated papules. Histopathologic examination of these papules showed basal cell carcinomas in each biopsy specimen.

We consider that ""skin tag""-like basal cell carcinomas in childhood may represent a marker for NBCCS. Early diagnosis of this syndrome and early sun protection of the affected children could help decrease the number of lifetime tumors. Biopsy should be performed on acrochordons in children because they may be the presenting sign of NBCCS. Because these tags may precede other stigmata of the NBCCS, recognition may facilitate early diagnosis and allow early treatment and sun protection.","['basal cell carcinoma', 'autosomal dominant', 'autosomal dominant inheritance', 'dominant', 'dominant inheritance', 'childhood', 'skin tags', 'early age', 'pedunculated papules', 'basal cell carcinomas', 'skin tags', 'basal cell carcinomas', 'childhood', 'tumors', 'acrochordons']","['0002671', '0000006', '0000006', '0000006', '0000006', '0011463', '0010609', '0003593', '0200034', '0002671', '0010609', '0002671', '0011463', '0002664', '0010609']","[7, 70, 70, 80, 80, 315, 354, 383, 470, 727, 793, 808, 833, 1003, 1041]","[27, 88, 100, 88, 100, 324, 363, 392, 490, 748, 801, 829, 842, 1009, 1053]"
11338037,"In this report we present a subject affected by nevoid basal cell carcinoma syndrome (NBCCS), showing also bilateral mandibular coronoid processes hyperplasia, a hitherto unreported association. Our observation of bilateral hyperplasia of the mandibular coronoid processes in a boy with NBCCS may prompt a retrospective and prospective review of other patients affected by this syndrome in order to establish if this anomaly is part of it.","['basal cell carcinoma', 'bilateral mandibular coronoid processes hyperplasia', 'bilateral hyperplasia of the mandibular coronoid processes']","['0002671', '0000277', '0000277']","[55, 107, 214]","[75, 158, 272]"
11342693,"A retrospective review of 29 consecutive unselected patients referred for neuro-ophthalmic evaluation after the diagnosis of neurofibromatosis type 2 (NF2) showed that four of them had a monocular elevator paresis. In two of the four MRI demonstrated lesions, presumed to be schwannomas, of the third nerve. These findings indicate that monocular elevator paresis is a common neuro-ophthalmic finding in NF2, which the authors suspect is probably a sign of third nerve infiltration or compression by a schwannoma.","['neurofibromatosis', 'monocular elevator paresis', 'schwannomas', 'schwannomas, of the third nerve', 'monocular elevator paresis', 'schwannoma']","['0006746', '0006860', '0100008', '0001291', '0006860', '0100008']","[125, 187, 275, 275, 337, 502]","[142, 213, 286, 306, 363, 512]"
11343340,"The diagnosis of Angelman syndrome (AS) can be confirmed by genetic laboratory in about 80% of cases. In 20%, the diagnosis remains clinical, but often there is uncertainty about the correctness of the clinical diagnosis and alternative diagnoses may be investigated. In evaluating individuals for AS in our center since 1989, we have encountered several mimicking conditions, and additional ones have been reported in the literature. Mimicking conditions can be grouped into the areas of chromosome, single gene, and symptom complex anomalies. Microdeletions or microduplications include chromosome regions 2,4,17, 22, and 15. Single gene conditions include methylene tetrahydrofolate reductase deficiency (MTHFR), Rett syndrome, alpha-thalassemia retardation syndrome (ATR-X), and Gurrieri syndrome. Symptom complexes include cerebral palsy, static encephalopathy, Lennox-Gastaut syndrome, autism spectrum disorder, pervasive developmental delay (PDD), and mitochondrial disorders. We present a review of these mimicking disorders to increase the awareness about conditions that can lead to an incorrect clinical diagnosis of AS.","['retardation', 'cerebral palsy', 'encephalopathy', 'autism spectrum disorder', 'autism', 'pervasive developmental delay', 'developmental delay']","['0001249', '0100021', '0001298', '0000729', '0000717', '0000729', '0001263']","[749, 828, 851, 892, 892, 918, 928]","[760, 842, 865, 916, 898, 947, 947]"
