file,spanish,HPO_symptoms,HPO_code
10771486,"Los schwanomas de la piel se observan frecuentemente en pacientes con neurofibromatosis 2. En aproximadamente una cuarta parte de los casos, los tumores cutáneos son los primeros síntomas clínicos de esta enfermedad. El reconocimiento de los tumores cutáneos relacionados con la neurofibromatosis-2 es, por tanto, importante para el diagnóstico precoz de la neurofibromatosis 2, especialmente en pacientes pediátricos. En este estudio examinamos 40 tumores cutáneos (36 schwanomas y 4 neurofibromas) de 20 neurofibromatosis 2 pacientes por mutaciones NF2 y pérdida alélica. Se han identificado mutaciones NF2 en sangre de 15 (75%) de los 20 pacientes. Encontramos mutaciones NF2 en cinco (13%) y pérdida de alélica NF2 en 18 (45%) de los 40 tumores analizados. Las alteraciones genéticas (pérdida alélica o mutación) se encontraron en 50 (63%) del total de 80 alelos examinados. En 17 (43%) se encontraron alteraciones en ambos alelos NF2. Estos resultados sugieren que, como en el caso de los schwanomas y meningiomas vestibulares, la pérdida del producto funcional del gen NF2 es también el acontecimiento crítico en el desarrollo de los schwanomas cutáneos. La identificación de las alteraciones genéticas del gen NF2 en los tumores cutáneos puede ayudar a identificar los tumores cutáneos asociados a la neurofibromatosis-2, ayudando en el diagnóstico de la neurofibromatosis 2 en casos ambiguos y excluyendo la neurofibromatosis 1 en casos poco claros. También reportamos que la tasa de detección de mutaciones constitucionales fue mayor en los pacientes con tumores cutáneos (65%) que en pacientes sin tumores cutáneos (40%).","['Schwannomas', 'Schwanomas en la piel.', 'neurofibromatosis', 'tumores cutáneos.', 'tumores', 'neurofibromatosis', 'tumores cutáneos.', 'tumores', 'neurofibromatosis', 'tumores cutáneos.', 'tumores', 'schwannomas', 'neurofibromas', 'neurofibromatosis', 'tumores', 'tumores', 'schwanomas vestibulares.', 'schwannomas', 'meningiomas', 'schwanomas cutáneos.', 'schwannomas', 'tumores cutáneos.', 'tumores', 'neurofibromatosis', 'tumores cutáneos.', 'tumores', 'neurofibromatosis', 'neurofibromatosis', 'tumores cutáneos.', 'tumores', 'tumores cutáneos.', 'tumores']","['0100008', '0009593', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0100008', '0001067', '0006746', '0002664', '0002664', '0009588', '0100008', '0002858', '0009593', '0100008', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0006746', '0008069', '0002664', '0008069', '0002664']"
10861661,"De los 25 pacientes diagnosticados de síndrome de Angélica, se detectó 21 con deleción y 4 con uniparental uniparental paternal (UPD), 2 isodisomies originados por error postcigoto y 1 evento disyunción MII. El diagnóstico se obtuvo mediante técnicas moleculares, incluyendo el análisis del patrón de metilación del exón 1 de SNRPN y el análisis microsatélite de loci dentro y fuera de la región de 15q11-q13. La mayoría de las manifestaciones presentes en los pacientes con deleción son las descritas previamente. Comparando los datos clínicos de nuestros pacientes con UPD publicados con aquellos con deleciones observamos lo siguiente: la edad de diagnóstico es mayor en el grupo de UPD (media de 7 3/12 años), la microcefalia es más frecuente entre los pacientes con deleción, los niños de la UPD empiezan a caminar más temprano (edad media 2 9/12 años), mientras que en los pacientes con deleción la media es de 4 (1/2) años, la epilepsia se inicia más tarde en los pacientes con UPD (media 5 10/12 años) que en los pacientes con deleción (media 1 11/12 años), el peso por encima del 75 percentil se notifica principalmente en pacientes con UPD 88,9 que en los pacientes con UPD porque la mitad de los niños son capaces de decir pocas palabras. Así, además de las anomalías ya descritas, los pacientes con UPD tienen un desarrollo verbal algo mejor, un peso por encima de la 75 ª percentil y la OFC en el rango normal superior.","['microcefalia', 'epilepsia', 'ausencia de habla.']","['0000252', '0001250', '0001617']"
10982040,"El síndrome de Angélica es un trastorno neuroevolutivo causado por anomalías genéticas que afectan a la expresión génica materna en la región cromosómica 15q11-q13. En un grupo de estudio de 45 pacientes angélicas finlandeses, se detectó una recurrencia de un del (15) (q11q13) en una familia. Los cromosomas de la madre 15 fueron estructuralmente normales, mientras que los pacientes y su hermano no afectado compartían un haplotipo de origen maternal idéntico fuera de la región de deleción. Estos hallazgos son sugestivos de mosaico germinal materno de del (15) (q11q13).",['trastorno neuro-evolutivo.'],['0012759']
11078565,"Presentamos el caso de un niño con retraso global del desarrollo de leve a moderado, incluyendo deterioro severo del habla, deformación feliz inadecuada, marcha de base ancha, infecciones frecuentes del oído con hipoacusia leve, ojos profundos, una boca ancha, dientes ampliamente espaciados, circunferencia de la cabeza normal y ausencia de convulsiones. Los resultados del análisis cromosómico de linfocitos de sangre periférica con bandas GTG fueron normales. Sin embargo, los estudios de hibridación in situ de fluorescencia (FISH) demostraron mosaicismo para la deleción de sondas (D15S10 y SNRPN) de la región crítica del síndrome de Angel (AS), con aproximadamente el 40% de los linfocitos periféricos con la deleción. El cromosoma 15 eliminado también mostró duplicación centroméricas, que se detectó con una sonda D15Z1 [46, XX, dic (15) (Peter--> q 11.1::p 11,2--> q11.1:: q13--> qter)]. Se observó el mismo patrón de duplicación en el 30% de los núcleos obtenidos a partir de un frotis bucal. Los estudios de metilación mediante reacción en cadena de la polimerasa con ADN tratado con Bisulfito sódico demostraron un patrón de metilación biparental normal. Hasta donde sabemos, este es el primer caso con deleción detectable y un pez en un patrón de mosaico. Se recomiendan estudios de pescado para la detección de mosaicismo en los pacientes con como hallazgos clínicos, incluso si los resultados de los estudios de metilación son normales.","['retraso del desarrollo global de leve a moderado', 'moderada', 'retraso global moderado del desarrollo', 'retraso global del desarrollo', 'retraso del desarrollo', 'trastornos del habla', 'comportamiento feliz inapropiado', 'feliz comportamiento.', 'la marcha de base ancha.', 'Infecciones frecuentes del oído.', 'hipoacusia', 'ojos profundos', 'boca ancha', 'dientes ampliamente espaciados', 'convulsiones']","['0011342', '0012826', '0011343', '0001263', '0001263', '0002167', '0100024', '0040082', '0002136', '0000403', '0000365', '0000490', '0000154', '0000687', '0001250']"
1110452,"La edad paterna más antigua se ha documentado como un factor en casos esporádicos de mutaciones frescas de varios trastornos autosómicos dominantes. En este estudio colaborativo, se ha documentado una edad media paterna más antigua en casos esporádicos de al menos cinco trastornos adicionales dominantemente hereditarios; el síndrome del nevo basocelular, el síndrome de Waardenburg, el síndrome Crouzon, la sysdrome óculo-dental-digital y el síndrome de traición-Collins. También se encontró un factor en la Acrodisostosis y la progeria, lo que sugiere una etiología del gen mutante fresco para estas dos afecciones en las que prácticamente todos los casos han sido esporádicos y se ha desconocido el modo de etiología genética.","['esporádicos', 'autosómica dominante.', 'dominante', 'casos esporádicos.', 'esporádicos', 'trastornos dominantemente hereditarios.', 'síndrome del nevo basocelular.', 'Nevus basocelular.', 'esporádicos']","['0003745', '0000006', '0000006', '0003745', '0003745', '0000006', '0002671', '0002671', '0003745']"
11152153,Se describe un varón de 1 año de edad con síndrome síndrome-óculo-facial junto con polydatyly preaxial y copete blanca al nacer. Este es sólo el segundo caso en el que se ha descrito la preaxialidad en el síndrome de síndrome-óculo-facial. En ambos casos se ha considerado el diagnóstico de síndrome de waardenburg.,"['polydatyly preaxial.', 'copete blanca.', 'polydactyly preaxial.', 'polydactyly']","['0100258', '0002211', '0001177', '0010442']"
11169564,"La brachydactyly aislada hereditaria tipo C (OMIM 113100) sigue mayoritariamente un patrón de herencia autosómica dominante con marcada variabilidad en la expresión. Este fenotipo se ha mapeado a dos loci diferentes en los cromosomas 12q24 y 20Q 11.2. Este último locus contiene el gen de la proteína morfogenéticas derivado del cartílago (CDMP) 1, en el que se ha encontrado una mutación nula en pacientes con malformaciones restringidas a las extremidades superiores. Se ha mapeado un fenotipo más complejo tipo C de brachydactyly a 12q24 cromosómica. Las diferencias en la complejidad de estos fenotipos se han atribuido a la heterogeneidad de locus. Por lo tanto, se ha sugerido la subclasificación clínica basada en el grado de complejidad del fenotipo. Presentamos a los pacientes con un complejo fenotipo C de tipo brachydactyly en el que existe una considerable variabilidad intra e interfamiliar en la expresión. Demostramos que la subclasificación clínica basada en la complejidad del fenotipo tipo C de brachydactyly en relación con el defecto genético no es factible. Presentamos la evidencia de que las diferencias en complejidad no sólo se deben a la heterogeneidad de locus, sino que también deben desempeñar un papel los modificadores genéticos y/o los factores ambientales.","['brachydactyly', 'brachydactyly tipo C', 'autosómica dominante.', 'dominante', 'marcada variabilidad en la expresión.', 'variabilidad', 'malformaciones restringidas a extremidades superiores.', 'brachydactyly', 'brachydactyly tipo C', 'heterogeneidad de locus', 'heterogeneidad', 'brachydactyly tipo C', 'brachydactyly', 'considerable variabilidad intra e interfamiliar.', 'variabilidad interfamiliar.', 'variabilidad en la expresión.', 'variabilidad', 'brachydactyly', 'brachydactyly tipo C', 'heterogeneidad de locus', 'heterogeneidad']","['0001156', '0009373', '0000006', '0000006', '0003828', '0003812', '0002817', '0001156', '0009373', '0001425', '0001425', '0009373', '0001156', '0003822', '0003812', '0003828', '0003812', '0001156', '0009373', '0001425', '0001425']"
11338037,"En este artículo presentamos un tema afectado por el síndrome de carcinoma basocelular nevoide (NBCCS), que muestra también hiperplasia de los procesos coronoides mandibulares bilaterales, una asociación hasta ahora no declarada. Nuestra observación de la hiperplasia bilateral de los procesos coronoides mandibulares en un niño con NBCCS puede provocar una revisión retrospectiva y prospectiva de otros pacientes afectados por este síndrome con el fin de establecer si esta anomalía forma parte de la misma.","['carcinoma basocelular.', 'hiperplasia de procesos coronoides mandibulares bilaterales.', 'hiperplasia bilateral de los procesos coronoides mandibulares.']","['0002671', '0000277', '0000277']"
11342693,"Una revisión retrospectiva de 29 pacientes consecutivos no seleccionados remitidos para evaluación neuro-oftálmica tras el diagnóstico de neurofibromatosis tipo 2 (NF2) demostraron que cuatro de ellos tenían una paresia del elevador monocular. En dos de las cuatro RM se demostraron lesiones, presumidas como schwanomas, del tercer nervio. Estos hallazgos indican que la paresia del elevador monocular es un hallazgo neurooftálmico frecuente en NF2, que los autores sospechan probablemente un signo de infiltración del tercer nervio o compresión por un schwanoma.","['neurofibromatosis', 'paresia del elevador monocular.', 'schwannomas', 'schwanomas del tercer nervio.', 'paresia del elevador monocular.', 'Schwannoma']","['0006746', '0006860', '0100008', '0001291', '0006860', '0100008']"
11343340,"El diagnóstico de síndrome de Angélica (EA) puede confirmarse mediante laboratorio genético en aproximadamente el 80% de los casos. En el 20%, el diagnóstico sigue siendo clínico, pero a menudo existe incertidumbre sobre la corrección del diagnóstico clínico y se pueden investigar los diagnósticos alternativos. En la evaluación de individuos para el como en nuestro centro desde 1989, hemos encontrado varias condiciones simuladoras, y otras se han descrito en la literatura. La mímica de las condiciones se puede agrupar en las áreas del cromosoma, el gen único y las anomalías complejas de los síntomas. Las microdeleciones o microduplicaciones incluyen las regiones cromosómicas 2, 4, 17, 22 y 15. Las condiciones de un único gen incluyen el déficit de metileno tetrahidrofolato reductasa (MTHFR), el síndrome de rett, el síndrome de retraso de la alfa-talasemia (ATR-X) y el síndrome de Gurrieri. Los complejos de síntomas incluyen parálisis cerebral, encefalopatía estática, síndrome de Lennox-Gastaut, trastorno del espectro autista, retraso generalizado del desarrollo (PDD) y trastornos mitocondriales. Presentamos una revisión de estos trastornos simuladores para aumentar la conciencia sobre condiciones que pueden llevar a un diagnóstico clínico incorrecto de AS.","['retraso', 'parálisis cerebral.', 'encefalopatía', 'trastorno del espectro autista', 'autismo', 'retraso generalizado del desarrollo', 'retraso del desarrollo']","['0001249', '0100021', '0001298', '0000729', '0000717', '0000729', '0001263']"
11425952,"Se presenta el caso de una paciente con neurofibromatosis tipo 2 (NF2) con un múltiplex de mononeuropatía axonal. La biopsia del nervio sural mostraba pequeños grupos dispersos de células de Schwann transformados en células ramificadas irregulares con contactos celulares anormales. Los autores presumen que la función de la célula de Schwann defectuosa, debida a la inactivación del producto del gen NF2 Merlin, produce cambios en la morfología, en el contacto celular y en el crecimiento, y finalmente en la degeneración de los axones.","['neurofibromatosis', 'Mononeuropatía axonal Multiplex.', 'Células de Schwann transformadas.', 'función de la célula de Schwann defectuosa.', 'degeneración de axones.']","['0006746', '0009831', '0100008', '0100008', '0000764']"
11455389,"Brachydactyly tipo A-1 (BDA-1; MIM 112500) se caracteriza por acortamiento o ausencia de las falanges medias (Fig. 1A). Fue identificado por primera vez por Farabee en 1903 (Ref. 2), es el primer ejemplo registrado de una anomalía humana con herencia autosómica dominante mendeliana y, como tal, se cita en la mayoría de los libros de texto genéticos y biológicos. Aquí mostramos que las mutaciones en IHS, que codifica el erizo indio, causan el BDA-1. Hemos identificado tres mutaciones erróneas en la región que codifican el dominio de señalización amino-terminal en todos los miembros afectados de tres familias grandes no relacionadas. Los tres aminoácidos mutantes, que se conservan en todos los vertebrados e invertebrados estudiados hasta el momento, se predicen adyacentes a la superficie de IHS.","['Brachydactyly tipo A-1', 'BDA-1', 'acortamiento o falta de las falanges medias.', 'falta de las falanges medias.', 'herencia autosómica dominante.', 'dominante', 'herencia dominante.']","['0009371', '0009371', '0005819', '0009843', '0000006', '0000006', '0000006']"
11484202,"El síndrome de Townes-Brock (TBS) es una afección con un ano imperforado, anomalías de la mano y malformaciones del oído con hipoacusia neurosensorial. Muchos casos son esporádicos. Dentro y entre familias, el fenotipo muestra una notable variabilidad. Recientemente, el gen causante de la enfermedad de TBS se identificó como SALL1, un factor de transcripción del dedo de zinc. En este artículo presentamos una familia de tres generaciones con siete individuos afectos que presentan una nueva mutación SALL1. Las anomalías cardíacas únicas observadas en esta familia incluyen el tronco arterioso letal en un paciente y un defecto complicado letal, incluyendo la atresia valvular pulmonar, en un segundo paciente. Estas anomalías cardíacas graves no han sido descritas previamente en un caso familiar de TBS. Esta familia y una revisión de la literatura indican que la evaluación cardiaca está justificada en todos los individuos con este trastorno. Además, se observaron pulgares hipoplásticos en dos individuos de esta familia y, por tanto, deberían considerarse una verdadera característica de la TBS.","['ano imperforado.', 'anomalías de la mano.', 'malformaciones del oído.', 'hipoacusia neurosensorial.', 'hipoacusia', 'esporádicos', 'Dentro y entre familias, el fenotipo muestra una notable variabilidad', 'variabilidad', 'Anomalías cardíacas.', 'tronco arterioso.', 'atresia valvular pulmonar.', 'Anomalías cardíacas.', 'pulgares hipoplásticos.']","['0002023', '0001155', '0000598', '0000407', '0000365', '0003745', '0003822', '0003812', '0001627', '0001660', '0005134', '0001627', '0009778']"
