,file,text,HPO_symptoms,HPO_code
10,10767004,"In addition to craniofacial, atrial, ophthalmic, and oral abnormalities, the distinctive phenotype of oculo-facial syndrome syndrome (BOF) (MIM 113620) includes skin defects in the neck or infra / supra-auricular region. These unusual areas of wrinkled, thin, and erythematous skin differ from the discrete cervical fossae, cysts, and fistulas of oto-renal syndrome (BOR) (MIM 113650). Although the BOF and BOR syndromes are distinctive enough that they should not be confused, both can be associated with nasolacrimal duct canal stenosis, deafness, prehelical pits, malformed pinna, and kidney abnormalities. Furthermore, a reported father and son [Legius et al., 1990, Clin Genet 37: 347-500] exhibited characteristics of both conditions. It was unclear whether they had an atypical presentation of BOR or BOF syndrome, or represented a private syndrome. In light of these aspects, the BOR locus (EYA1) was selected as a possible gene mutation for BOF syndrome. No mutations in the EYA1 gene were detected in five BOF patients, suggesting that BOR syndrome was not allelicized.","['craniofacial, atrial, ophthalmological and oral abnormalities.', 'atrial, ophthalmological and oral abnormalities.', 'ophthalmological and oral abnormalities.', 'oral abnormalities.', 'skin defects in the neck.', 'infra / supra-auricular. ',' unusual areas of wrinkled skin, thin and erythematous. ',' wrinkled skin erythematous. ',' wrinkled skin. ',' cervical fossae, cysts and fistulas. ',' cervical fossae, cysts. ' , 'pits', 'fistulas', 'nasolacrimal duct canal stenosis.', 'deafness', 'prehelical fossae.', 'pits', 'malformed pinna.', 'kidney abnormalities.']","['0002260', '0000377', '0000478', '0000153', '0000464', '0000356', '0000951', '0010783', '0100678', '0009795', '0009796', '0004467', '0009794', '0007678', '0000404', '0004467', '0004467', '0000377', '0000077']"
11,10771486,"Schwanomas of the skin are frequently seen in patients with neurofibromatosis 2. In about a quarter of cases, skin tumors are the first clinical symptoms of this disease. Recognition of skin tumors related to neurofibromatosis-2 is therefore important for the early diagnosis of neurofibromatosis 2, especially in pediatric patients. In this study we examined 40 skin tumors (36 schwannomas and 4 neurofibromas) of 20 neurofibromatosis 2 patients for NF2 mutations and allelic loss. NF2 mutations have been identified in the blood of 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and loss of NF2 allelic in 18 (45%) of the 40 tumors analyzed. Genetic alterations (allelic loss or mutation) were found in 50 (63%) of the total of 80 alleles examined. Alterations were found in both NF2 alleles in 17 (43%). These results suggest that, as in the case of vestibular schwanomas and meningiomas, the loss of the functional product of the NF2 gene is also the critical event in the development of cutaneous schwanomas. Identifying the genetic alterations of the NF2 gene in skin tumors can help to identify skin tumors associated with neurofibromatosis-2, aiding in the diagnosis of neurofibromatosis 2 in ambiguous cases and excluding neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).","['Schwannomas', 'Schwanomas on the skin.', 'Neurofibromatosis', 'skin tumors.', 'Tumors', 'neurofibromatosis', 'skin tumors.', 'Tumors', 'neurofibromatosis', 'skin tumors.' , 'tumors',' schwannomas', 'neurofibromas',' neurofibromatosis', 'tumors',' tumors', 'vestibular schwanomas.', 'schwannomas',' meningiomas', 'cutaneous schwanomas.', 'schwannomas',' skin tumors. ',' tumors', 'neurofibromatosis',' skin tumors. ',' tumors', 'neurofibromatosis',' neurofibromatosis', 'skin tumors.', 'tumors',' skin tumors. ',' tumors' ]","['0100008', '0009593', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0100008', '0001067', '0006746', '0002664', '0002664', '0009588', '0100008', '0002858', '0009593', '0100008', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0006746', '0008069', '0002664', '0008069', '0002664']"
12,10861661,"Of the 25 patients diagnosed with Angelica syndrome, 21 were detected with deletion and 4 with uniparental paternal uniparental (UPD), 2 isodisomies caused by post-zygote error and 1 MII disjunction event. The diagnosis was obtained by molecular techniques, including analysis of the SNRPN exon 1 methylation pattern and microsatellite analysis of loci within and outside the 15q11-q13 region. Most of the manifestations present in patients with deletion are those previously described. Comparing the clinical data of our published UPD patients with those with deletions, we observe the following: the age of diagnosis is higher in the UPD group (mean of 7 3/12 years), microcephaly is more frequent among patients with deletion, UPD children start walking earlier (mean age 2 9/12 years), while in patients with deletion the mean is 4 (1/2) years, epilepsy starts later in UPD patients (mean 5 10/12 years) that in patients with deletion (mean 1 11/12 years), the weight above the 75th percentile is mainly reported in patients with UPD 88.9 than in patients with UPD because half of children are able to say few words. Thus, in addition to the abnormalities already described, UPD patients have somewhat better verbal development, a weight above the 75th percentile and OFC in the upper normal range.","['microcephaly', 'epilepsy', 'absence of speech.']","['0000252', '0001250', '0001617']"
13,10982040,"Angelica syndrome is a neuroevolutionary disorder caused by genetic abnormalities that affect maternal gene expression in the 15q11-q13 chromosomal region. In a study group of 45 Finnish angelic patients, a recurrence of del (15) (q11q13) was detected in one family. Chromosomes from mother 15 were structurally normal, while the patients and their unaffected brother shared an identical maternal haplotype outside the deletion region. These findings are suggestive of the maternal germ mosaic of del (15) (q11q13).",['neuro-evolutionary disorder.'],['0012759']
14,11078565,"We present the case of a child with mild to moderate global developmental delay, including severe speech impairment, inadequate happy deformity, wide-base gait, frequent ear infections with mild hearing loss, deep eyes, a wide mouth, widely spaced teeth, normal head circumference and absence of seizures. The results of the chromosomal analysis of peripheral blood lymphocytes with GTG bands were normal. However, fluorescence in situ hybridization (FISH) studies demonstrated mosaicism for the deletion of probes (D15S10 and SNRPN) in the critical region of Angel syndrome (AS), with approximately 40% of peripheral lymphocytes with the deletion . Chromosome 15 removed also showed centromeric duplication, which was detected with a D15Z1 probe [46, XX, Dec (15) (Peter -> q 11.1 :: p 11.2 -> q11.1 :: q13 -> qter)]. The same pattern of duplication was observed in 30% of the nuclei obtained from a buccal smear. Polymerase chain reaction methylation studies with DNA treated with sodium bisulfite demonstrated a normal biparental methylation pattern. As far as we know, this is the first case with a detectable deletion and a fish in a mosaic pattern. Fish studies are recommended for the detection of mosaicism in patients with as clinical findings, even if the results of methylation studies are normal.","['mild to moderate global developmental delay', 'moderate', 'moderate global developmental delay', 'global developmental delay', 'developmental delay', 'speech disorders',' inappropriate happy behavior ',' happy behavior. ',' wide-base gait. ',' frequent ear infections. ',' hearing loss', 'deep eyes',' wide mouth ',' widely spaced teeth ',' seizures']","['0011342', '0012826', '0011343', '0001263', '0001263', '0002167', '0100024', '0040082', '0002136', '0000403', '0000365', '0000490', '0000154', '0000687', '0001250']"
15,1110452,"Older paternal age has been documented as a factor in sporadic cases of fresh mutations of various autosomal dominant disorders. In this collaborative study, an older mean paternal age has been documented in sporadic cases of at least five additional dominant inherited disorders; basal cell nevus syndrome, Waardenburg syndrome, Crouzon syndrome, oculo-dental-digital sysdrome and treason-Collins syndrome. A factor was also found in Acrodysostosis and Progeria, suggesting an aetiology of the fresh mutant gene for these two conditions in which virtually all cases have been sporadic and the mode of genetic etiology has been unknown.","['sporadic', 'autosomal dominant.', 'dominant', 'sporadic cases.', 'sporadic', 'dominantly hereditary disorders.', 'basal cell nevus syndrome.', 'basal cell nevus.', 'sporadic']","['0003745', '0000006', '0000006', '0003745', '0003745', '0000006', '0002671', '0002671', '0003745']"
16,11152153,"A 1-year-old male with oculo-facial syndrome is described along with polydatyly preaxial and white forehead at birth. This is only the second case in which preaxiality has been described in the oculo-facial syndrome. In both cases, the diagnosis of waardenburg syndrome has been considered.","['polydatyly preaxial.', 'white pompadour.', 'polydactyly preaxial.', 'polydactyly']","['0100258', '0002211', '0001177', '0010442']"
17,11169564,"The isolated brachydactyly hereditary type C (OMIM 113100) mostly follows an autosomal dominant pattern of inheritance with marked variability in expression. This phenotype has been mapped to two different loci on chromosomes 12q24 and 20Q 11.2. This latter locus contains the cartilage-derived morphogenetic protein gene (CDMP) 1, in which a null mutation has been found in patients with malformations restricted to the upper extremities. A more complex type C phenotype of brachydactyly has been mapped to chromosomal 12q24. Differences in the complexity of these phenotypes have been attributed to locus heterogeneity. Therefore, clinical subclassification based on the degree of complexity of the phenotype has been suggested. We present patients with a brachydactyly-like phenotype C complex in which there is considerable intra- and inter-family variability in expression. We demonstrate that clinical subclassification based on the complexity of the brachydactyly type C phenotype in relation to the genetic defect is not feasible. We present the evidence that differences in complexity are not only due to locus heterogeneity, but that genetic modifiers and / or environmental factors must also play a role.","['brachydactyly', 'brachydactyly type C', 'autosomal dominant.', 'dominant', 'marked variability in expression.', 'variability', 'malformations restricted to upper extremities.', 'brachydactyly', 'brachydactyly type C ',' locus heterogeneity ',' heterogeneity ',' type C brachydactyly ',' brachydactyly ',' considerable intra and inter-family variability. ',' Inter-family variability. ',' Expression variability. ',' Variability ', 'brachydactyly', 'brachydactyly type C', 'heterogeneity of locus', 'heterogeneity']","['0001156', '0009373', '0000006', '0000006', '0003828', '0003812', '0002817', '0001156', '0009373', '0001425', '0001425', '0009373', '0001156', '0003822', '0003812', '0003828', '0003812', '0001156', '0009373', '0001425', '0001425']"
18,11338037,"In this article, we present a topic affected by Nevoid Basal Cell Carcinoma Syndrome (NBCCS), which also shows hyperplasia of the bilateral mandibular coronoid processes, an association that has not been declared until now. Our observation of bilateral hyperplasia of the mandibular coronoid processes in a child with NBCCS may provoke a retrospective and prospective review of other patients affected by this syndrome in order to establish if this anomaly is part of it.","['Basal cell carcinoma.', 'Bilateral mandibular coronoid process hyperplasia.', 'Bilateral mandibular coronoid process hyperplasia.']","['0002671', '0000277', '0000277']"
19,11342693,"A retrospective review of 29 consecutive unselected patients referred for neuro-ophthalmic evaluation after the diagnosis of neurofibromatosis type 2 (NF2) showed that four of them had monocular elevator paresis. In two of the four MRI lesions, presumed as schwanomas, of the third nerve were demonstrated. These findings indicate that monocular elevator paresis is a frequent neuro-ophthalmic finding in NF2, which the authors probably suspect of a sign of third nerve infiltration or compression by a schwanoma.","['neurofibromatosis', 'monocular elevator paresis.', 'schwannomas', 'third nerve schwanomas.', 'monocular elevator paresis.', 'Schwannoma']","['0006746', '0006860', '0100008', '0001291', '0006860', '0100008']"
20,11343340,"The diagnosis of Angelica syndrome (AD) can be confirmed by genetic laboratory in approximately 80% of cases. In 20%, the diagnosis remains clinical, but there is often uncertainty about the correctness of the clinical diagnosis and alternative diagnoses can be investigated. In evaluating individuals for him as in our center since 1989, we have found several simulating conditions, and others have been described in the literature. The mimicry of conditions can be grouped into areas of the chromosome, the single gene, and complex symptom abnormalities. Microdeletions or microduplications include chromosomal regions 2, 4, 17, 22, and 15. Single gene conditions include methylene tetrahydrofolate reductase deficiency (MTHFR), rett syndrome, alpha-thalassemia delay syndrome ( ATR-X) and Gurrieri syndrome. Symptom complexes include cerebral palsy, static encephalopathy, Lennox-Gastaut syndrome, autism spectrum disorder, generalized developmental delay (PDD), and mitochondrial disorders. We present a review of these simulatory disorders to increase awareness of conditions that can lead to an incorrect clinical diagnosis of AS.","['delay', 'cerebral palsy.', 'encephalopathy', 'autism spectrum disorder', 'autism', 'general developmental delay', 'developmental delay']","['0001249', '0100021', '0001298', '0000729', '0000717', '0000729', '0001263']"
21,11425952,"The case of a patient with neurofibromatosis type 2 (NF2) with a multiplex of axonal mononeuropathy is presented. The sural nerve biopsy showed small scattered clusters of Schwann cells transformed into irregular branched cells with abnormal cell contacts. The authors presume that defective Schwann cell function, due to inactivation of the NF2 Merlin gene product, causes changes in morphology, cell contact, and growth, and ultimately axon degeneration.","['neurofibromatosis', 'Multiplex axonal mononeuropathy.', 'Transformed Schwann cells.', 'Defective Schwann cell function.', 'Axon degeneration.']","['0006746', '0009831', '0100008', '0100008', '0000764']"
22,11455389,"Brachydactyly type A-1 (BDA-1; MIM 112500) is characterized by shortening or absence of the middle phalanges (Fig. 1A). First identified by Farabee in 1903 (Ref. 2), it is the first recorded example of a human anomaly with autosomal dominant Mendelian inheritance and, as such, is cited in most genetic and biological textbooks. Here we show that mutations in IHS, which encodes the Indian hedgehog, cause BDA-1. We have identified three erroneous mutations in the region encoding the amino-terminal signaling domain in all affected members of three unrelated large families. The three mutant amino acids, which are conserved in all vertebrates and invertebrates studied so far, are predicted adjacent to the IHS surface.","['Brachydactyly type A-1', 'BDA-1', 'shortening or lack of middle phalanges.', 'Lack of middle phalanges.', 'Autosomal dominant inheritance.', 'Dominant', 'dominant inheritance. ']","['0009371', '0009371', '0005819', '0009843', '0000006', '0000006', '0000006']"
23,11484202,"Townes-Brock syndrome (TBS) is a condition with an imperforate anus, abnormalities of the hand, and ear malformations with sensorineural hearing loss. Many cases are sporadic. Within and between families, the phenotype shows remarkable variability. Recently, the gene causing TBS disease was identified as SALL1, a zinc finger transcription factor. In this article we present a three-generation family with seven affected individuals who present a new SALL1 mutation. The unique cardiac abnormalities seen in this family include the lethal artery trunk in one patient and a complicated fatal defect, including pulmonary valve atresia, in a second patient. These serious cardiac abnormalities have not been previously described in a family case of TBS. This family and a review of the literature indicate that cardiac evaluation is warranted in all individuals with this disorder. Furthermore, hypoplastic thumbs were observed in two individuals in this family and therefore should be considered a true feature of TBS.","['Imperforate anus.', 'Hand abnormalities.', 'Ear malformations.', 'Sensorineural hearing loss.', 'Hearing loss', 'Sporadic', 'Within and between families, the phenotype shows marked variability', 'variability', 'cardiac abnormalities.', 'arterial trunk.', 'pulmonary valve atresia.', 'cardiac abnormalities.', 'hypoplastic thumbs.']","['0002023', '0001155', '0000598', '0000407', '0000365', '0003745', '0003822', '0003812', '0001627', '0001660', '0005134', '0001627', '0009778']"
24,11837604,"Intrafamilial clinical variability in brachydactyly type C: in this report we describe a 4-generation family in which three members present variable clinical and radiological manifestations of brachydactyly type C. The observation of ""omitted generations"" in the current family and in some other reported families previously, it may indicate that brachydactyly type C is not a true autosomal dominant condition due to mutations in a single gene.","['Intrafamilial clinical variability.', 'Clinical variability.', 'Variability', 'brachydactyly type C', 'brachydactyly', 'variable', 'brachydactyly', 'brachydactyly type C', 'brachydactyly', 'autosomal dominant. ']","['0003822', '0003812', '0003812', '0009373', '0001156', '0003813', '0001156', '0009373', '0001156', '0000006']"
25,11896453,"Six cut-point regions have been described for rearrangements of the human 15q11-q14 chromosome. These rearrangements involve deletions found in approximately 70% of patients with Prader-Willi or Angelus syndrome (PWS, AS), duplications detected in some cases of autism, multiplications and inverted duplications. HERC2 (HEct domain and protein from RCc1 2 domain) Segmental duplications or duplicons are present at two of these cut-off points (BP2 and BP3) associated primarily with deletions. We show that clusters containing multiple copies of human chromosome 15 (LCR15) Duplicon are located in each of the six 15q11-q14 BPs described. Furthermore, our results suggest the existence of cut points for large deletions of 15q11-q13 in a proximal clone containing Duplicon. The study reveals that the duplicons containing HERC2 (estimated at 50-400 KB) and LCR15 duplicons (approximately 15 KB at 15q11-q14) share the genomic sequence of the Golgi protein (GLP). Through analysis of a human BAC library and public databases, we have identified 36 sequences related to LCR15 in the human genome, most (27) mapping to chromosome 15q and being transcribed. LCR15 analysis in non-human primates and age sequence divergences support a recent origin of this family of segmental duplications through human speciation.",['autism'],['0000717']
26,12011146,"Neurofibromatosis type 2 (NF2) should be suspected in patients who present with unilateral vestibular schwanoma at an early age, and therefore have a theoretical risk of developing bilateral disease. 45 patients 30 years of age or younger were identified at the onset of symptoms of a unilateral vestibular schwanoma. Molecular genetic analysis of the NF2 gene was completed in peripheral blood samples in all 45 and in 28 tumor samples. No pathogenic NF2 mutations were identified in any of the blood samples. Point mutations of NF2 were identified in 21/28 (75%) tumor samples and loss of heterozygote (LOH) in 21/28 (75%) tumor samples. Both mutational impacts were identified in 18/28 (65%) tumor samples. In a multilobular tumor, a mutation was confirmed (presumably in the first stroke) that was common to different foci of the tumor, while the second mutational event differed between foci. The molecular findings in this patient were consistent with somatic mosaicism for NF2 and the clinical diagnosis was confirmed with the presence of two meningiomas on a follow-up MRI. Another patient developed a contralateral vestibular schwanoma on a follow-up MRI in which none of the truncating vestibular schwanoma mutations was present in the blood. It is important when advising patients with unilateral vestibular schwanomas to identify (1) those at risk for bilateral disease, (2) those at risk of developing other tumors, and (3) other family members at risk of developing NF2. Comparing the tumor and blood DNA cannot exclude mosaicism in the index case and therefore cannot be used to predict those at risk of developing new tumors. However, the identification of both mutations or one more LOH mutation in the tumor and the exclusion of these mutations in the blood samples of the sibs or descendants of the affected case may be sufficient to make screening unnecessary in these relatives.","['Neurofibromatosis', 'unilateral vestibular schwanoma.', 'Vestibular schwanoma.', 'Schwannoma', 'young', 'young age.', 'Bilateral disease.', 'Unilateral vestibular schwanoma.', 'Vestibular schwanoma.' , 'Schwannoma', 'tumor', 'tumor', 'tumor', 'tumor', 'tumor', 'tumor', 'somatic mosaicism.', 'Meningiomas',' contralateral vestibular schwanoma. ',' Vestibular schwanoma. ',' Schwannoma ',' vestibular schwanoma. ',' Schwannoma ',' unilateral vestibular schwanomas. ',' Vestibular schwanomas. ',' Schwannomas', 'bilateral disease.', 'Tumors',' tumor ',' tumors' , 'tumor']","['0006746', '0009590', '0009588', '0100008', '0003593', '0003593', '0009589', '0009590', '0009588', '0100008', '0002664', '0002664', '0002664', '0002664', '0002664', '0002664', '0001442', '0002858', '0009589', '0009588', '0100008', '0009588', '0100008', '0009590', '0009588', '0100008', '0009589', '0002664', '0002664', '0002664', '0002664']"
