file,text,HPO_symptoms,HPO_code
10767004,"In addition to craniofacial, atrial, ophthalmic and oral abnormalities, the characteristic phenotype of Oculo-Facial Syndrome Syndrome (BOF) (MIM 113620) includes skin defects in the neck or in the infra / supraauricular region. These unusual areas of wrinkled, thin, and erythematous skin differ from the discrete cervical fossa, cysts, and fistulas of the oto-renal syndrome (BOR) (MIM 113650). Although BOF and BOR syndrome are sufficiently characteristic not to be confused, both can be associated with nasolacrimal duct stenosis, deafness, prehelical pits, malformed auricle, and kidney abnormalities. In addition, a reported father and son [Legius et al., 1990, Clin Genet 37: 347-500] showed characteristics of both conditions. It was unclear whether they had an atypical representation of BOR or BOF syndrome or were a private syndrome. In view of these aspects, the BOR locus (EYA1) was selected as a possible gene mutation for BOF syndrome. No mutations in the EYA1 gene were found in five BOF patients, suggesting that BOR syndrome was not allelized.","[""Craniofacial, atrial, ophthalmological and oral anomalies"", ""Atrial, ophthalmological and oral anomalies"", ""Ophthalmological and oral anomalies"", ""Oral anomalies"", ""Skin defects in the neck"", ""Infra /"" supraauricular. "","" unusual areas of wrinkled skin, thin and erythematous. "","" wrinkled skin erythematous. "","" wrinkled skin. "","" Fossae cervicalis, cysts and fistulas. "", Cervical fossa, cysts."" , ""Pits"", ""fistulas"", ""stenosis of the nasolacrimal duct"", ""numbness"", ""fossa prehelicalis"", ""pits"", ""malformed auricle"", ""kidney abnormalities"".]","['0002260', '0000377', '0000478', '0000153', '0000464', '0000356', '0000951', '0010783', '0100678', '0009795', '0009796', '0004467', '0009794', '0007678', '0000404', '0004467', '0004467', '0000377', '0000077']"
10771486,"Skin schwanomas are common in patients with neurofibromatosis 2. In about a quarter of cases, skin tumors are the first clinical symptoms of this disease. The detection of skin tumors in connection with neurofibromatosis-2 is therefore important for the early detection of neurofibromatosis 2, especially in pediatric patients. In this study, we examined 40 skin tumors (36 schwannomas and 4 neurofibromas) from 20 neurofibromatosis 2 patients for NF2 mutations and allele loss. NF2 mutations in the blood were identified in 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and loss of NF2 allele in 18 (45%) of the 40 tumors analyzed. Genetic changes (allele loss or mutation) were found in 50 (63%) of the 80 alleles examined. Changes in both NF2 alleles were found in 17 (43%). These results suggest that, like vestibular swanomas and meningiomas, the loss of the functional product of the NF2 gene is also the critical event in the development of skin swans. Identification of the genetic changes in the NF2 gene in skin tumors can help identify skin tumors associated with neurofibromatosis-2, support the diagnosis of neurofibromatosis 2 in ambiguous cases, and rule out neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).","[""Schwannoma"", ""Schwanoma on the skin"", ""Neurofibromatosis"", ""Skin tumors"", ""Tumors"", ""Neurofibromatosis"", ""Skin tumors"", ""Tumors"", ""Neurofibromatosis"", ""Skin tumors"". , ""Tumors"", ""schwannomas"", ""neurofibromas"", ""neurofibromatosis"", ""tumors"", ""tumors"", ""vestibular schwanomas"", ""schwannomas"", ""meningiomas"", ""skin swans"", ""schwannomas"", ""skin tumors"". , ""Tumors"", ""neurofibromatosis"", ""skin tumors"", ""tumors"", ""neurofibromatosis"", ""neurofibromatosis"", ""skin tumors"", ""tumors"", ""skin tumors"", ""tumors""]]","['0100008', '0009593', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0008069', '0002664', '0100008', '0001067', '0006746', '0002664', '0002664', '0009588', '0100008', '0002858', '0009593', '0100008', '0008069', '0002664', '0006746', '0008069', '0002664', '0006746', '0006746', '0008069', '0002664', '0008069', '0002664']"
10861661,"Of the 25 patients diagnosed with Angelica syndrome, 21 were detected with deletion and 4 with uniparental paternal uniparental (UPD), 2 isodisomies caused by a post-zygote error and 1 MII disjunction event. The diagnosis was obtained by molecular techniques, including analysis of the SNRPN exon 1 methylation pattern and microsatellite analysis of loci inside and outside the 15q11-q13 region. Most of the manifestations in patients with deletion are those previously described. When comparing the clinical data of our published UPD patients with those with deletions, we find the following: The diagnosis age is higher in the UPD group (mean of 7 3/12 years), microcephaly is more common in patients with deletion, and UPD children start Run earlier (mean age 2 9/12 years), while in patients with deletion the mean was 4 (1/2) years, epilepsy started later in UPD patients (mean 5 10/12 years) that in patients with deletion (Mean 1 11/12 years) the weight above the 75th percentile is given mainly in patients with UPD 88.9 than in patients with UPD because half of children can only say a few words. Thus, in addition to the anomalies already described, UPD patients have a somewhat better verbal development, a weight above the 75th percentile and OFC in the upper normal range.","['Microcephaly', 'epilepsy', 'speechlessness'.]","['0000252', '0001250', '0001617']"
10982040,"Angelica syndrome is a neuroevolutionary disorder caused by genetic abnormalities that affect maternal gene expression in the 15q11-q13 chromosomal region. A re-emergence of del (15) (q11q13) was found in a family in a study group of 45 Finnish angel patients. Mother 15 chromosomes were structurally normal, while the patients and their unaffected brother shared an identical maternal haplotype outside the deletion region. These results suggest a del (15) maternal germline mosaic (q11q13).",['neuro-evolutionary disorder.'],['0012759']
11078565,"We present the case of a child with mild to moderate global developmental delay, including severe language impairment, insufficient happiness deformity, wide gait, frequent ear infections with slight hearing loss, deep eyes, wide mouth, widely spaced teeth, normal head circumference and no seizures. The results of chromosomal analysis of peripheral blood lymphocytes with GTG bands were normal. However, fluorescence in situ hybridization studies (FISH) showed a mosaicism for probe deletion (D15S10 and SNRPN) in the critical region of Angel syndrome (AS), with approximately 40% of peripheral lymphocytes deleted. The removed chromosome 15 also showed a centromeric duplication, which was detected with a D15Z1 probe [46, XX, Dec (15) (Peter -> q 11.1 :: p 11.2 -> q11.1 :: q13 -> qter)] . The same duplication pattern was observed in 30% of the nuclei obtained from a buccal smear. Methylation studies on the polymerase chain reaction with sodium bisulfite-treated DNA showed a normal biparental methylation pattern. As far as we know, this is the first case with a detectable deletion and a fish in a mosaic pattern. Fish studies are recommended for the detection of mosaic in patients with clinical findings, even if the results of methylation studies are normal.","['slight to moderate global developmental delay', 'moderate', 'moderate global developmental delay', 'global developmental delay', 'developmental delay', 'language disorders',' inappropriate happy behavior ',' happy behavior. "","" Broad-base gait "","" Frequent ear infections "","" Hearing loss "","" Deep eyes "","" Wide mouth "","" Teeth widely apart "","" Seizures ""]","['0011342', '0012826', '0011343', '0001263', '0001263', '0002167', '0100024', '0040082', '0002136', '0000403', '0000365', '0000490', '0000154', '0000687', '0001250']"
1110452,"Older paternal age has been documented as a factor in sporadic cases of fresh mutations of various autosomal dominant diseases. This collaborative study documented an older middle paternal age in sporadic cases of at least five other dominant inherited diseases. Basal cell nevus syndrome, Waardenburg syndrome, Crouzon syndrome, okulo-dental-digital sysdroma and Verrat-Collins syndrome. A factor was also found in acrodysostosis and progeria, suggesting an etiology of the fresh mutant gene for these two conditions, in which virtually all cases were sporadic and the type of genetic etiology was unknown.","[""sporadic"", ""autosomal dominant"", ""dominant"", ""sporadic"", ""sporadic"", ""dominant hereditary disorders"", ""basal cell nevus syndrome"", ""basal cell nevus"", ""sporadic""]","['0003745', '0000006', '0000006', '0003745', '0003745', '0000006', '0002671', '0002671', '0003745']"
11152153,"A 1-year-old man with Okulo-facial syndrome is described at birth with a polydatyly preaxial and white forehead. This is only the second case where the preexiality in Okulo-Face Syndrome has been described. In both cases, the diagnosis of Waardenburg syndrome was considered.","['polydactyly preaxial.', 'white pompadour.', 'polydactyly preaxial.', 'polydactyly']","['0100258', '0002211', '0001177', '0010442']"
11169564,"The isolated hereditary brachydactyly type C (OMIM 113100) mostly follows an autosomal dominant inheritance pattern with pronounced variability in expression. This phenotype was mapped to two different loci on chromosomes 12q24 and 20Q 11.2. This last location contains the cartilage-derived morphogenetic protein gene (CDMP) 1, in which a zero mutation was found in patients with deformities that are limited to the upper extremities. A more complex type C phenotype of brachydactyly was mapped to chromosomal 12q24. Differences in the complexity of these phenotypes were attributed to the heterogeneity of the location. Therefore, a clinical subclassification based on the degree of complexity of the phenotype has been proposed. We present patients with a brachydactyly-like phenotype C complex in which expression varies significantly within and between families. We show that clinical subclassification is not possible due to the complexity of the brachydactyly type C phenotype with respect to the genetic defect. We present the proof that differences in complexity are not only due to the heterogeneity of the location, but that genetic modifiers and / or environmental factors must also play a role.","['Brachydactyly', 'brachydactyly type C', 'autosomal dominant', 'dominant', 'pronounced variability in expression', 'variability', 'malformations limited to the upper extremities',' brachydactyly ',' brachydactyly Type 'C', 'locus heterogeneity', 'heterogeneity', 'Type C brachydactyly', 'brachydactyly', 'considerable variability within and between families', 'variability between families', 'expression variability', 'variability', "" Brachydactyly "","" Brachydactyly type C "","" Site heterogeneity "","" Heterogeneity ""]","['0001156', '0009373', '0000006', '0000006', '0003828', '0003812', '0002817', '0001156', '0009373', '0001425', '0001425', '0009373', '0001156', '0003822', '0003812', '0003828', '0003812', '0001156', '0009373', '0001425', '0001425']"
11338037,"In this article, we present a topic that is affected by the Nevoid Basal Cell Carcinoma Syndrome (NBCCS) and that also shows hyperplasia of the bilateral mandibular coronoid processes, an association that has not yet been declared. Our observation of bilateral hyperplasia of the mandibular coronoid processes in a child with NBCCS can cause a retrospective and prospective review of other patients affected by this syndrome to determine if this abnormality is part of it.","['Basal cell carcinoma', 'Hyperplasia of bilateral mandibular coronoid processes', 'Bilateral hyperplasia of mandibular coronoid processes']","['0002671', '0000277', '0000277']"
11342693,A retrospective review of 29 consecutive unselected patients who were referred for neuro-ophthalmological examination after diagnosis of type 2 neurofibromatosis (NF2) showed that four of them had monocular elevator palsy. Two of the four MRIs showed suspected third nerve lesions as schwanomas. These findings suggest that monocular elevator palsy is a common neuro-ophthalmic finding in NF2 where the authors are likely to suspect a sign of infiltration or compression of the third nerve by a schwanoma.,"[""Neurofibromatosis"", ""Monocular Lift Paresis"", ""Schwannoma"", ""Schwanoma of the Third Nerve"", ""Monocular Lift Paresis"", ""Schwannoma""]","['0006746', '0006860', '0100008', '0001291', '0006860', '0100008']"
11343340,"The diagnosis of Angelica syndrome (AD) can be confirmed by the genetic laboratory in about 80% of cases. The diagnosis remains clinical in 20%, but there is often uncertainty about the accuracy of the clinical diagnosis and alternative diagnoses can be examined. When evaluating people for him as in our center since 1989, we found several simulation conditions, and others have been described in the literature. The imitation of conditions can be divided into areas of the chromosome, the single gene and complex symptom abnormalities. Microdeletions or microduplications include chromosome regions 2, 4, 17, 22 and 15. Single gene conditions include methylene tetrahydrofolate reductase deficiency (MTHFR), RET syndrome, alpha thalassemia delay syndrome (ATR-X) and Gurrieri syndrome. Symptom complexes include cerebral palsy, static encephalopathy, Lennox-Gastaut syndrome, autism spectrum disorder, generalized developmental delay (PDD) and mitochondrial disorders. We present an overview of these simulation disorders to raise awareness of conditions that can lead to a wrong clinical diagnosis of AS.","[""Delay"", ""Cerebral Palsy"", ""Encephalopathy"", ""Autism Spectrum Disorder"", ""Autism"", ""General Developmental Delay"", ""Developmental Delay""]","['0001249', '0100021', '0001298', '0000729', '0000717', '0000729', '0001263']"
11425952,"The case of a patient with type 2 neurofibromatosis (NF2) with a multiplex of axonal mononeuropathy is presented. The biopsy of the sural nerve showed small scattered clusters of Schwann cells, which were converted into irregularly branched cells with abnormal cell contacts. The authors suspect that defective Schwann cell function due to inactivation of the NF2-Merlin gene product causes changes in morphology, cell contact and growth, and ultimately in axon degeneration.","['Neurofibromatosis', 'Multiplex axonal mononeuropathy', 'Transformed Schwann cells', 'Defective Schwann cell function', 'Axon degeneration']","['0006746', '0009831', '0100008', '0100008', '0000764']"
11455389,"Brachydactyly type A-1 (BDA-1; MIM 112500) is characterized by shortening or absence of the middle phalanges (Fig. 1A). It was first identified by Farabee in 1903 (ref. 2) and is the first recorded example of a human anomaly with autosomal dominant Mendelian inheritance. As such, it is cited in most genetic and biological textbooks. Here we show that mutations in IHS encoding the Indian hedgehog cause BDA-1. We have identified three faulty mutations in the region that encode the amino-terminal signaling domain in all affected members of three unrelated large families. The three mutated amino acids, which are conserved in all vertebrates and invertebrates examined so far, are predicted in addition to the IHS surface.","['Brachydactyly type A-1', 'BDA-1', 'Shortening or lack of middle phalanges.', 'Lack of middle phalanges.', 'Autosomal dominant inheritance.', 'Dominant', 'dominant inheritance. ']","['0009371', '0009371', '0005819', '0009843', '0000006', '0000006', '0000006']"
11484202,"Townes-Brock syndrome (TBS) is a condition with an imperforate anus, hand abnormalities, and ear malformations with sensorineural hearing loss. Many cases are sporadic. The phenotype shows remarkable variability within and between families. The gene that causes TBS disease has recently been identified as SALL1, a zinc finger transcription factor. In this article, we present a three-generation family with seven affected individuals who have a new SALL1 mutation. The unique cardiac abnormalities observed in this family include the fatal artery strain in one patient and a complicated fatal defect, including pulmonary valve atresia, in a second patient. These serious cardiac abnormalities have not previously been reported in a family case of TBS. This family and a review of the literature show that a heart exam is warranted in anyone with this disorder. In addition, hypoplastic thumbs have been observed in two people in this family and should therefore be considered a true feature of TBS.","['Unperforated anus', 'Hand anomalies', 'Ear malformations', 'Sensorineural hearing loss', 'Hearing loss', 'Sporadic', 'Within and between families, the phenotype shows a pronounced variability', ""Variability"", ""Heart anomalies"", ""Arterial strain "","" Pulmonary Valve Atresia "","" Cardiac Abnormalities "","" Hypoplastic Thumbs ""]","['0002023', '0001155', '0000598', '0000407', '0000365', '0003745', '0003822', '0003812', '0001627', '0001660', '0005134', '0001627', '0009778']"
11837604,"Intrafamilial clinical variability in brachydactyly type C: In this report we describe a family of 4 generations in which three members have different clinical and radiological manifestations of brachydactyly type C. Observation of ""missing generations"" in the current family and in some other families previously reported may indicate that type C brachydactyly is not a true autosomal dominant disorder due to mutations in a single gene.","['Intrafamilial clinical variability', 'clinical variability', 'variability', 'brachydactyly type C', 'brachydactyly', 'variable', 'brachydactyly', 'brachydactyly type C', 'brachydactyly', 'autosomal dominant. ']","['0003822', '0003812', '0003812', '0009373', '0001156', '0003813', '0001156', '0009373', '0001156', '0000006']"
11896453,"Six intersection regions have been described for the rearrangement of the human 15q11-q14 chromosome. These rearrangements include deletions found in approximately 70% of patients with Prader-Willi or Angelus syndrome (PWS, AS), duplications found in some cases of autism, multiplications, and inverted duplications. HERC2 (HEct domain and protein of the RCc1 2 domain). At two of these intersections (BP2 and BP3) there are segmental duplications or duplicates that are mainly associated with deletions. We show that clusters containing multiple copies of the duplicate of human chromosome 15 (LCR15) are located in each of the six 15q11-q14 BPs described. In addition, our results suggest the existence of intersections for large deletions of 15q11-q13 in a proximal clone containing duplicon. The study shows that the duplicates containing HERC2 (estimated at 50-400 KB) and LCR15 duplicates (approximately 15 KB at 15q11-q14) share the genomic sequence of the Golgi protein (GLP). By analyzing a human BAC library and public databases, we identified 36 sequences related to LCR15 in the human genome, with the majority (27) being mapped and transcribed on chromosome 15q. LCR15 analysis in non-human primates and age sequence divergences support a more recent origin of this family of segmental duplications through human speciation.",['Autism'],['0000717']
12011146,"Type 2 neurofibromatosis (NF2) should be suspected in patients with unilateral vestibular schwanoma at an early age and therefore have a theoretical risk of developing bilateral disease. 45 patients aged 30 years or younger were identified at the onset of symptoms of unilateral vestibular schwanoma. The molecular genetic analysis of the NF2 gene was completed in peripheral blood samples in all 45 and in 28 tumor samples. Pathogenic NF2 mutations were not identified in any of the blood samples. Point mutations of NF2 were identified in 21/28 (75%) tumor samples and loss of heterozygote (LOH) in 21/28 (75%) tumor samples. Both mutation effects were identified in 18/28 (65%) tumor samples. A mutation was confirmed in a multilobular tumor (presumably in the first stroke) that was common to different foci of the tumor, while the second mutation event differed between the foci. The molecular findings in this patient were consistent with the somatic mosaicism for NF2, and the clinical diagnosis was confirmed by the presence of two meningiomas in an MRI follow-up. Another patient developed a contralateral vestibular schwanoma in an MRI follow-up examination in which none of the shortening mutations of the vestibular schwanoma were present in the blood. It is important to recommend patients with unilateral vestibular schwanoma to (1) identify those at risk of bilateral disease, (2) those at risk of developing other tumors, and (3) other family members who are at risk of developing NF2. The comparison of tumor and blood DNA cannot rule out mosaicism in the index case and therefore cannot be used to predict those who are at risk of developing new tumors. However, the identification of both mutations or another LOH mutation in the tumor and the exclusion of these mutations in the blood samples of the siblings or offspring of the affected case can be sufficient to make screening of these relatives unnecessary.","[""Neurofibromatosis"", ""Unilateral Vestibular Schwanoma"", ""Vestibular Schwanoma"", ""Schwannoma"", ""Young"", ""Young Age"", ""Bilateral Disease"", ""Unilateral Vestibular Schwanoma"", ""Vestibular Schwanoma"". , ""Schwannoma"", ""tumor"", ""tumor"", ""tumor"", ""tumor"", ""tumor"", ""tumor"", ""somatic mosaicism"", ""meningioma"", ""contralateral vestibular schwanoma"", ""vestibular schwanoma"". "","" Schwannoma "","" vestibular schwanoma "","" schwannoma "","" unilateral vestibular schwanoma "","" vestibular schwanoma "","" schwannoma "","" bilateral disease "","" tumors "","" tumor "","" tumors "", 'tumor' ]","['0006746', '0009590', '0009588', '0100008', '0003593', '0003593', '0009589', '0009590', '0009588', '0100008', '0002664', '0002664', '0002664', '0002664', '0002664', '0002664', '0001442', '0002858', '0009589', '0009588', '0100008', '0009588', '0100008', '0009590', '0009588', '0100008', '0009589', '0002664', '0002664', '0002664', '0002664']"
