OMIM ID,Disease,Protein Associated
211980,"Adenocarcinoma of lung, somatic",PRKN
604370,"Adenocarcinoma, ovarian, somatic",PRKN
608456,"Adenomas, multiple colorectal",MUTYH
181030,"Adenomas, salivary gland pleomorphic",PLAG1
175100,Adenomatous polyposis coli,APC
102700,"Adenosine deaminase deficiency, partial",ADA
102900,"Adenosine triphosphate, elevated, of erythrocytes",PKLR
103050,Adenylosuccinase deficiency,ADSL
612556,Adiponectin deficiency,ADIPOQ
202300,Adrenal cortical carcinoma,TP53
202010,"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",CYP11B1
201750,"Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency",POR
300200,"Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism",DAX1
201400,Adrenocorticotropic hormone deficiency,TBS19
300100,Adrenoleukodystrophy,ABCD1
202370,"Adrenoleukodystrophy, neonatal",PEX1
202370,"Adrenoleukodystrophy, neonatal",PEX10
202370,"Adrenoleukodystrophy, neonatal",PEX13
202370,"Adrenoleukodystrophy, neonatal",PEX26
202370,"Adrenoleukodystrophy, neonatal",PEX5
300100,Adrenomyeloneuropathy,ABCD1
110800,Adult i phenotype with congenital cataract,GCNT2
110800,Adult i phenotype without cataract,GCNT2
103285,ADULT syndrome,TP63
604348,"Advanced sleep phase syndrome, familial",PER2
202400,"Afibrinogenemia, congenital",FGA
202400,"Afibrinogenemia, congenital",FGB
601495,Agammaglobulinemia 1,IGHM
613500,Agammaglobulinemia 2,IGLL1
613502,Agammaglobulinemia 4,BLNK
613506,Agammaglobulinemia 5,LRRC8A
307200,Agammaglobulinemia and isolated hormone deficiency,BTK
300755,"Agammaglobulinemia, type 1, X-linked",BTK
612718,AGAT deficiency,GATM
218000,Agenesis of the corpus callosum with peripheral neuropathy,SLC12A6
225750,"Aicardi–Goutières syndrome 1, dominant and recessive",TREX1
610181,Aicardi–Goutières syndrome 2,RNASEH2B
610329,Aicardi–Goutières syndrome 3,RNASEH2C
610333,Aicardi–Goutières syndrome 4,RNASEH2A
612952,Aicardi–Goutières syndrome 5,SAMHD1
608688,AICA-ribosiduria due to ATIC deficiency,ATIC
610205,Alagille syndrome 2,NOTCH2
118450,Alagille syndrome,JAG1
300600,Aland Island eye disease,CACNA1F
203200,"Albinism, brown oculocutaneous",OCA2
203290,"Albinism, brown",TYRP1
203100,"Albinism, oculocutaneous, type IA",TYR
606952,"Albinism, oculocutaneous, type IB",TYR
203200,"Albinism, oculocutaneous, type II",OCA2
278400,"Albinism, rufous",TYRP1
610251,"Alcohol sensitivity, acute",ALDH2
103900,"Aldosteronism, glucocorticoid-remediable",CYP11B1
203450,Alexander disease,GFAP
203450,Alexander disease,NDUFV1
203500,Alkaptonuria,HGD
300523,Allan–Herndon–Dudley syndrome,SLC16A2
203655,Alopecia universalis,HR
612079,"Alopecia, neurologic defects, and endocrinopathy syndrome",RBM28
203700,Alpers syndrome,POLG
609889,"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity",RAG1
262850,Alpha-2-plasmin inhibitor deficiency,PLI
203740,Alpha-ketoglutarate dehydrogenase deficiency,OGDH
203750,Alpha-methylacetoacetic aciduria,ACAT1
300448,"Alpha-thalassemia myelodysplasia syndrome, somatic",ATRX
301040,Alpha-thalassemia mental retardation syndrome,ATRX
301050,Alport syndrome,COL4A5
203780,"Alport syndrome, autosomal recessive",COL4A3
203780,"Alport syndrome, autosomal recessive",COL4A4
203800,Alström syndrome,ALMS1
104290,Alternating hemiplegia of childhood,ATP1A2
265380,Alveolar capillary dysplasia with misalignment of pulmonary veins,FOXF1
606243,Alveolar soft part sarcoma,ASPSCR1
104300,"Alzheimer disease 1, familial",APP
104300,Alzheimer disease 6,AD6
104300,Alzheimer disease 8,AD8
104300,"Alzheimer disease, late-onset, susceptibility to",NOS3
607822,"Alzheimer disease, type 3",PSEN1
607822,"Alzheimer disease, type 3, with spastic paraparesis and apraxia",PSEN1
607822,"Alzheimer disease, type 3, with spastic paraparesis and unusual plaques",PSEN1
104300,Alzheimer disease-10,AD10
104310,Alzheimer disease-2,APOE
606889,Alzheimer disease-4,PSEN2
104300,Alzheimer disease-5,AD5
613211,"Amelogenesis imperfecta, hypomaturation type, IIA3",WDR72
104510,"Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism",DLX3
301200,"Amelogenesis imperfecta, hypoplastic/hypomaturation type",AMELX
130900,"Amelogenesis imperfecta, type 3",FAM83H
104500,"Amelogenesis imperfecta, type IB",ENAM
204650,"Amelogenesis imperfecta, type IC",ENAM
204700,"Amelogenesis imperfecta, type IIA1",KLK4
612529,"Amelogenesis imperfecta, type IIA2",MMP20
609924,Aminoacylase 1 deficiency,ACY1
609056,Amish infantile epilepsy syndrome,SIAT9
105200,"Amyloidosis, 3 or more types",APOA1
105120,"Amyloidosis, Finnish type",GSN
105200,"Amyloidosis, hereditary renal",FGA
105210,"Amyloidosis, hereditary, transthyretin-related",TTR
105250,"Amyloidosis, primary localized cutaneous",OSMR
105200,"Amyloidosis, renal",LYZ
612069,"Amyotrophic lateral sclerosis 10, with or without FTD",TARDBP
612577,Amyotrophic lateral sclerosis 11,FIG4
602433,"Amyotrophic lateral sclerosis 4, juvenile",SETX
608030,"Amyotrophic lateral sclerosis 6, autosomal recessive",FUS
608627,Amyotrophic lateral sclerosis 8,VAPB
611895,Amyotrophic lateral sclerosis 9,ANG
105400,"Amyotrophic lateral sclerosis, due to SOD1 deficiency",SOD1
205100,"Amyotrophic lateral sclerosis, juvenile",ALS2
162100,"Amyotrophy, hereditary neuralgic",40430
613435,Amytrophic lateral sclerosis 12,OPTN
607095,Anauxetic dysplasia,RMRP
300068,Androgen insensitivity syndrome,AR
312300,"Androgen insensitivity, partial, with or without breast cancer",AR
224120,"Anemia, congenital dyserythropoietic, type I",CDAN1
224100,"Anemia, dyserythropoietic congenital, type II",SEC23B
266120,"Anemia, hemolytic, due to UMPH1 deficiency",NT5C3
268150,"Anemia, hemolytic, Rh-null, regulator type",RHAG
206100,"Anemia, hypochromic microcytic",NRAMP2
205950,"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",GLRX5
205950,"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",SLC25A38
301310,"Anemia, sideroblastic, with ataxia",ABCB7
300751,"Anemia, sideroblastic, X-linked",ALAS2
105830,Angelman syndrome,MECP2
105830,Angelman syndrome,UBE3A
105830,Angelman syndrome-like,CDKL5
610618,"Angioedema, hereditary, type III",F12
106100,"Angioedema, hereditary, types I and II",C1NH
611773,"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps",COL4A1
106210,Aniridia,PAX6
206800,Anonychia congenita,RSPO4
107250,Anterior segment mesenchymal dysgenesis,FOXE3
107250,Anterior segment mesenchymal dysgenesis,PITX3
613118,Antithrombin III deficiency,AT3
207410,Antley–Bixler syndrome,FGFR2
201750,Antley–Bixler syndrome-like with disordered steroidogenesis,POR
607834,Anxiety-related personality traits,SLC6A4
132900,"Aortic aneurysm, familial thoracic 4",MYH11
611788,"Aortic aneurysm, familial thoracic 6",ACTA2
109730,Aortic valve disease,NOTCH1
101200,Apert syndrome,FGFR2
610256,"Aphakia, congenital primary",FOXE3
180920,Aplasia of lacrimal and salivary glands,FGF10
609135,Aplastic anemia,TERC
207800,Argininemia,ARG1
207900,Argininosuccinic aciduria,ASL
613546,Aromatase deficiency,CYP19A1
139300,Aromatase excess syndrome,CYP19A1
608643,Aromatic L-amino acid decarboxylase deficiency,DDC
107970,Arrhythmogenic right ventricular dysplasia 1,TGFB3
600996,Arrhythmogenic right ventricular dysplasia 2,RYR2
604400,Arrhythmogenic right ventricular dysplasia 5,LAMR1
607450,Arrhythmogenic right ventricular dysplasia 8,DSP
610193,"Arrhythmogenic right ventricular dysplasia, familial, 10",DSG2
610476,"Arrhythmogenic right ventricular dysplasia, familial, 11",DSC2
611528,"Arrhythmogenic right ventricular dysplasia, familial, 12",JUP
604400,"Arrhythmogenic right ventricular dysplasia, familial, 5",TMEM43
609040,"Arrhythmogenic right ventricular dysplasia, familial, 9",PKP2
208000,"Arterial calcification, generalized, of infancy",ENPP1
208050,Arterial tortuosity syndrome,SLC2A10
108120,"Arthrogryposis multiplex congenita, distal type 1",TPM2
601680,"Arthrogryposis multiplex congenita, distal type 2B",TNNI2
193700,"Arthrogryposis, distal, type 2A",MYH3
601680,"Arthrogryposis, distal, type 2B",MYH3
601680,"Arthrogryposis, distal, type 2B",TPM2
611890,"Arthrogryposis, lethal, with anterior horn cell disease",GLE1
208085,"Arthrogryposis, renal dysfunction, and cholestasis 1",VPS33B
613404,"Arthrogryposis, renal dysfunction, and cholestasis 2",VIPAR
208230,"Arthropathy, progressive pseudorheumatoid, of childhood",WISP3
601680,"Arthyrgryposis, distal, type 2B",TNNT3
301835,Arts syndrome,PRPS1
208400,Aspartylglucosaminuria,AGA
611263,Asphyxiating thoracic dystrophy 2,IFT80
613091,Asphyxiating thoracic dystrophy 3,DYNC2H1
208550,Asthma and nasal polyps,TBX21
277460,Ataxia with isolated vitamin E deficiency,TTPA
601238,"Ataxia, cerebellar, Cayman type",ATCAY
208920,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",APTX
606002,Ataxia–ocular apraxia-2,SETX
208900,Ataxia–telangiectasia,ATM
604391,Ataxia–telangiectasia-like disorder,MRE11A
256050,Atelosteogenesis II,SLC26A2
108721,"Atelosteogenesis, type III",FLNB
108720,"Atelostogenesis, type I",FLNB
601536,Athabaskan brainstem dysgenesis syndrome,HOXA1
147050,Atopy,SPINK5
604273,"ATP synthase deficiency, nuclear-encoded",ATPAF2
209300,Atransferrinemia,TF
608583,Atrial fibrillation,GJA5
607554,"Atrial fibrillation, familial, 3",KCNQ1
611493,"Atrial fibrillation, familial, 4",KCNE2
612201,"Atrial fibrillation, familial, 6",NPPA
612240,"Atrial fibrillation, familial, 7",KCNA5
611363,Atrial septal defect 4,TBX20
612794,Atrial septal defect 5,ACTC1
613087,Atrial septal defect 6,TLL1
108900,Atrial septal defect with atrioventricular conduction defects,NKX2E
607941,Atrial septal defect-2,GATA4
209500,Atrichia with papular lesions,HR
600309,Atrioventricular canal defect,AVSD1
600309,Atrioventricular septal defect,GJA1
606217,"Atrioventricular septal defect, partial, with heterotaxy syndrome",CRELD1
601071,"Auditory neuropathy, autosomal recessive, 1",OTOF
613385,"Autoimmune disease, syndromic multisystem",ITCH
601859,"Autoimmune lymphoproliferative syndrome, type IA",TNFRSF6
603909,"Autoimmune lymphoproliferative syndrome, type II",CASP10
607271,"Autoimmune lymphoproliferative syndrome, type IIB",CASP8
240300,"Autoimmune polyendocrinopathy syndrome, type I, with or without reversible metaphyseal dysplasia",AIRE
180500,"Axenfeld–Rieger syndrome, type 1",PITX2
602482,"Axenfeld–Rieger syndrome, type 3",FOXC1
270960,Azoospermia due to perturbations of meiosis,SYCP3
415000,Azoospermia,USP9Y
218600,Baller–Gerold syndrome,RECQL4
241850,Bamforth–Lazarus syndrome,FOXE1
153480,Bannayan–Riley–Ruvalcaba syndrome,PTEN
209900,Bardet–Biedl syndrome 1,BBS1
209900,Bardet–Biedl syndrome 10,BBS10
209900,Bardet–Biedl syndrome 11,TRIM32
209900,Bardet–Biedl syndrome 12,BBS12
209900,Bardet–Biedl syndrome 13,MKS1
209900,Bardet–Biedl syndrome 14,CEP290
209900,Bardet–Biedl syndrome 15,C2orf86
209900,Bardet–Biedl syndrome 2,BBS2
209900,Bardet–Biedl syndrome 3,ARL6
209900,Bardet–Biedl syndrome 4,BBS4
209900,Bardet–Biedl syndrome 5,BBS5
209900,Bardet–Biedl syndrome 6,MKKS
209900,Bardet–Biedl syndrome 7,BBS7
209900,Bardet–Biedl syndrome 8,TTC8
209900,Bardet–Biedl syndrome 9,PTHB1
604571,"Bare lymphocyte syndrome, type I",TAP1
604571,"Bare lymphocyte syndrome, type I",TAPBP
604571,"Bare lymphocyte syndrome, type I, due to TAP2 deficiency",TAP2
209920,"Bare lymphocyte syndrome, type II, complementation group A",MHC2TA
209920,"Bare lymphocyte syndrome, type II, complementation group C",RFX5
209920,"Bare lymphocyte syndrome, type II, complementation group D",RFXAP
209920,"Bare lymphocyte syndrome, type II, complementation group E",RFX5
302060,Barth syndrome,TAZ
149200,Bart–Pumphrey syndrome,GJB2
601678,"Bartter syndrome, type 1",SLC12A1
241200,"Bartter syndrome, type 2",KCNJ1
607364,"Bartter syndrome, type 3",CLCNKB
602522,"Bartter syndrome, type 4, digenic",CLCNKB
602522,"Bartter syndrome, type 4a",BSND
613090,"Bartter syndrome, type 4b, digenic",CLCNKA
605462,"Basal cell carcinoma, somatic",PTCH1
605462,"Basal cell carcinoma, somatic",PTCH2
605462,"Basal cell carcinoma, somatic",RASA1
109400,Basal cell nevus syndrome,PTCH1
607483,"Basal ganglia disease, biotin-responsive",SLC19A3
126700,Basal laminar drusen,HF1
209950,"BCG and salmonella infection, disseminated",IL12B
209950,"BCG infection, generalized familial",IFNGR1
123790,Beare–Stevenson cutis gyrata syndrome,FGFR2
300376,Becker muscular dystrophy,DMD
130650,Beckwith–Wiedemann syndrome,CDKN1C
130650,Beckwith–Wiedemann syndrome,H19
130650,Beckwith–Wiedemann syndrome,KCNQ10T1
130650,Beckwith–Wiedemann syndrome,NSD1
153670,"Bernard–Soulier syndrome, benign autosomal dominant",GP1BA
231200,"Bernard–Soulier syndrome, type A",GP1BA
231200,"Bernard–Soulier syndrome, type B",GP1BB
231200,"Bernard–Soulier syndrome, type C",GP9
153700,Best macular dystrophy,BEST1
611809,Bestrophinopathy,BEST1
613161,Beta-ureidopropionase deficiency,UPB1
158810,Bethlem myopathy,COL6A1
158810,Bethlem myopathy,COL6A2
158810,Bethlem myopathy,COL6A3
210370,Bietti crystalline corneoretinal dystrophy,CYP4V2
608980,Bifid nose with or without anorectal and renal anomalies,FREM1
613291,"Bile acid malabsorption, primary",SLC10A2
235555,"Bile acid synthesis defect, congenital, 2",AKR1D1
214950,"Bile acid synthesis defect, congenital, 4",AMACR
253260,Biotinidase deficiency,BTD
612292,Birk–Barel mental retardation dysmorphism syndrome,KCNK9
135150,Birt–Hogg–Dubé syndrome,FLCN
262000,Björnstad syndrome,BCS1L
109800,Bladder cancer,KRAS
109800,Bladder cancer,RB1
109800,"Bladder cancer, somatic",FGFR3
186580,Blau syndrome,NOD2
609821,Bleeding disorder due to P2RY12 defect,P2RY12
110100,"Blepharophimosis, epicanthus inversus, and ptosis, type 1",FOXL2
110100,"Blepharophimosis, epicanthus inversus, and ptosis, type 2",FOXL2
111150,Blood group--Lutheran inhibitor,KLF1
210900,Bloom syndrome,RECQL3
303700,Blue cone monochromacy,OPN1MW
303700,Blue cone monochromacy,OPN1LW
112310,Boomerang dysplasia,FLNB
301900,Börjeson–Forssman–Lehmann syndrome,PHF6
601536,Bosley–Salih–Alorainy syndrome,HOXA1
607475,Bothnia retinal dystrophy,RLBP1
211180,Bowen–Conradi syndrome,EMG1
608389,Brachiootic syndrome 3,SIX1
112500,Brachydactyly type A1,BDA1B
112500,Brachydactyly type A1,IHH
112600,Brachydactyly type A2,BMPR1B
112600,Brachydactyly type A2,GDF5
113000,Brachydactyly type B1,ROR2
611377,Brachydactyly type B2,NOG
113100,Brachydactyly type C,GDF5
113200,Brachydactyly type D,HOXD13
113300,Brachydactyly type E,HOXD13
613382,Brachydactyly type E2,PTHLH
610713,Brachydactyly-syndactyly syndrome,HOXD13
113500,Brachyolmia type 3,TRPV4
608415,Bradyopsia,RGS9
608415,Bradyopsia,RGS9BP
607595,Brain small vessel disease with Axenfeld-Rieger anomaly,COL4A1
607595,Brain small vessel disease with hemorrhage,COL4A1
113620,Branchiooculofacial syndrome,TFAP2A
610896,Branchiootorenal syndrome 2,SIX5
113650,Branchiootorenal syndrome with cataract,EYA1
113650,Branchiootorenal syndrome,EYA1
114480,Breast cancer,PPM1D
114480,Breast cancer,SLC22A1L
114480,Breast cancer,TP53
114480,"Breast cancer, early-onset",BRIP1
114480,"Breast cancer, invasive ductal",RAD54L
114480,"Breast cancer, somatic",AKT1
114480,"Breast cancer, somatic",KRAS
114480,"Breast cancer, somatic",PIK3CA
114480,"Breast cancer, somatic",RB1CC1
229200,Brittle cornea syndrome,ZNF469
601003,Brody myopathy,ATP2A1
211400,Bronchiectasis with or without elevated sweat chloride 1,SCNN1B
613021,Bronchiectasis with or without elevated sweat chloride 2,SCNN1A
613071,Bronchiectasis with or without elevated sweat chloride 3,SCNN1G
605041,Brooke–Spiegler syndrome,CYLD1
211530,Brown–Vialetto–Van Laere syndrome,C20orf54
609220,Bruck syndrome 2,PLOD2
601144,Brugada syndrome 1,SCN5A
611777,Brugada syndrome 2,GPD1L
611875,Brugada syndrome 3,CACNA1C
611876,Brugada syndrome 4,CACNB2
612838,Brugada syndrome 5,SCN1B
613119,Brugada syndrome 6,KCNE3
613120,Brugada syndrome 7,SCN3B
613123,Brugada syndrome 8,HCN4
300615,Brunner syndrome,MAOA
113970,Burkitt's lymphoma,MYC
166700,Buschke–Ollendorff syndrome,LEMD3
211750,C syndrome,CD96
609536,C5 deficiency,C5
612446,C6 deficiency,C6
610102,C7 deficiency,C7
114000,Caffey disease,COL1A1
114290,Campomelic dysplasia with autosomal sex reversal,SOX9
114290,Campomelic dysplasia,SOX9
208250,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,PRG4
131300,Camurati–Engelmann disease,TGFB1
271900,Canavan disease,ASPA
613108,"Candidiasis, familial chronic mucocutaneous, autosomal dominant",CLEC7A
212050,"Candidiasis, familial chronic mucocutaneous, autosomal recessive",CARD9
608354,Capillary malformation-arteriovenous malformation,RASA1
237300,Carbamoyl phosphate synthetase I deficiency,CPS1
602579,"Carbohydrate-deficient glycoprotein syndrome, type Ib",MPI
212070,Carboxypeptidase N deficiency,CPN1
114900,"Carcinoid tumors, intestinal",SDHD
600919,"Cardiac arrhythmia, ankyrin-B-related",ANK2
612838,"Cardiac conduction defect, nonspecific",SCN1B
604377,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency",SCO2
115150,Cardiofaciocutaneous syndrome,BRAF
115150,Cardiofaciocutaneous syndrome,KRAS
115150,Cardiofaciocutaneous syndrome,MAP2K1
115150,Cardiofaciocutaneous syndrome,MAP2K2
601493,"Cardiomyopathy, dilated 1C",LDB3
115200,"Cardiomyopathy, dilated",MYBPC3
115200,"Cardiomyopathy, dilated, 1A",LMNA
612158,"Cardiomyopathy, dilated, 1AA",ACTN2
612877,"Cardiomyopathy, dilated, 1BB",DSG2
613122,"Cardiomyopathy, dilated, 1CC",NEXN
601494,"Cardiomyopathy, dilated, 1D",TNNT2
613172,"Cardiomyopathy, dilated, 1DD",RBM20
601154,"Cardiomyopathy, dilated, 1E",SCN5A
613252,"Cardiomyopathy, dilated, 1EE",MYH6
613286,"Cardiomyopathy, dilated, 1FF",TNNI3
604145,"Cardiomyopathy, dilated, 1G",TTN
613642,"Cardiomyopathy, dilated, 1GG",SDHA
604765,"Cardiomyopathy, dilated, 1I",DES
605362,"Cardiomyopathy, dilated, 1J",EYA4
606685,"Cardiomyopathy, dilated, 1L",SGCD
607482,"Cardiomyopathy, dilated, 1M",CSRP3
607487,"Cardiomyopathy, dilated, 1N",TCAP
608569,"Cardiomyopathy, dilated, 1O",ABCC9
609909,"Cardiomyopathy, dilated, 1P",PLN
613424,"Cardiomyopathy, dilated, 1R",ACTC1
613426,"Cardiomyopathy, dilated, 1S",MYH7
611407,"Cardiomyopathy, dilated, 1W",VCL
611615,"Cardiomyopathy, dilated, 1X",FKTN
611878,"Cardiomyopathy, dilated, 1Y",TPM1
611879,"Cardiomyopathy, dilated, 1Z",TNNC1
611880,"Cardiomyopathy, dilated, 2A",TNNI3
300069,"Cardiomyopathy, dilated, 3A",TAZ
302045,"Cardiomyopathy, dilated, 3B",DMD
192600,"Cardiomyopathy, familial hypertrophic, 1",MYH7
608758,"Cardiomyopathy, familial hypertrophic, 10",MYL2
612098,"Cardiomyopathy, familial hypertrophic, 11",ACTC1
612124,"Cardiomyopathy, familial hypertrophic, 12",CSRP3
613243,"Cardiomyopathy, familial hypertrophic, 13",TNNC1
613251,"Cardiomyopathy, familial hypertrophic, 14",MYH6
613255,"Cardiomyopathy, familial hypertrophic, 15",VCL
192600,"Cardiomyopathy, familial hypertrophic",CAV3
192600,"Cardiomyopathy, familial hypertrophic",SLC25A4
115195,"Cardiomyopathy, familial hypertrophic, 2",TNNT2
115196,"Cardiomyopathy, familial hypertrophic, 3",TPM1
115197,"Cardiomyopathy, familial hypertrophic, 4",MYBPC3
608751,"Cardiomyopathy, familial hypertrophic, 8",MYL3
115210,"Cardiomyopathy, familial restrictive",TNNI3
612422,"Cardiomyopathy, familial restrictive, 3",TNNT2
600858,"Cardiomyopathy, hypertrophic 6, with WPW",PRKAG2
192600,"Cardiomyopathy, hypertrophic, midventricular, digenic",MYLK2
608837,Carney complex variant,MYH8
160980,"Carney complex, type 1",PRKAR1A
212140,"Carnitine deficiency, systemic primary",SLC22A5
609338,Carotid intimal medial thickness 1,PPARG
115430,"Carpal tunnel syndrome, familial",TTR
201000,Carpenter syndrome,RAB23
250250,Cartilage–hair hypoplasia,RMRP
604219,Cataract with late-onset corneal dystrophy,PAX6
611597,"Cataract, autosomal dominant, multiple types 1",BFSP2
601547,"Cataract, cerulean, type 2",CRYBB2
609741,"Cataract, congenital nuclear, 2",CRYBB3
611544,"Cataract, congenital nuclear, autosomal recessive 3",CRYBB1
600881,"Cataract, congenital zonular, with sutural opacities",CRYBA1
604219,"Cataract, congenital",BFSP2
608983,"Cataract, congenital, cerulean type, 3",CRYGD
302200,"Cataract, congenital, X-linked",NHS
604307,"Cataract, Coppock-like",CRYBB2
604307,"Cataract, Coppock-like",CRYGC
611391,"Cataract, cortical, juvenile-onset",BFSP1
115700,"Cataract, crystalline aculeiform",CRYGD
612018,"Cataract, juvenile, with microcornea and glucosuria",SLC16A12
604219,"Cataract, juvenile-onset",BFSP2
610425,"Cataract, lamellar 2",CRYBA4
116800,"Cataract, lamellar",HSF4
116800,"Cataract, Marner type",HSF4
601286,"Cataract, nonnuclear polymorphic congenital",CRYGD
604219,"Cataract, polymorphic and lamellar",MIP
613020,"Cataract, posterior polar, 1",EPHA2
605387,"Cataract, posterior polar, 3",CHMP4B
610623,"Cataract, posterior polar, 4",PITX3
610623,"Cataract, posterior polar, 4, syndromic",PITX3
607133,"Cataract, sutural, with punctate and cerulean opacities",CRYBB2
116200,"Cataract, zonular pulverulent-1",GJA8
601885,"Cataract, zonular pulverulent-3",GJA3
116150,Cataract-microcornea syndrome,GJA8
610474,CATSHL syndrome,FGFR3
607864,Caudal duplication anomaly,AXIN1
600145,Caudal regression syndrome,VANGL1
116860,Cavernous malformations of CNS and retina,CCM1
612300,CD59 deficiency,CD59
608957,"CD8 deficiency, familial",CD8A
212780,Cenani–Lenz syndactyly syndrome,LRP4
117000,Central core disease,RYR1
209880,Central hypoventilation syndrome,GDNF
209880,"Central hypoventilation syndrome, congenital",ASCL1
209880,"Central hypoventilation syndrome, congenital",BDNF
209880,"Central hypoventilation syndrome, congenital",EDN3
209880,"Central hypoventilation syndrome, congenital",PMX2B
209880,"Central hypoventilation syndrome, congenital",RET
613227,Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3,CA8
604290,Cerebellar ataxia,CP
224050,Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1,VLDLR
105150,Cerebral amyloid angiopathy,CST3
605714,"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants",APP
125310,Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,NOTCH3
603285,Cerebral cavernous malformations 3,PDCD10
116860,Cerebral cavernous malformations-1,CCM1
603284,Cerebral cavernous malformations-2,C7orf22
609528,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",SNAP29
612936,"Cerebral palsy, spastic quadriplegic, 3",AP4M1
612900,"Cerebral palsy, spastic quadriplegic",KANK1
603513,"Cerebral palsy, spastic, symmetric, autosomal recessive",GAD1
611209,Cerebrocostomandibular-like syndrome,COG1
214150,Cerebrooculofacioskeletal syndrome 1,ERCC6
610756,Cerebrooculofacioskeletal syndrome 2,ERCC2
610758,Cerebrooculofacioskeletal syndrome 4,ERCC1
213700,Cerebrotendinous xanthomatosis,CYP27A1
600143,"Ceroid lipofuscinosis, neuronal 8",CLN8
610127,"Ceroid lipofuscinosis, neuronal, 10",CTSD
610951,"Ceroid lipofuscinosis, neuronal, 7",MFSD8
610003,"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant",CLN8
256730,"Ceroid lipofuscinosis, neuronal 1, infantile",PPT1
204500,"Ceroid-lipofuscinosis, neuronal 2, classic late infantile",TPP1
204200,"Ceroid lipofuscinosis, neuronal 3, juvenile",CLN3
256731,"Ceroid-lipofuscinosis, neuronal-5, variant late infantile",CLN5
601780,"Ceroid-lipofuscinosis, neuronal-6, variant late infantile",CLN6
603956,"Cervical cancer, somatic",FGFR3
275630,Chanarin–Dorfman syndrome,ABHD5
169100,Char syndrome,TFAP2B
