OMIM ID,Disease,Symptoms from Wikipedia,HPO Codes
600501,ABCD syndrome,,"['HP:0000365', 'HP:0001022', 'HP:0001520', 'HP:0002251', 'HP:0006958', 'HP:0007894']"
200100,Abetalipoproteinemia,,"['HP:0000488', 'HP:0000505', 'HP:0000546', 'HP:0001251', 'HP:0001252', 'HP:0001315', 'HP:0001927', 'HP:0002024', 'HP:0002630', 'HP:0007305', 'HP:0007703', 'HP:0008181', 'HP:0011096', 'HP:0100022']"
231550,Achalasia-Addisonianism-Alacrimia syndrome,,"['HP:0000252', 'HP:0000407', 'HP:0000505', 'HP:0000522', 'HP:0000612', 'HP:0000648', 'HP:0000649', 'HP:0000830', 'HP:0000846', 'HP:0000953', 'HP:0000972', 'HP:0000982', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001260', 'HP:0001263', 'HP:0001278', 'HP:0001324', 'HP:0001347', 'HP:0001430', 'HP:0001761', 'HP:0002093', 'HP:0002376', 'HP:0002571', 'HP:0002924', 'HP:0003487', 'HP:0004319', 'HP:0004322', 'HP:0007002', 'HP:0007440', 'HP:0007556', 'HP:0008163', 'HP:0008259', 'HP:0009916', 'HP:0010486', 'HP:0012332']"
200500,Acheiropody,,"['HP:0000944', 'HP:0002990', 'HP:0003974', 'HP:0003982', 'HP:0004050', 'HP:0004231', 'HP:0005632', 'HP:0005736', 'HP:0005792', 'HP:0005930', 'HP:0009380', 'HP:0009802', 'HP:0009813', 'HP:0009820', 'HP:0009828', 'HP:0010048', 'HP:0010509', 'HP:0010744', 'HP:0010760']"
200600,Achondrogenesis type 1A,,"['HP:0000256', 'HP:0000343', 'HP:0000347', 'HP:0000463', 'HP:0000470', 'HP:0000474', 'HP:0000476', 'HP:0000773', 'HP:0000774', 'HP:0000882', 'HP:0000894', 'HP:0000916', 'HP:0000923', 'HP:0001537', 'HP:0001538', 'HP:0001552', 'HP:0001561', 'HP:0001773', 'HP:0001789', 'HP:0002007', 'HP:0002757', 'HP:0002983', 'HP:0002984', 'HP:0003175', 'HP:0003196', 'HP:0003270', 'HP:0003336', 'HP:0003510', 'HP:0003521', 'HP:0004279', 'HP:0004331', 'HP:0004606', 'HP:0005280', 'HP:0005716', 'HP:0006489', 'HP:0006640', 'HP:0006703', 'HP:0010306', 'HP:0010660', 'HP:0010675', 'HP:0012368', 'HP:0030680', 'HP:0100541']"
200610,Achondrogenesis-hypochondrogenesis type 2,,"['HP:0000175', 'HP:0000256', 'HP:0000343', 'HP:0000347', 'HP:0000463', 'HP:0000470', 'HP:0000474', 'HP:0000476', 'HP:0000773', 'HP:0000774', 'HP:0000888', 'HP:0000889', 'HP:0000969', 'HP:0001162', 'HP:0001248', 'HP:0001537', 'HP:0001552', 'HP:0001561', 'HP:0001760', 'HP:0001789', 'HP:0002007', 'HP:0002866', 'HP:0002983', 'HP:0003026', 'HP:0003196', 'HP:0003270', 'HP:0003336', 'HP:0003521', 'HP:0004605', 'HP:0005257', 'HP:0005622', 'HP:0005716', 'HP:0006703', 'HP:0008873', 'HP:0012368', 'HP:0030680', 'HP:0100541']"
100800,Achondroplasia,"Disproportionate dwarfism
Shortening of the proximal limbs (called rhizomelic shortening)
Short fingers and toes with trident hands
Large head with prominent forehead frontal bossing
Small midface with a flattened nasal bridge
Spinal kyphosis (convex curvature) or lordosis (concave curvature)
Varus (bowleg) or valgus (knock knee) deformities
Frequent ear infections (due to Eustachian tube blockages), sleep apnea (which can be central or obstructive), and hydrocephalus","['HP:0000238', 'HP:0000242', 'HP:0000256', 'HP:0000260', 'HP:0000272', 'HP:0000365', 'HP:0000389', 'HP:0000403', 'HP:0000405', 'HP:0000463', 'HP:0000678', 'HP:0000689', 'HP:0000772', 'HP:0000774', 'HP:0000944', 'HP:0000956', 'HP:0000975', 'HP:0001156', 'HP:0001252', 'HP:0001260', 'HP:0001270', 'HP:0001355', 'HP:0001377', 'HP:0001387', 'HP:0001511', 'HP:0001513', 'HP:0001645', 'HP:0002007', 'HP:0002091', 'HP:0002104', 'HP:0002119', 'HP:0002167', 'HP:0002512', 'HP:0002645', 'HP:0002677', 'HP:0002761', 'HP:0002781', 'HP:0002808', 'HP:0002867', 'HP:0002870', 'HP:0002938', 'HP:0002970', 'HP:0002979', 'HP:0003015', 'HP:0003026', 'HP:0003042', 'HP:0003093', 'HP:0003180', 'HP:0003194', 'HP:0003307', 'HP:0003312', 'HP:0003375', 'HP:0003416', 'HP:0003498', 'HP:0004060', 'HP:0005019', 'HP:0005257', 'HP:0005280', 'HP:0005619', 'HP:0005692', 'HP:0005733', 'HP:0005819', 'HP:0006487', 'HP:0008414', 'HP:0008445', 'HP:0008803', 'HP:0008873', 'HP:0008905', 'HP:0008921', 'HP:0008947', 'HP:0009811', 'HP:0009826', 'HP:0010241', 'HP:0010536', 'HP:0011452', 'HP:0011800', 'HP:0011867', 'HP:0012418', 'HP:0045086', 'HP:0045087', 'HP:0100818', 'HP:0100864', 'HP:0430026']"
200990,Acrocallosal syndrome,"Acrocallosal syndrome (ACLS, ACS, Schinzel-Type, Hallux-duplication) is a rare, heterogeneous autosomal recessive disorder first discovered by Albert Schinzel (1979) in a 3-year-old boy. To inherit ACLS, one gene copy from each parent must contain a mutation somewhere in the KIF7 gene and be passed on to the child . Characteristics of this syndrome include absence or poor development of the area connecting the left and right parts of the brain, an abnormally large head, increased distance between facial features (eyes), poor motor skills, mental retardation, extra fingers and toes, many facial deformities, and cleft palate . This is considered a rare disorder and is placed on the NIH Office of Rare Diseases (fewer than 200,000 cases) rare disease list. Lifespan may range from stillbirth to normal expectancy depending on pregnancy complications and severity of the disorder. In mild cases, the subjects have been shown to live relatively normal lives, but with developmental delays.","['HP:0000023', 'HP:0000028', 'HP:0000047', 'HP:0000054', 'HP:0000098', 'HP:0000143', 'HP:0000175', 'HP:0000194', 'HP:0000204', 'HP:0000207', 'HP:0000218', 'HP:0000233', 'HP:0000256', 'HP:0000260', 'HP:0000269', 'HP:0000286', 'HP:0000308', 'HP:0000316', 'HP:0000319', 'HP:0000322', 'HP:0000337', 'HP:0000340', 'HP:0000343', 'HP:0000358', 'HP:0000365', 'HP:0000377', 'HP:0000384', 'HP:0000407', 'HP:0000431', 'HP:0000486', 'HP:0000494', 'HP:0000589', 'HP:0000639', 'HP:0000648', 'HP:0000685', 'HP:0000776', 'HP:0000889', 'HP:0001156', 'HP:0001162', 'HP:0001177', 'HP:0001182', 'HP:0001199', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001274', 'HP:0001290', 'HP:0001305', 'HP:0001508', 'HP:0001510', 'HP:0001537', 'HP:0001641', 'HP:0001671', 'HP:0001770', 'HP:0001830', 'HP:0001841', 'HP:0002007', 'HP:0002023', 'HP:0003196', 'HP:0004209', 'HP:0005148', 'HP:0006101', 'HP:0007360', 'HP:0007370', 'HP:0007894', 'HP:0008897', 'HP:0009611', 'HP:0009942', 'HP:0010066', 'HP:0010576', 'HP:0010864', 'HP:0011220', 'HP:0030680']"
201100,Acrodermatitis enteropathica,"Individuals with acrodermatitis enteropathica may present with the following:
Blistering of skin
Dry skin
Emotional lability
Glossitis
PustuleAlopecia (loss of hair from the scalp, eyebrows, and eyelashes) may occur. Skin lesions may be secondarily infected by bacteria such as Staphylococcus aureus or fungi such as Candida albicans. These skin lesions are accompanied by diarrhea.","['HP:0000135', 'HP:0000157', 'HP:0000206', 'HP:0000221', 'HP:0000224', 'HP:0000492', 'HP:0000498', 'HP:0000505', 'HP:0000509', 'HP:0000534', 'HP:0000613', 'HP:0000712', 'HP:0000737', 'HP:0000958', 'HP:0001006', 'HP:0001251', 'HP:0001254', 'HP:0001337', 'HP:0001508', 'HP:0001596', 'HP:0001597', 'HP:0001744', 'HP:0001807', 'HP:0001818', 'HP:0001824', 'HP:0002014', 'HP:0002024', 'HP:0002028', 'HP:0002039', 'HP:0002120', 'HP:0002240', 'HP:0002293', 'HP:0003282', 'HP:0004322', 'HP:0004396', 'HP:0005401', 'HP:0005435', 'HP:0008066', 'HP:0008402', 'HP:0008734', 'HP:0010783', 'HP:0011354', 'HP:0040171', 'HP:0100825', 'HP:0200020', 'HP:0200039', 'HP:0200042']"
101900,Acrokeratosis verruciformis,,"['HP:0000962', 'HP:0001807', 'HP:0025092', 'HP:0100792', 'HP:0200016']"
201450,"Acyl-CoA dehydrogenase, medium chain, deficiency of","MCADD presents in early childhood with hypoketotic hypoglycemia and liver dysfunction, often preceded by extended periods of fasting or an infection with vomiting.  Infants who are exclusively breast-fed may present in this manner shortly after birth, due to poor feeding.  In some individuals the first manifestation of MCADD may be sudden death following a minor illness.  A number of individuals with MCADD may remain completely asymptomatic, provided they never encounter a situation that sufficiently stresses their metabolism.  With the advent of expanded newborn screening, some mothers have been identified with MCADD after their infants had positive newborn screens for low carnitine levels.The enzyme MCAD is responsible for the dehydrogenation step of fatty acids with chain lengths between 6 and 12 carbons as they undergo beta-oxidation in the mitochondria.  Fatty acid beta-oxidation provides energy after the body has used up its stores of glucose and glycogen.  This oxidation typically occurs during periods of extended fasting or illness when caloric intake is reduced, and energy needs are increased.","['HP:0000256', 'HP:0000750', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001254', 'HP:0001259', 'HP:0001263', 'HP:0001290', 'HP:0001315', 'HP:0001397', 'HP:0001410', 'HP:0001640', 'HP:0001942', 'HP:0001943', 'HP:0001946', 'HP:0001987', 'HP:0002013', 'HP:0002014', 'HP:0002069', 'HP:0002181', 'HP:0002240', 'HP:0002373', 'HP:0002875', 'HP:0002910', 'HP:0003108', 'HP:0003198', 'HP:0003202', 'HP:0003215', 'HP:0003234', 'HP:0003236', 'HP:0003394', 'HP:0003473', 'HP:0003701', 'HP:0003738', 'HP:0004326', 'HP:0005684', 'HP:0007185', 'HP:0008309', 'HP:0011675', 'HP:0011936', 'HP:0012378', 'HP:0030199', 'HP:0040155', 'HP:0045040']"
201470,"Acyl-CoA dehydrogenase, short chain, deficiency of","Short-chain acyl-coenzyme A dehydrogenase deficiency affected infants will have vomiting, low blood sugar, a lack of energy (lethargy), poor feeding, and failure to gain weight and grow. Additional features of this disorder may include poor muscle tone (hypotonia), seizures, developmental delays, and microcephaly. The symptoms of short-chain acyl-CoA dehydrogenase deficiency may be triggered during illnesses such as viral infections. In some cases, signs and symptoms may not appear until adulthood, when some individuals may develop muscle weakness, while other individuals mild symptoms may never be diagnosed.","['HP:0000544', 'HP:0000590', 'HP:0000709', 'HP:0000750', 'HP:0001250', 'HP:0001252', 'HP:0001254', 'HP:0001263', 'HP:0001290', 'HP:0001371', 'HP:0001508', 'HP:0001638', 'HP:0002500', 'HP:0002650', 'HP:0003198', 'HP:0003219', 'HP:0004911', 'HP:0008872', 'HP:0010628']"
175100,Adenomatous polyposis coli,,"['HP:0000164', 'HP:0000670', 'HP:0000706', 'HP:0000953', 'HP:0001012', 'HP:0002884', 'HP:0002885', 'HP:0002895', 'HP:0003003', 'HP:0004394', 'HP:0004783', 'HP:0005227', 'HP:0006722', 'HP:0006744', 'HP:0006771', 'HP:0007649', 'HP:0008256', 'HP:0009592', 'HP:0010562', 'HP:0010614', 'HP:0010619', 'HP:0011068', 'HP:0011069', 'HP:0030731', 'HP:0100245', 'HP:0100246', 'HP:0200040']"
103050,Adenylosuccinase deficiency,,"['HP:0000154', 'HP:0000219', 'HP:0000248', 'HP:0000252', 'HP:0000319', 'HP:0000343', 'HP:0000369', 'HP:0000463', 'HP:0000486', 'HP:0000639', 'HP:0000717', 'HP:0000718', 'HP:0000742', 'HP:0000748', 'HP:0000750', 'HP:0000752', 'HP:0000817', 'HP:0001249', 'HP:0001250', 'HP:0001252', 'HP:0001257', 'HP:0001263', 'HP:0001272', 'HP:0001290', 'HP:0001336', 'HP:0001344', 'HP:0001348', 'HP:0001510', 'HP:0001999', 'HP:0002059', 'HP:0002066', 'HP:0002179', 'HP:0002540', 'HP:0003196', 'HP:0003202', 'HP:0003429', 'HP:0005469', 'HP:0005487', 'HP:0006808', 'HP:0007103', 'HP:0011344', 'HP:0040082']"
202300,Adrenal cortical carcinoma,"Adrenocortical carcinoma may present differently in children and adults. Most tumors in children are functional, and virilization is by far the most common presenting symptom(s), followed by Cushing's syndrome and precocious puberty. Among adults presenting with hormonal syndromes, Cushing's syndrome alone is most common, followed by mixed Cushing's and virilization (glucocorticoid and androgen overproduction). Feminization and Conn syndrome (mineralocorticoid excess) occur in less than 10% of cases. Rarely, pheochromocytoma-like hypersecretion of catecholamines has been reported in adrenocortical cancers. Nonfunctional tumors (about 40%, authorities vary) usually present with abdominal or flank pain, varicocele, and renal vein thrombosis or they may be asymptomatic and detected incidentally.All patients with suspected ACC should be carefully evaluated for signs and symptoms of hormonal syndromes. For Cushing's syndrome (glucocorticoid excess), these include weight gain, muscle wasting, purple lines on the abdomen, a fatty ""buffalo hump"" on the neck, a ""moon-like"" face, and thinning, fragile skin. Virilism (androgen excess) is most obvious in women, and may produce excess facial and body hair, acne, enlargement of the clitoris, deepening of the voice, coarsening of facial features, cessation of menstruation. Conn syndrome (mineralcorticoid excess) is marked by high blood pressure, which can result in headache and hypokalemia (low serum potassium, which can in turn produce muscle weakness, confusion, and palpitations), low plasma renin activity, and high serum aldosterone. Feminization (estrogen excess) is most readily noted in men, and includes breast enlargement, decreased libido, and impotence.","['HP:0000818', 'HP:0006744']"
201400,Adrenocorticotropic hormone deficiency,,"['HP:0000835', 'HP:0000952', 'HP:0001250', 'HP:0001396', 'HP:0001998', 'HP:0002153', 'HP:0002173', 'HP:0002615', 'HP:0002902', 'HP:0003162', 'HP:0006579', 'HP:0008163', 'HP:0011735', 'HP:0011748', 'HP:0012115', 'HP:0012378']"
300100,Adrenoleukodystrophy,"ALD can present in different ways. The different presentations are complicated by the pattern of X-linked recessive inheritance. There have been seven phenotypes described in males with ABCD1 mutations and five in females.  Initial symptoms in boys affected with the childhood cerebral form of ALD include emotional instability, hyperactivity and disruptive behavior at school. Older patients affected with the cerebral form will present with similar symptoms.  Untreated, cerebral ALD is characterized by progressive demyelination leading to a vegetative state and death.  Adult males with an adrenomyeloneuropathy presentation typically present initially with muscle stiffness, paraparesis and sexual dysfunction.  All patients with clinically recognized ALD phenotypes are at risk for adrenal insufficiency.  There is no reliable way to predict which form of the disease an affected individual will develop, with multiple phenotypes being demonstrated within families.  Onset of adrenal insufficiency is often the first symptom, appearing as early as two years of age.","['HP:0000020', 'HP:0000135', 'HP:0000365', 'HP:0000572', 'HP:0000618', 'HP:0000708', 'HP:0000709', 'HP:0000726', 'HP:0000802', 'HP:0000953', 'HP:0001006', 'HP:0001250', 'HP:0001258', 'HP:0001268', 'HP:0001271', 'HP:0001283', 'HP:0001350', 'HP:0001596', 'HP:0002070', 'HP:0002078', 'HP:0002180', 'HP:0002311', 'HP:0002371', 'HP:0002385', 'HP:0002500', 'HP:0002607', 'HP:0002839', 'HP:0003455', 'HP:0006938', 'HP:0007018', 'HP:0007340', 'HP:0008207']"
202370,"Adrenoleukodystrophy, neonatal","Zellweger syndrome is one of three peroxisome biogenesis disorders which belong to the Zellweger spectrum of peroxisome biogenesis disorders (PBD-ZSD). The other two disorders are neonatal adrenoleukodystrophy (NALD), and infantile Refsum disease (IRD). Although all have a similar molecular basis for disease, Zellweger syndrome is the most severe of these three disorders.Zellweger syndrome is associated with impaired neuronal migration, neuronal positioning, and brain development. In addition, individuals with Zellweger syndrome can show a reduction in central nervous system (CNS) myelin (particularly cerebral), which is referred to as hypomyelination. Myelin is critical for normal CNS functions, and in this regard, serves to insulate nerve fibers in the brain. Patients can also show postdevelopmental sensorineuronal degeneration that leads to a progressive loss of hearing and vision.Zellweger syndrome can also affect the function of many other organ systems. Patients can show craniofacial abnormalities (such as a high forehead, hypoplastic supraorbital ridges, epicanthal folds, midface hypoplasia, and a large fontanel), hepatomegaly (enlarged liver), chondrodysplasia punctata (punctate calcification of the cartilage in specific regions of the body), eye abnormalities, and renal cysts. Newborns may present with profound hypotonia (low muscle tone), seizures, apnea, and an inability to eat.","['HP:0000218', 'HP:0000268', 'HP:0000286', 'HP:0000348', 'HP:0000369', 'HP:0000431', 'HP:0000463', 'HP:0000565', 'HP:0000846', 'HP:0001249', 'HP:0001250', 'HP:0001999', 'HP:0002007', 'HP:0002705', 'HP:0003455', 'HP:0010696', 'HP:0011220']"
103285,ADULT syndrome,"ADULT syndrome features include ectrodactyly, syndactyly, excessive freckling, lacrimal duct anomalies, dysplastic nails, hypodontia, hypoplastic breasts and nipples, hypotrichosis, hypohidrosis, broad nasal bridge, midfacial hypoplasia, exfoliative dermatitis, and xerosis. The lack of facial clefting and ankyloblepharon are important because they exist in ectrodactyly–ectodermal dysplasia–cleft syndrome (EEC) but not in ADULT syndrome.","['HP:0000164', 'HP:0000202', 'HP:0000271', 'HP:0000426', 'HP:0000431', 'HP:0000509', 'HP:0000579', 'HP:0000668', 'HP:0000677', 'HP:0000691', 'HP:0000958', 'HP:0000963', 'HP:0000964', 'HP:0000968', 'HP:0000992', 'HP:0000995', 'HP:0001006', 'HP:0001171', 'HP:0001480', 'HP:0001596', 'HP:0001597', 'HP:0001770', 'HP:0001803', 'HP:0001839', 'HP:0002209', 'HP:0002213', 'HP:0002215', 'HP:0002286', 'HP:0002293', 'HP:0002557', 'HP:0002561', 'HP:0003187', 'HP:0004334', 'HP:0006101', 'HP:0006357', 'HP:0006482', 'HP:0006610', 'HP:0007455', 'HP:0100797', 'HP:0100798', 'HP:0200042']"
