TA_start,TA_end,TA_symptoms,TA_scores,TA_is_negated,TA_HPO_codes,jaccard_score
"['0', '78', '191', '214', '283', '342', '432', '447', '514', '699', '711', '831', '915', '973', '1033', '1040', '1101', '1213', '1219', '1424', '1437', '1497', '1514', '1529', '1673', '1715']","['24', '84', '209', '232', '301', '351', '445', '471', '530', '709', '721', '834', '933', '984', '1038', '1052', '1113', '1217', '1246', '1432', '1448', '1512', '1523', '1541', '1691', '1724']","['Adrenocortical carcinoma', 'tumors', ""Cushing's syndrome"", 'precocious puberty', ""Cushing's syndrome"", ""Cushing's"", 'Conn syndrome', 'mineralocorticoid excess', 'pheochromocytoma', 'flank pain', 'varicocele', 'ACC', ""Cushing's syndrome"", 'weight gain', 'fatty', 'buffalo hump', 'fragile skin', 'acne', 'enlargement of the clitoris', 'headache', 'hypokalemia', 'muscle weakness', 'confusion', 'palpitations', 'breast enlargement', 'impotence']","[1.0, 0.92, 1.0, 0.84, 1.0, 1.0, 0.96, 0.99, 0.99, 0.98, 0.98, 0.95, 1.0, 0.97, 0.86, 0.85, 0.97, 0.84, 0.92, 0.99, 0.78, 0.99, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0006744', 'HP:0002664', 'HP:0003118', 'HP:0000826', 'HP:0003118', 'HP:0003118', 'HP:0011736', 'HP:0000859', 'HP:0002666', 'HP:0030157', 'HP:0012871', 'HP:0001274', 'HP:0003118', 'HP:0004324', 'HP:0009126', 'HP:0025383', 'HP:0001030', 'HP:0001061', 'HP:0008665', 'HP:0002315', 'HP:0002900', 'HP:0001324', 'HP:0001289', 'HP:0001962', 'HP:0010313', 'HP:0000802']",0.041666666666666664
"['306', '329', '545', '662', '680', '788', '982']","['327', '342', '561', '678', '691', '809', '1003']","['emotional instability', 'hyperactivity', 'vegetative state', 'muscle stiffness', 'paraparesis', 'adrenal insufficiency', 'adrenal insufficiency']","[0.98, 0.99, 0.92, 0.72, 0.65, 1.0, 1.0]","[False, False, False, False, False, False, False]","['HP:0000720', 'HP:0000752', 'HP:0031358', 'HP:0003552', 'HP:0002385', 'HP:0000846', 'HP:0000846']",0.02702702702702703
"['644', '1030', '1045', '1078', '1096', '1122', '1139', '1153', '1294', '1342', '1353', '1371', '1381']","['659', '1043', '1076', '1094', '1114', '1136', '1151', '1167', '1305', '1351', '1368', '1379', '1386']","['hypomyelination', 'high forehead', 'hypoplastic supraorbital ridges', 'epicanthal folds', 'midface hypoplasia', 'large fontanel', 'hepatomegaly', 'enlarged liver', 'renal cysts', 'hypotonia', 'low muscle tone', 'seizures', 'apnea']","[0.7, 0.84, 0.8, 0.93, 0.65, 0.91, 0.94, 0.88, 0.94, 1.0, 0.97, 0.9, 0.91]","[False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0003429', 'HP:0000348', 'HP:0009891', 'HP:0000286', 'HP:0011800', 'HP:0000239', 'HP:0002240', 'HP:0002240', 'HP:0000107', 'HP:0001252', 'HP:0001252', 'HP:0001250', 'HP:0002104']",0.12
"['32', '46', '104', '122', '134', '182', '196', '238', '266', '307', '359']","['44', '56', '120', '132', '153', '194', '214', '260', '273', '322', '371']","['ectrodactyly', 'syndactyly', 'dysplastic nails', 'hypodontia', 'hypoplastic breasts', 'hypohidrosis', 'broad nasal bridge', 'exfoliative dermatitis', 'xerosis', 'ankyloblepharon', 'ectrodactyly']","[0.99, 0.92, 1.0, 0.74, 0.87, 0.81, 0.91, 0.98, 1.0, 1.0, 0.99]","[False, False, False, False, False, False, False, False, False, False, False]","['HP:0100257', 'HP:0001159', 'HP:0002164', 'HP:0000668', 'HP:0003187', 'HP:0000966', 'HP:0000431', 'HP:0001019', 'HP:0000958', 'HP:0009755', 'HP:0100257']",0.0851063829787234
"['26', '175', '203', '215', '226', '248', '365', '403', '549', '578', '636', '665', '738', '750', '763', '788', '972', '1013', '1059']","['47', '185', '213', '224', '242', '263', '386', '411', '568', '583', '650', '680', '747', '758', '774', '801', '987', '1041', '1065']","['hypogammaglobulinemia', 'bronchitis', 'meningitis', 'pneumonia', 'sinus infections', 'skin infections', 'hypogammaglobulinemia', 'diarrhea', 'shortness of breath', 'cough', 'bronchiectasis', 'nasal discharge', 'sinusitis', 'Diarrhea', 'steatorrhea', 'malabsorption', 'lung infections', 'respiratory tract infections', 'eczema']","[0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 1.0, 0.99, 0.97, 1.0, 0.98, 0.87, 0.82, 0.99, 0.98, 0.99, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004313', 'HP:0012387', 'HP:0001287', 'HP:0002090', 'HP:0000246', 'HP:0001581', 'HP:0004313', 'HP:0002014', 'HP:0002094', 'HP:0012735', 'HP:0002110', 'HP:0031417', 'HP:0000246', 'HP:0002014', 'HP:0002570', 'HP:0002024', 'HP:0006532', 'HP:0011947', 'HP:0000964']",0.2222222222222222
"['26', '175', '203', '215', '226', '248', '365', '403', '549', '578', '636', '665', '738', '750', '763', '788', '972', '1013', '1059']","['47', '185', '213', '224', '242', '263', '386', '411', '568', '583', '650', '680', '747', '758', '774', '801', '987', '1041', '1065']","['hypogammaglobulinemia', 'bronchitis', 'meningitis', 'pneumonia', 'sinus infections', 'skin infections', 'hypogammaglobulinemia', 'diarrhea', 'shortness of breath', 'cough', 'bronchiectasis', 'nasal discharge', 'sinusitis', 'Diarrhea', 'steatorrhea', 'malabsorption', 'lung infections', 'respiratory tract infections', 'eczema']","[0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 1.0, 0.99, 0.97, 1.0, 0.98, 0.87, 0.82, 0.99, 0.98, 0.99, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004313', 'HP:0012387', 'HP:0001287', 'HP:0002090', 'HP:0000246', 'HP:0001581', 'HP:0004313', 'HP:0002014', 'HP:0002094', 'HP:0012735', 'HP:0002110', 'HP:0031417', 'HP:0000246', 'HP:0002014', 'HP:0002570', 'HP:0002024', 'HP:0006532', 'HP:0011947', 'HP:0000964']",0.1
"['26', '175', '203', '215', '226', '248', '365', '403', '549', '578', '636', '665', '738', '750', '763', '788', '972', '1013', '1059']","['47', '185', '213', '224', '242', '263', '386', '411', '568', '583', '650', '680', '747', '758', '774', '801', '987', '1041', '1065']","['hypogammaglobulinemia', 'bronchitis', 'meningitis', 'pneumonia', 'sinus infections', 'skin infections', 'hypogammaglobulinemia', 'diarrhea', 'shortness of breath', 'cough', 'bronchiectasis', 'nasal discharge', 'sinusitis', 'Diarrhea', 'steatorrhea', 'malabsorption', 'lung infections', 'respiratory tract infections', 'eczema']","[0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 1.0, 0.99, 0.97, 1.0, 0.98, 0.87, 0.82, 0.99, 0.98, 0.99, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004313', 'HP:0012387', 'HP:0001287', 'HP:0002090', 'HP:0000246', 'HP:0001581', 'HP:0004313', 'HP:0002014', 'HP:0002094', 'HP:0012735', 'HP:0002110', 'HP:0031417', 'HP:0000246', 'HP:0002014', 'HP:0002570', 'HP:0002024', 'HP:0006532', 'HP:0011947', 'HP:0000964']",0.08695652173913043
"['26', '175', '203', '215', '226', '248', '365', '403', '549', '578', '636', '665', '738', '750', '763', '788', '972', '1013', '1059']","['47', '185', '213', '224', '242', '263', '386', '411', '568', '583', '650', '680', '747', '758', '774', '801', '987', '1041', '1065']","['hypogammaglobulinemia', 'bronchitis', 'meningitis', 'pneumonia', 'sinus infections', 'skin infections', 'hypogammaglobulinemia', 'diarrhea', 'shortness of breath', 'cough', 'bronchiectasis', 'nasal discharge', 'sinusitis', 'Diarrhea', 'steatorrhea', 'malabsorption', 'lung infections', 'respiratory tract infections', 'eczema']","[0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 1.0, 0.99, 0.97, 1.0, 0.98, 0.87, 0.82, 0.99, 0.98, 0.99, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004313', 'HP:0012387', 'HP:0001287', 'HP:0002090', 'HP:0000246', 'HP:0001581', 'HP:0004313', 'HP:0002014', 'HP:0002094', 'HP:0012735', 'HP:0002110', 'HP:0031417', 'HP:0000246', 'HP:0002014', 'HP:0002570', 'HP:0002024', 'HP:0006532', 'HP:0011947', 'HP:0000964']",0.0
"['26', '175', '203', '215', '226', '248', '365', '403', '549', '578', '636', '665', '738', '750', '763', '788', '972', '1013', '1059']","['47', '185', '213', '224', '242', '263', '386', '411', '568', '583', '650', '680', '747', '758', '774', '801', '987', '1041', '1065']","['hypogammaglobulinemia', 'bronchitis', 'meningitis', 'pneumonia', 'sinus infections', 'skin infections', 'hypogammaglobulinemia', 'diarrhea', 'shortness of breath', 'cough', 'bronchiectasis', 'nasal discharge', 'sinusitis', 'Diarrhea', 'steatorrhea', 'malabsorption', 'lung infections', 'respiratory tract infections', 'eczema']","[0.97, 1.0, 1.0, 1.0, 1.0, 1.0, 0.97, 0.97, 1.0, 0.99, 0.97, 1.0, 0.98, 0.87, 0.82, 0.99, 0.98, 0.99, 0.98]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004313', 'HP:0012387', 'HP:0001287', 'HP:0002090', 'HP:0000246', 'HP:0001581', 'HP:0004313', 'HP:0002014', 'HP:0002094', 'HP:0012735', 'HP:0002110', 'HP:0031417', 'HP:0000246', 'HP:0002014', 'HP:0002570', 'HP:0002024', 'HP:0006532', 'HP:0011947', 'HP:0000964']",0.0
"['100', '137', '168', '381']","['123', '145', '183', '404']","['intellectually disabled', 'seizures', 'muscle weakness', 'intellectual disability']","[0.68, 0.95, 0.94, 0.96]","[False, False, False, False]","['HP:0001249', 'HP:0001250', 'HP:0001324', 'HP:0001249']",0.1
"['504', '844', '917', '949', '1073', '1096', '1500', '1553', '1591', '1630', '1670', '1683', '1727', '1736', '1975']","['514', '867', '943', '965', '1091', '1113', '1514', '1573', '1596', '1648', '1678', '1711', '1735', '1744', '1992']","['chilblains', 'cerebral calcifications', 'white matter abnormalities', 'cerebral atrophy', 'hepatosplenomegaly', 'thrombocytopaenia', 'encephalopathy', 'feeding difficulties', 'fever', 'abnormal neurology', 'dystonia', 'exaggerated startle response', 'seizures', 'Glaucoma', 'chilblain lesions']","[1.0, 0.89, 0.87, 0.79, 0.75, 0.94, 0.92, 0.99, 0.99, 0.7, 1.0, 0.98, 0.99, 1.0, 0.64]","[False, False, False, False, False, False, False, False, False, True, True, True, True, True, False]","['HP:0009710', 'HP:0002514', 'HP:0002500', 'HP:0002059', 'HP:0001433', 'HP:0001873', 'HP:0001298', 'HP:0011968', 'HP:0001945', 'HP:0000707', 'HP:0001332', 'HP:0002267', 'HP:0001250', 'HP:0000501', 'HP:0009710']",0.1794871794871795
"['504', '844', '917', '949', '1073', '1096', '1500', '1553', '1591', '1630', '1670', '1683', '1727', '1736', '1975']","['514', '867', '943', '965', '1091', '1113', '1514', '1573', '1596', '1648', '1678', '1711', '1735', '1744', '1992']","['chilblains', 'cerebral calcifications', 'white matter abnormalities', 'cerebral atrophy', 'hepatosplenomegaly', 'thrombocytopaenia', 'encephalopathy', 'feeding difficulties', 'fever', 'abnormal neurology', 'dystonia', 'exaggerated startle response', 'seizures', 'Glaucoma', 'chilblain lesions']","[1.0, 0.89, 0.87, 0.79, 0.75, 0.94, 0.92, 0.99, 0.99, 0.7, 1.0, 0.98, 0.99, 1.0, 0.64]","[False, False, False, False, False, False, False, False, False, True, True, True, True, True, False]","['HP:0009710', 'HP:0002514', 'HP:0002500', 'HP:0002059', 'HP:0001433', 'HP:0001873', 'HP:0001298', 'HP:0011968', 'HP:0001945', 'HP:0000707', 'HP:0001332', 'HP:0002267', 'HP:0001250', 'HP:0000501', 'HP:0009710']",0.15789473684210525
"['504', '844', '917', '949', '1073', '1096', '1500', '1553', '1591', '1630', '1670', '1683', '1727', '1736', '1975']","['514', '867', '943', '965', '1091', '1113', '1514', '1573', '1596', '1648', '1678', '1711', '1735', '1744', '1992']","['chilblains', 'cerebral calcifications', 'white matter abnormalities', 'cerebral atrophy', 'hepatosplenomegaly', 'thrombocytopaenia', 'encephalopathy', 'feeding difficulties', 'fever', 'abnormal neurology', 'dystonia', 'exaggerated startle response', 'seizures', 'Glaucoma', 'chilblain lesions']","[1.0, 0.89, 0.87, 0.79, 0.75, 0.94, 0.92, 0.99, 0.99, 0.7, 1.0, 0.98, 0.99, 1.0, 0.64]","[False, False, False, False, False, False, False, False, False, True, True, True, True, True, False]","['HP:0009710', 'HP:0002514', 'HP:0002500', 'HP:0002059', 'HP:0001433', 'HP:0001873', 'HP:0001298', 'HP:0011968', 'HP:0001945', 'HP:0000707', 'HP:0001332', 'HP:0002267', 'HP:0001250', 'HP:0000501', 'HP:0009710']",0.28
"['504', '844', '917', '949', '1073', '1096', '1500', '1553', '1591', '1630', '1670', '1683', '1727', '1736', '1975']","['514', '867', '943', '965', '1091', '1113', '1514', '1573', '1596', '1648', '1678', '1711', '1735', '1744', '1992']","['chilblains', 'cerebral calcifications', 'white matter abnormalities', 'cerebral atrophy', 'hepatosplenomegaly', 'thrombocytopaenia', 'encephalopathy', 'feeding difficulties', 'fever', 'abnormal neurology', 'dystonia', 'exaggerated startle response', 'seizures', 'Glaucoma', 'chilblain lesions']","[1.0, 0.89, 0.87, 0.79, 0.75, 0.94, 0.92, 0.99, 0.99, 0.7, 1.0, 0.98, 0.99, 1.0, 0.64]","[False, False, False, False, False, False, False, False, False, True, True, True, True, True, False]","['HP:0009710', 'HP:0002514', 'HP:0002500', 'HP:0002059', 'HP:0001433', 'HP:0001873', 'HP:0001298', 'HP:0011968', 'HP:0001945', 'HP:0000707', 'HP:0001332', 'HP:0002267', 'HP:0001250', 'HP:0000501', 'HP:0009710']",0.23333333333333334
"['504', '844', '917', '949', '1073', '1096', '1500', '1553', '1591', '1630', '1670', '1683', '1727', '1736', '1975']","['514', '867', '943', '965', '1091', '1113', '1514', '1573', '1596', '1648', '1678', '1711', '1735', '1744', '1992']","['chilblains', 'cerebral calcifications', 'white matter abnormalities', 'cerebral atrophy', 'hepatosplenomegaly', 'thrombocytopaenia', 'encephalopathy', 'feeding difficulties', 'fever', 'abnormal neurology', 'dystonia', 'exaggerated startle response', 'seizures', 'Glaucoma', 'chilblain lesions']","[1.0, 0.89, 0.87, 0.79, 0.75, 0.94, 0.92, 0.99, 0.99, 0.7, 1.0, 0.98, 0.99, 1.0, 0.64]","[False, False, False, False, False, False, False, False, False, True, True, True, True, True, False]","['HP:0009710', 'HP:0002514', 'HP:0002500', 'HP:0002059', 'HP:0001433', 'HP:0001873', 'HP:0001298', 'HP:0011968', 'HP:0001945', 'HP:0000707', 'HP:0001332', 'HP:0002267', 'HP:0001250', 'HP:0000501', 'HP:0009710']",0.06896551724137931
['372'],['385'],['liver failure'],[0.99],[False],['HP:0001399'],0.018867924528301886
"['104', '337', '406', '795', '815', '856', '887', '905', '1075']","['109', '341', '410', '809', '845', '878', '900', '932', '1088']","['brown', 'pain', 'pain', 'bone fractures', 'rupture of tendons and muscles', 'Valvular heart disease', 'calcification', 'regurgitation of the aortic', 'heart failure']","[0.64, 0.99, 0.99, 0.78, 0.63, 1.0, 0.59, 0.82, 0.99]","[False, False, False, False, False, False, False, False, False]","['HP:0031622', 'HP:0012531', 'HP:0012531', 'HP:0020110', 'HP:0100550', 'HP:0001654', 'HP:0003761', 'HP:0001659', 'HP:0001635']",0.041666666666666664
"['83', '126', '134', '200', '228', '277', '395', '522', '540', '553', '574', '603']","['103', '132', '159', '207', '237', '294', '407', '538', '550', '568', '598', '607']","['biparietal narrowing', 'ataxia', 'abnormalities of the neck', 'aphasia', 'hypotonia', 'muscle hypoplasia', 'contractures', 'muscle stiffness', 'spasticity', 'muscle weakness', 'involuntary movements of', 'arms']","[0.75, 0.67, 1.0, 0.66, 0.68, 0.8, 0.64, 0.83, 0.74, 0.9, 0.83, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0004422', 'HP:0010867', 'HP:0000464', 'HP:0002381', 'HP:0001252', 'HP:0009004', 'HP:0001371', 'HP:0003552', 'HP:0001257', 'HP:0001324', 'HP:0004305', 'HP:0006779']",0.07936507936507936
[],[],[],[],[],[],0.0
"['63', '73', '86', '113', '227']","['71', '84', '103', '122', '231']","['vomiting', 'dehydration', 'trouble breathing', 'tiredness', 'coma']","[1.0, 0.98, 1.0, 1.0, 1.0]","[False, False, False, False, False]","['HP:0002013', 'HP:0001944', 'HP:0002094', 'HP:0012378', 'HP:0001259']",0.06521739130434782
[],[],[],[],[],[],0.0
"['123', '138', '288', '310', '327', '554', '765', '914', '942', '993', '1010', '1242', '1463']","['136', '160', '305', '325', '345', '561', '774', '940', '957', '1009', '1028', '1255', '1477']","['Heart failure', 'dilated cardiomyopathy', 'Light sensitivity', 'vision problems', 'cone-rod dystrophy', 'Obesity', 'Nystagmus', 'sensorineural hearing loss', 'Type 2 diabetes', 'Hyperinsulinemia', 'insulin resistance', 'liver failure', 'kidney failure']","[0.99, 1.0, 0.57, 0.57, 0.96, 0.97, 0.98, 0.95, 0.99, 0.8, 0.96, 0.99, 0.99]","[False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0001635', 'HP:0001644', 'HP:0000613', 'HP:0000505', 'HP:0000548', 'HP:0001513', 'HP:0000639', 'HP:0000407', 'HP:0005978', 'HP:0000842', 'HP:0000855', 'HP:0001399', 'HP:0000083']",0.10227272727272728
"['256', '467']","['266', '475']","['hemiplegia', 'Epilepsy']","[0.67, 0.87]","[False, False]","['HP:0002301', 'HP:0001250']",0.0
"['51', '64', '93', '113', '128', '142']","['62', '72', '111', '126', '140', '160']","['motor delay', 'seizures', 'mental retardation', 'absent speech', 'growth delay', 'muscular hypotonia']","[1.0, 0.85, 0.94, 0.86, 1.0, 0.73]","[False, False, False, False, False, False]","['HP:0001270', 'HP:0001250', 'HP:0001249', 'HP:0001344', 'HP:0001510', 'HP:0001252']",0.07692307692307693
[],[],[],[],[],[],0.0
"['0', '50', '66', '144']","['6', '65', '79', '153']","['Anemia', 'fast heart rate', 'Low platelets', 'petechiae']","[0.88, 0.97, 0.93, 1.0]","[False, False, False, False]","['HP:0001903', 'HP:0001649', 'HP:0001873', 'HP:0000967']",0.13333333333333333
['20'],['31'],['argininemia'],[0.98],[False],['HP:0500153'],0.0
"['4', '189', '212', '487', '583']","['14', '207', '224', '505', '595']","['deficiency', 'primary amenorrhea', 'tall stature', 'polycystic ovaries', 'osteoporosis']","[0.72, 0.77, 0.73, 0.99, 0.99]","[False, False, False, False, False]","['HP:0004395', 'HP:0000786', 'HP:0000098', 'HP:0000147', 'HP:0000939']",0.10344827586206896
"['1497', '1857', '2099', '2119', '2139', '2176', '2211', '2225', '2250', '2450', '2589', '2610', '2696', '2740', '2757', '2918']","['1509', '1875', '2117', '2137', '2151', '2191', '2223', '2235', '2261', '2462', '2608', '2628', '2707', '2755', '2781', '2929']","['gynecomastia', 'precocious puberty', 'high-pitched voice', 'sparse facial hair', 'hypogonadism', 'oligozoospermia', 'small testes', 'micropenis', 'small penis', 'gynecomastia', 'isosexual precocity', 'precocious puberty', 'macromastia', 'enlarged uterus', 'menstrual irregularities', 'macromastia']","[0.98, 1.0, 0.99, 0.99, 1.0, 0.97, 0.67, 0.61, 0.82, 0.98, 1.0, 1.0, 0.64, 0.95, 0.95, 0.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0000771', 'HP:0000826', 'HP:0001620', 'HP:0007464', 'HP:0000135', 'HP:0000798', 'HP:0008734', 'HP:0000054', 'HP:0030260', 'HP:0000771', 'HP:0008236', 'HP:0000826', 'HP:0010313', 'HP:0100878', 'HP:0000858', 'HP:0010313']",0.06666666666666667
"['112', '155', '227', '240', '303', '313', '340', '357', '453', '518']","['121', '172', '235', '250', '311', '338', '349', '369', '471', '544']","['Hypotonia', 'Oculogyric crises', 'Dystonia', 'dyskinesia', 'vomiting', 'gastro-oesophageal reflux', 'diarrhoea', 'constipation', 'excessive sweating', 'cerebral folate deficiency']","[0.67, 1.0, 0.65, 1.0, 0.97, 0.93, 0.96, 0.97, 0.97, 0.99]","[False, False, False, False, False, False, False, False, False, False]","['HP:0001252', 'HP:0010553', 'HP:0001332', 'HP:0100660', 'HP:0002013', 'HP:0002020', 'HP:0002014', 'HP:0002019', 'HP:0000975', 'HP:0012446']",0.13333333333333333
"['80', '146', '158', '179']","['94', '157', '178', '195']","['Arachnodactyly', 'Keratoconus', 'Aortic regurgitation', 'Blepharophimosis']","[0.89, 0.94, 0.99, 0.96]","[False, False, False, False]","['HP:0001166', 'HP:0000563', 'HP:0001659', 'HP:0000581']",0.047058823529411764
"['38', '139', '416', '508', '625', '645', '727', '836', '970', '1267', '1329', '1341', '1584', '1606', '1622', '1648', '1676']","['52', '143', '426', '522', '639', '655', '739', '848', '980', '1281', '1339', '1355', '1604', '1620', '1646', '1674', '1692']","['arthrogryposis', 'arms', 'dislocated', 'vertical talus', 'arthrogryposis', 'amyoplasia', 'contractures', 'contractures', 'amyoplasia', 'arthrogryposis', 'hemangioma', 'Arthrogryposis', 'pulmonary hypoplasia', 'cryptorchidism', 'congenital heart defects', 'tracheoesophageal fistulas', 'inguinal hernias']","[0.99, 0.97, 0.85, 0.84, 0.99, 0.99, 0.95, 0.95, 0.99, 0.99, 0.98, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0002804', 'HP:0006779', 'HP:0001373', 'HP:0001838', 'HP:0002804', 'HP:0003634', 'HP:0001371', 'HP:0001371', 'HP:0003634', 'HP:0002804', 'HP:0001028', 'HP:0002804', 'HP:0002089', 'HP:0000028', 'HP:0001627', 'HP:0002575', 'HP:0000023']",0.07317073170731707
