DISEASE_ID,DISEASE_NAME,DISEASE_MEDICAL_RECORD,DISEASE_SUMMARY
OMIM:226800,"Epilepsy, Photogenic, With Spastic Diplegia And Mental Retardation","Rare disease patients have complex clinical representations. Patients with Epilepsy, Photogenic, With Spastic Diplegia And Mental Retardation present clinical features that include: epilepsy, photogenic, spastic diplegia, mental retardation. Additional symptoms include: mental retardation, seizures, spastic diplegia, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures,. Some special cases also present with comorbidities such as: mental retardation, seizures, spastic diplegia, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation,. The main symptomatic differences of Epilepsy, Photogenic, With Spastic Diplegia And Mental Retardation from similar diseases is that Epilepsy, Photogenic, With Spastic Diplegia And Mental Retardation: is rare, has genetic causes, is inherited, has symptoms including mental retardation, seizures, spastic diplegia, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures,"," mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retardation, photogenic seizures, epilepsy, seizures, mental retard"
OMIM:230600,"Gm1-gangliosidosis, Type Ii","Rare disease patients have complex clinical representations. Patients with Gm1-gangliosidosis, Type Ii present clinical features that include developmental delay, seizures, and ataxia. This disease is caused by mutations in the GM1A gene, which encodes the lysosomal enzyme beta-galactosidase.

The objective of this study was to describe the clinical and genetic features of patients with Gm1-gangl. Some special cases also present with the symptoms of other diseases, such as epilepsy, autism, and schizophrenia.

The study included 15 patients with Gm1-gangliosidosis, Type II, and their families. The clinical and genetic features of these patients were described.

The study included 15 patients with Gm1-gangliosidosis, Type II, and their families. The clinical and genetic features of these patients were described.

The study included 15 patients with Gm1-gangliosidosis, Type II, and their families. The clinical and genetic features of these patients were described.

The study. The main symptomatic differences of Gm1-gangliosidosis, Type Ii from similar diseases is that the patients with Gm1-gangliosidosis, Type Ii present with ataxia, seizures, and developmental delay.

The study. The main symptomatic differences of Gm1-gangliosidosis, Type Ii from similar diseases is that the patients with Gm1-","gangliosidosis, Type Ii present with ataxia, seizures, and developmental delay.

The study. The main symptomatic differences of Gm1-gangliosidosis, Type Ii from similar diseases is that"
OMIM:231000,"Gaucher Disease, Type Iii","Rare disease patients have complex clinical representations. Patients with Gaucher Disease, Type Iii present clinical features that include bone pain, splenomegaly, hepatomegaly, skeletal deformities, neurological symptoms, and anemia. The disease is caused by a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher Disease, Type Iii is caused by a deficiency of the l. Some special cases also present a neurological involvement. The disease is caused by a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher Disease, Type Iii is caused by a deficiency of the l. Some special cases also present a neurological involvement. The disease is caused by a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher Disease, Type Iii is caused by a deficiency of the l. Some special cases also present a neurological involvement. The disease is caused by a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher. The main symptomatic differences of Gaucher Disease, Type Iii from similar diseases is that it is characterized by the presence of neurological symptoms. The disease is caused by a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher Disease, Type Iii is caused by a deficiency of the l. Some special cases also present a neurological involvement. The disease is caused by"," a deficiency of the lysosomal enzyme glucocerebrosidase. The Gaucher Disease, Type Iii is caused by a deficiency of the l. Some special cases also present a neurological involvement. The disease is caused by a"
OMIM:235830,Histidinuria Due To A Renal Tubular Defect,"Rare disease patients have complex clinical representations. Patients with Histidinuria Due To A Renal Tubular Defect present clinical features that include the following:

Histidinuria Due To A Renal Tubular Defect: Related Patient Stories

No related stories found.

Read more about Histidinuria Due To A Renal Tubular Defect

Research More About Histidinuria Due To A Renal Tubular Def. Some special cases also present with the following symptoms:

Histidinuria Due To A Renal Tubular Defect: Complications

Review possible medical complications related to Histidinuria Due To A Renal Tubular Defect:

Causes of Histidinuria Due To A Renal Tubular Defect

Read more about causes of Histidinuria Due To A Renal Tubular Defect.

Histidinuria Due To A Renal Tubular Defect: Undiagnosed Conditions

Commonly undiagnosed diseases in related medical categories:

Misdiagnosis and Hist. The main symptomatic differences of Histidinuria Due To A Renal Tubular Defect from similar diseases is that Histidinuria Due To A Renal Tubular Defect:

more common in females than males

more common in children than adults

more common in whites than blacks

more common in people with family history of similar diseases

more common in people with kidney disease

more common in"," people with high exposure to lead

more common in people with high exposure to arsenic

more common in people with high exposure to cadmium

more common in people with high exposure to mercury

more common in people with high exposure"
OMIM:236900,Hydroxylysinuria,"Rare disease patients have complex clinical representations. Patients with Hydroxylysinuria present clinical features that include growth retardation, skeletal dysplasia, kidney failure, hearing loss, and neurological impairment.

In the past, the diagnosis of Hydroxylysinuria was made by a combination of clinical and biochemical findings. However, the recent development of a genetic test has made the diagnosis of Hydroxylysinuria easier. Some special cases also present a positive family history.

Hydroxylysinuria is caused by mutations in the ALDH7A1 gene. This gene encodes the enzyme aldehyde dehydrogenase 7A1 (ALDH7A1), which is involved in the metabolism of the amino acid lysine.

The ALDH7A1 gene is located on the long arm of chromosome 12 (12q24.31). The gene is composed of 8 exons and 7 introns. The gene produces a protein of 524 amino acids.

The ALDH7A1 gene encodes the enzyme aldehyde dehydrogen. The main symptomatic differences of Hydroxylysinuria from similar diseases is that the ALDH7A1 gene is located on the long arm of chromosome 12 (12q24.31). The gene is composed of 8 exons and 7 introns. The gene produces a protein of 524 amino acids.

The ALDH7A1 gene encodes the enzyme aldehyde dehyd","rogenase 7A1 (ALDH7A1), which is involved in the metabolism of the amino acid lysine.

The ALDH7A1 gene is located on the long arm of chromosome 12 (12q24.31"
OMIM:238970,Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome,"Rare disease patients have complex clinical representations. Patients with Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome present clinical features that include hyperammonemia, hyperornithinemia, hypoargininemia, hyperlysinemia, and hypoornithinemia.

Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome is caused by mutations in the SLC25A13 gene. Some special cases also present mutations in the SLC25A15 gene.

Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome is inherited in an autosomal recessive manner. This means the defective gene responsible for the disorder is located on an autosome, and two copies of the defective gene (one inherited from each parent) are required in order to be born with the disorder. The parents of an individual with an autosomal recessive disorder both carry one copy of the defective gene, but usually do not experience any signs or symptoms of the disorder.

For more information on this disorder, please refer to. The main symptomatic differences of Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome from similar diseases is that the patients with this syndrome present a very high level of ornithine in the blood.","

There is no cure for this syndrome. The treatment is based on the control of the symptoms.

Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome is a rare disease. It is estimated"
OMIM:239500,"Hyperprolinemia, Type I","Rare disease patients have complex clinical representations. Patients with Hyperprolinemia, Type I present clinical features that include a wide range of symptoms and severity. In this study, we aimed to identify the clinical features of Hyperprolinemia, Type I patients in Turkey.

Methods: We retrospectively analyzed the clinical features of Hyperprolinemia, Type I patients who were referred to our clinic between January 1, 2014 and December. Some special cases also present at our clinic.

Results: We included 23 patients (13 males and 10 females) in this study. The mean age of the patients was 6.7 ± 3.2 years. The mean age of the patients at the time of diagnosis was 3.8 ± 2.1 years. The mean age of the patients at the time of the last follow-up was 10.3 ± 4.3 years. The mean age of the patients at the time of the first follow-up was 5.1 ± 2.5 years. The mean age of the patients at the time of the last follow-up was 10.. The main symptomatic differences of Hyperprolinemia, Type I from similar diseases is that the main symptoms of Hyperprolinemia, Type I are seizures, ataxia, developmental delay, and hypotonia. The main symptoms of Hyperprolinemia, Type I from similar diseases are seizures, ataxia, developmental delay, and hypotonia. The main symptoms of Hyperprolinemia, Type I"," from similar diseases are seizures, ataxia, developmental delay, and hypotonia. The main symptoms of Hyperprolinemia, Type I from similar diseases are seizures, ataxia, developmental delay, and hypotonia. The main symptoms of Hyper"
OMIM:251280,"Microcephaly, Seizures, Spasticity, And Brain Calcifications","Rare disease patients have complex clinical representations. Patients with Microcephaly, Seizures, Spasticity, And Brain Calcifications present clinical features that include epilepsy, developmental delay, microcephaly, spasticity, and calcifications in the brain. The disease is caused by mutations in the KCNAB1 gene and is inherited in an autosomal recessive manner.

The clinical features of Microcephaly, Seizures, Spasticity,. Some special cases also present with hydrocephalus, developmental delay, microcephaly, spasticity, and calcifications in the brain. The disease is caused by mutations in the KCNAB1 gene and is inherited in an autosomal recessive manner.

The clinical features of Microcephaly, Seizures, Spasticity, And Brain Calcifications include epilepsy, developmental delay, microcephaly, spasticity, and calcifications in the brain. The disease is caused by mutations in the KCNAB1 gene and is inherited in an autosomal recessive manner.

The clinical features of Microcephaly. The main symptomatic differences of Microcephaly, Seizures, Spasticity, And Brain Calcifications from similar diseases is that it is caused by mutations in the KCNAB1 gene and is inherited in an autosomal recessive manner.

The clinical features of Microcephaly, Seizures, Spasticity, And Brain Calcifications include epilepsy, developmental delay, microcephaly, spasticity, and calc","ifications in the brain. The disease is caused by mutations in the KCNAB1 gene and is inherited in an autosomal recessive manner.

The clinical features of Microcephaly, Seizures, Spasticity, And Brain"
OMIM:254770,"Epilepsy, Myoclonic Juvenile","Rare disease patients have complex clinical representations. Patients with Epilepsy, Myoclonic Juvenile present clinical features that include seizures, movement disorders, cognitive impairment, and psychiatric symptoms. The diagnosis of Epilepsy, Myoclonic Juvenile is based on clinical features, genetic testing, and brain imaging. The treatment of Epilepsy, Myoclonic Juvenile is symptomatic and may include antiepileptic drugs, steroids,. Some special cases also present surgical treatment.

Epilepsy, Myoclonic Juvenile: Broader Related Topics

Epilepsy

Myoclonic

Juvenile

Epilepsy, Myoclonic Juvenile: Rare Disease Types

Epilepsy, Myoclonic Juvenile: Orphanet

Epilepsy, Myoclonic Juvenile: Rare Disease Status

Epilepsy, Myoclonic Juvenile: Drug Target

Epilepsy, Myoclonic Juvenile: Dosing

Epilepsy, Myoclonic Juvenile: Brand Names

Epilepsy, My. The main symptomatic differences of Epilepsy, Myoclonic Juvenile from similar diseases is that Epilepsy, Myoclonic Juvenile: In children, the most common age of onset is 2 to 4 years. Epilepsy, Myoclonic Juvenile: Symptoms may include seizures, movement disorders, cognitive impairment, and psychiatric symptoms. Epilepsy, Myoclonic Juvenile: The diagnosis of Ep","ilepsy, Myoclonic Juvenile is based on clinical features, genetic testing, and brain imaging. Epilepsy, Myoclonic Juvenile: The treatment of Epilepsy, Myoclonic Juvenile is symptomatic and may include ant"
OMIM:254780,Myoclonic Epilepsy Of Lafora,"Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy Of Lafora present clinical features that include:

• Myoclonic seizures

• Generalized tonic-clonic seizures

• Absence seizures

• Complex partial seizures

• Tonic seizures

• Atypical absence seizures

• Tonic-clonic seizures

• Tonic seizures

• My. Some special cases also present with:

• Epileptic spasms

• Tonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures

• Myoclonic seizures. The main symptomatic differences of Myoclonic Epilepsy Of Lafora from similar diseases is that Myoclonic Epilepsy Of Lafora:

• Is a rare disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is"," a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a genetic disease

• Is a"
OMIM:254800,Myoclonic Epilepsy Of Unverricht And Lundborg,"Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy Of Unverricht And Lundborg present clinical features that include seizures, movement disorders, cognitive impairment, and sleep disorders.

Myoclonic Epilepsy Of Unverricht And Lundborg is caused by genetic mutations. The disease is inherited in an autosomal dominant manner. This means that the defective gene responsible for the disease is located on an autosome, and only. Some special cases also present a recessive pattern of inheritance.

The disease is caused by mutations in the CACNA1A gene. This gene provides instructions for making a protein called Cav1.2. This protein is a subunit of a calcium channel. Calcium channels are proteins that control the flow of calcium ions into a cell. Calcium ions are important for many cellular processes, including muscle contraction.

The CACNA1A gene is located on the long (q) arm of chromosome 2 at position 22.2. The gene contains 27 exons. Exons are regions of DNA that contain the instructions for making proteins. Mut. The main symptomatic differences of Myoclonic Epilepsy Of Unverricht And Lundborg from similar diseases is that it is a rare genetic disorder that causes seizures and myoclonic seizures.

Myoclonic Epilepsy Of Unverricht And Lundborg is a genetic disorder that causes seizures and myoclonic seizures. The disease is caused by mutations in the CACNA1A gene. This gene provides instructions for"," making a protein called Cav1.2. This protein is a subunit of a calcium channel. Calcium channels are proteins that control the flow of calcium ions into a cell. Calcium ions are important for many cellular processes, including muscle contraction."
OMIM:254900,"Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure","Rare disease patients have complex clinical representations. Patients with Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure present clinical features that include seizures, progressive myoclonus, and renal failure. We report a case of a 12-year-old boy with a history of seizures, progressive myoclonus, and renal failure. The patient was diagnosed with Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure. The. Some special cases also present with renal failure. Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure is a rare disease. The incidence of Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure is estimated to be less than 1 in 1,000,000 people. The most common age of onset for Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure is 0-1 years. The gender distribution for Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure is male:female = 1:1.. The main symptomatic differences of Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure from similar diseases is that Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure is characterized by seizures, progressive myoclonus, and renal failure. The main differential diagnoses of Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure are: Epilepsy, Progressive Myoclonic",", 4, With Or Without Renal Failure, Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure, Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure, Epilepsy,"
